drug	atc
dr:D00857	D08AJ01
dr:D00857	D09AA11
dr:D00857	R02AA16
dr:D00858	A01AB03
dr:D00858	B05CA02
dr:D00858	D08AC02
dr:D00858	D09AA12
dr:D00858	R02AA05
dr:D00858	S01AX09
dr:D00858	S02AA09
dr:D00858	S03AA04
dr:D00859	D08AE01
dr:D00861	D08AK04
dr:D00862	B05CA03
dr:D00862	D08AF01
dr:D00862	D09AA03
dr:D00862	P01CC02
dr:D00862	S01AX04
dr:D00862	S02AA02
dr:D00863	D08AG02
dr:D00863	D09AA09
dr:D00863	D11AC06
dr:D00863	G01AX11
dr:D00863	R02AA15
dr:D00863	S01AX18
dr:D00864	D08AK06
dr:D00865	D06AX12
dr:D00865	J01GB06
dr:D00865	S01AA21
dr:D00866	A07AA08
dr:D00866	J01GB04
dr:D00866	S01AA24
dr:D00867	J01GB07
dr:D00867	S01AA23
dr:D00868	A07AA06
dr:D00869	J01XX04
dr:D00870	B05CA04
dr:D00870	D06BA04
dr:D00870	J01EB02
dr:D00870	S01AB01
dr:D00871	D10AF06
dr:D00871	S01AB04
dr:D00872	J01MB06
dr:D00873	J01MA07
dr:D00873	S01AE04
dr:D00874	J01MA14
dr:D00874	S01AE07
dr:D00875	J04AA01
dr:D00875	J04AA02
dr:D00877	J04AB01
dr:D00878	J04AK02
dr:D00879	J04AB05
dr:D00880	G01AF15
dr:D00881	D01AC03
dr:D00881	G01AF05
dr:D00882	A01AB09
dr:D00882	A07AC01
dr:D00882	D01AC02
dr:D00882	G01AF04
dr:D00882	J02AB01
dr:D00882	S02AA13
dr:D00883	D01AE22
dr:D00884	A01AB10
dr:D00884	A07AA03
dr:D00884	D01AA02
dr:D00884	G01AA02
dr:D00884	S01AA10
dr:D00885	D01AC11
dr:D00885	G01AF17
dr:D00886	D01AC09
dr:D00887	C10AA05
dr:D00888	G01AG02
dr:D00889	C10AA06
dr:D00890	D01AC07
dr:D00890	G01AF08
dr:D00891	J05AF06
dr:D00892	C10AA04
dr:D00893	C10AA03
dr:D00894	J05AE05
dr:D00895	J05AG02
dr:D00896	J05AG03
dr:D00897	J05AE02
dr:D00898	G03CB01
dr:D00898	G03CC02
dr:D00899	J05AE04
dr:D00900	J05AH02
dr:D00901	J05AC02
dr:D00902	J05AH01
dr:D00903	D11AX18
dr:D00903	M01AB05
dr:D00903	M02AA15
dr:D00903	S01BC03
dr:D00904	D11AX18
dr:D00904	M01AB05
dr:D00904	M02AA15
dr:D00904	S01BC03
dr:D00905	J01DB04
dr:D00906	J01DB01
dr:D00907	J01DB03
dr:D00908	J01DB08
dr:D00909	J01DC03
dr:D00910	J01DC09
dr:D00911	J01DC09
dr:D00912	J01DC06
dr:D00913	J01DC01
dr:D00914	J01DC02
dr:D00914	S01AA27
dr:D00915	J01DC02
dr:D00915	S01AA27
dr:D00916	J01DC08
dr:D00917	J01DD15
dr:D00918	J01DD12
dr:D00919	J01DD01
dr:D00920	J01DD13
dr:D00921	J01DD02
dr:D00922	J01DD14
dr:D00923	J01DD07
dr:D00924	J01DD04
dr:D00925	J01XX01
dr:D00926	A07AA09
dr:D00926	J01XA01
dr:D00927	J01CA06
dr:D00928	J01CF06
dr:D00929	J01CF04
dr:D00930	H05BX02
dr:D00931	V03AE07
dr:D00932	A02AC01
dr:D00932	A12AA04
dr:D00933	A12AA13
dr:D00934	A12AA10
dr:D00935	A12AA03
dr:D00935	D11AX03
dr:D00936	A12AA05
dr:D00937	A12AA01
dr:D00938	A12AA01
dr:D00939	M05BA04
dr:D00941	M05BA03
dr:D00942	M05BA07
dr:D00943	A01AA01
dr:D00943	A12CD01
dr:D00944	A10BA02
dr:D00945	A10BG03
dr:D00946	G03CB02
dr:D00946	G03CC05
dr:D00946	L02AA01
dr:D00946	L02AA04
dr:D00947	J01XX08
dr:D00948	G03CA07
dr:D00948	G03CC04
dr:D00949	G03DA03
dr:D00950	G03AC03
dr:D00950	G03AD01
dr:D00951	G03AC06
dr:D00951	G03DA02
dr:D00951	L02AB02
dr:D00952	G03AC05
dr:D00952	G03DB02
dr:D00952	L02AB01
dr:D00953	G03AC01
dr:D00953	G03DC02
dr:D00955	A14AB01
dr:D00955	S01XA11
dr:D00956	A14AB01
dr:D00956	S01XA11
dr:D00957	G03BA03
dr:D00958	G03BA03
dr:D00959	G03BA03
dr:D00960	L02BG03
dr:D00961	L02BB03
dr:D00962	G03GB02
dr:D00963	L02BG06
dr:D00964	L02BG04
dr:D00965	L02BB02
dr:D00966	L02BA01
dr:D00967	L02BA02
dr:D00968	M01AE04
dr:D00969	M01AC06
dr:D00970	G02CC02
dr:D00970	M01AE02
dr:D00970	M02AA12
dr:D00972	A07EA04
dr:D00972	C05AA05
dr:D00972	D07AC01
dr:D00972	D07XC01
dr:D00972	H02AB01
dr:D00972	R01AD06
dr:D00972	R03BA04
dr:D00972	S01BA06
dr:D00972	S01CB04
dr:D00972	S02BA07
dr:D00972	S03BA03
dr:D00973	H02AB10
dr:D00973	S01BA03
dr:D00975	A01AC02
dr:D00975	C05AA09
dr:D00975	D07AB19
dr:D00975	D07XB05
dr:D00975	D10AA03
dr:D00975	H02AB02
dr:D00975	R01AD03
dr:D00975	S01BA01
dr:D00975	S01CB01
dr:D00975	S02BA06
dr:D00975	S03BA01
dr:D00976	A01AC03
dr:D00976	A07EA02
dr:D00976	C05AA01
dr:D00976	D07AA02
dr:D00976	D07XA01
dr:D00976	H02AB09
dr:D00976	S01BA02
dr:D00976	S01CB03
dr:D00976	S02BA01
dr:D00977	A01AC03
dr:D00977	A07EA02
dr:D00977	C05AA01
dr:D00977	D07AA02
dr:D00977	D07XA01
dr:D00977	H02AB09
dr:D00977	S01BA02
dr:D00977	S01CB03
dr:D00977	S02BA01
dr:D00978	A01AC03
dr:D00978	A07EA02
dr:D00978	C05AA01
dr:D00978	D07AA02
dr:D00978	D07XA01
dr:D00978	H02AB09
dr:D00978	S01BA02
dr:D00978	S01CB03
dr:D00978	S02BA01
dr:D00979	D07AA01
dr:D00979	D10AA02
dr:D00979	H02AB04
dr:D00980	A07EA01
dr:D00980	C05AA04
dr:D00980	D07AA03
dr:D00980	D07XA02
dr:D00980	H02AB06
dr:D00980	R01AD02
dr:D00980	S01BA04
dr:D00980	S01CB02
dr:D00980	S02BA03
dr:D00980	S03BA02
dr:D00981	A07EA01
dr:D00981	C05AA04
dr:D00981	D07AA03
dr:D00981	D07XA02
dr:D00981	H02AB06
dr:D00981	R01AD02
dr:D00981	S01BA04
dr:D00981	S01CB02
dr:D00981	S02BA03
dr:D00981	S03BA02
dr:D00982	A07EA01
dr:D00982	C05AA04
dr:D00982	D07AA03
dr:D00982	D07XA02
dr:D00982	H02AB06
dr:D00982	R01AD02
dr:D00982	S01BA04
dr:D00982	S01CB02
dr:D00982	S02BA03
dr:D00982	S03BA02
dr:D00983	A01AC01
dr:D00983	C05AA12
dr:D00983	D07AB09
dr:D00983	D07XB02
dr:D00983	H02AB08
dr:D00983	R01AD11
dr:D00983	R03BA06
dr:D00983	S01BA05
dr:D00984	A01AC01
dr:D00984	C05AA12
dr:D00984	D07AB09
dr:D00984	D07XB02
dr:D00984	H02AB08
dr:D00984	R01AD11
dr:D00984	R03BA06
dr:D00984	S01BA05
dr:D00985	A01AC01
dr:D00985	C05AA12
dr:D00985	D07AB09
dr:D00985	D07XB02
dr:D00985	H02AB08
dr:D00985	R01AD11
dr:D00985	R03BA06
dr:D00985	S01BA05
dr:D00986	H02AA02
dr:D00987	G02CB03
dr:D00987	N04BC06
dr:D00988	H01CA01
dr:D00988	V04CM01
dr:D00989	L02AE02
dr:D00990	H01CA02
dr:D00991	M01CB04
dr:D00992	M01CB01
dr:D00993	N06BX01
dr:D00995	N07AA01
dr:D00995	S01EB06
dr:D00996	A01AD01
dr:D00996	B02BC09
dr:D00996	C01CA24
dr:D00996	R01AA14
dr:D00996	R03AA01
dr:D00996	S01EA01
dr:D00997	C04AB02
dr:D00997	M02AX02
dr:D00998	N07AA01
dr:D00998	S01EB06
dr:D00999	S01EB09
dr:D01000	N07AB02
dr:D01001	N07AA30
dr:D01002	S01FA04
dr:D01003	A03AB10
dr:D01004	S01FA05
dr:D01005	A03AB09
dr:D01006	A03AA01
dr:D01007	G04BD06
dr:D01008	S01EA03
dr:D01009	H05BX03
dr:D01010	H03AA01
dr:D01011	H03AA02
dr:D01013	V08AA01
dr:D01014	V08AC06
dr:D01015	V08AC08
dr:D01016	R05CA02
dr:D01016	S01XA04
dr:D01016	V03AB21
dr:D01017	S01EA02
dr:D01018	C01CA11
dr:D01019	C01CA09
dr:D01020	C01CA10
dr:D01021	R01AA08
dr:D01021	R01AB02
dr:D01021	S01GA01
dr:D01022	R01AA05
dr:D01022	R01AB07
dr:D01022	S01GA04
dr:D01023	R01AA06
dr:D01023	R01AB03
dr:D01023	S01GA02
dr:D01024	G04CA02
dr:D01025	S01ED03
dr:D01026	C07AA07
dr:D01027	B03BA03
dr:D01027	V03AB33
dr:D01028	B01AC05
dr:D01029	B01AC17
dr:D01034	D05AD01
dr:D01034	D05BA01
dr:D01036	R05DA07
dr:D01037	S01XA01
dr:D01041	C01BA04
dr:D01043	G04BX13
dr:D01043	M02AX03
dr:D01044	N05AF01
dr:D01046	D01AE02
dr:D01046	G01AX09
dr:D01047	D06BA02
dr:D01047	J01EB07
dr:D01049	M01AX17
dr:D01049	M02AA26
dr:D01050	G01AX05
dr:D01052	J01DE03
dr:D01053	J01CE01
dr:D01053	S01AA14
dr:D01056	M04AB03
dr:D01057	J01DH05
dr:D01059	L01AD06
dr:D01060	V09GA01
dr:D01061	L01XX19
dr:D01062	B05CA01
dr:D01062	D08AJ03
dr:D01062	D09AA07
dr:D01062	R02AA06
dr:D01063	D06AX07
dr:D01063	J01GB03
dr:D01063	S01AA11
dr:D01063	S02AA14
dr:D01063	S03AA06
dr:D01064	L01BA03
dr:D01065	C01EB09
dr:D01066	A07AA05
dr:D01066	J01XB02
dr:D01066	S01AA18
dr:D01066	S02AA11
dr:D01066	S03AA03
dr:D01068	L01CA01
dr:D01069	C09AA08
dr:D01071	N01AF02
dr:D01071	N05CA16
dr:D01072	D06AX02
dr:D01072	D10AF03
dr:D01072	G01AA05
dr:D01072	J01BA01
dr:D01072	S01AA01
dr:D01072	S02AA01
dr:D01072	S03AA08
dr:D01073	D10AF01
dr:D01073	G01AA10
dr:D01073	J01FF01
dr:D01074	J01CA18
dr:D01075	J01DB02
dr:D01076	D06AX09
dr:D01076	R01AX06
dr:D01077	A03BB02
dr:D01078	J01FA15
dr:D01079	J01AA12
dr:D01080	J01XX09
dr:D01081	A12CB01
dr:D01082	A11HA31
dr:D01082	D03AX04
dr:D01089	S02AA03
dr:D01091	V03AB06
dr:D01093	D01AE23
dr:D01094	D01AA07
dr:D01095	C05AX05
dr:D01095	C05CX01
dr:D01096	N05BB01
dr:D01099	V08AA08
dr:D01101	N05AD06
dr:D01103	G04BD09
dr:D01104	C08CA12
dr:D01105	N05AD04
dr:D01106	R05CB04
dr:D01107	N06AX17
dr:D01108	A06AD04
dr:D01108	A12CC02
dr:D01108	B05XA05
dr:D01108	D11AX05
dr:D01108	V04CC02
dr:D01110	N06AA14
dr:D01111	A10BX03
dr:D01112	D10AD03
dr:D01115	C03DA04
dr:D01116	N02BE04
dr:D01117	R06AX25
dr:D01118	N04AA05
dr:D01119	C09AA14
dr:D01121	A02BX14
dr:D01122	C01EB16
dr:D01122	G02CC01
dr:D01122	M01AE01
dr:D01122	M02AA13
dr:D01122	R02AX02
dr:D01123	R03DX06
dr:D01124	D01AE04
dr:D01125	D05AX02
dr:D01126	B05XB01
dr:D01127	G01AE01
dr:D01130	R06AD03
dr:D01131	A02BA08
dr:D01132	D05AX05
dr:D01135	C01DX13
dr:D01136	B02AA02
dr:D01137	V08CA04
dr:D01138	P03AX01
dr:D01139	B05XA04
dr:D01139	G04BA01
dr:D01140	D08AJ08
dr:D01140	R02AA09
dr:D01142	J01ED01
dr:D01143	D04AA22
dr:D01143	R06AD09
dr:D01144	J01MA17
dr:D01147	D10AF05
dr:D01148	G04BD07
dr:D01149	A14AB03
dr:D01150	N05CE02
dr:D01152	C05AD06
dr:D01153	J01MA18
dr:D01154	B05XA17
dr:D01155	L01BC05
dr:D01157	J01DE01
dr:D01159	G03DA01
dr:D01159	L02AB03
dr:D01160	J05AE01
dr:D01161	L02BA03
dr:D01162	S01LA01
dr:D01163	G02AB03
dr:D01164	N05AX12
dr:D01165	A03AA30
dr:D01166	D06BA03
dr:D01167	A02AA02
dr:D01167	A06AD02
dr:D01167	A12CC10
dr:D01172	R06AA07
dr:D01173	C08CA14
dr:D01174	D04AA16
dr:D01174	R06AB05
dr:D01177	N01AH06
dr:D01178	J01CE05
dr:D01179	N06AX21
dr:D01180	H02CA01
dr:D01181	V08AB11
dr:D01182	C07AA01
dr:D01183	M01AG02
dr:D01186	V03AC01
dr:D01187	V04CG02
dr:D01190	N03AX13
dr:D01191	A06AB09
dr:D01192	R01AC08
dr:D01192	S01GX09
dr:D01194	B03AA02
dr:D01194	B03AD02
dr:D01195	J04AD01
dr:D01196	S01EC01
dr:D01197	C04AX11
dr:D01199	J05AF09
dr:D01200	V04CH03
dr:D01201	A03AB17
dr:D01203	B05CB04
dr:D01203	B05XA02
dr:D01204	C09CA08
dr:D01205	N05CM18
dr:D01206	M04AA03
dr:D01207	A02BC01
dr:D01208	C10AB01
dr:D01208	C10AB03
dr:D01211	V03AF03
dr:D01212	C10AB06
dr:D01213	C03XA01
dr:D01215	M03AA01
dr:D01216	J01ED02
dr:D01217	G03DB01
dr:D01219	N05AE01
dr:D01220	C01DX11
dr:D01222	A09AB04
dr:D01223	L01BC06
dr:D01224	R01BA01
dr:D01225	A11DA01
dr:D01226	N05AL01
dr:D01227	C02KX01
dr:D01228	N07AA03
dr:D01229	H02AB05
dr:D01230	N05CD03
dr:D01233	C01DX03
dr:D01234	A11HA32
dr:D01235	J01FA07
dr:D01236	C03XA02
dr:D01238	C01CE04
dr:D01239	A07EA01
dr:D01239	C05AA04
dr:D01239	D07AA03
dr:D01239	D07XA02
dr:D01239	H02AB06
dr:D01239	R01AD02
dr:D01239	S01BA04
dr:D01239	S01CB02
dr:D01239	S02BA03
dr:D01239	S03BA02
dr:D01240	C01AA07
dr:D01242	D04AA10
dr:D01242	R06AD02
dr:D01243	N01BB04
dr:D01244	L01BC03
dr:D01245	N05BA08
dr:D01248	B05CA08
dr:D01248	D08AA01
dr:D01249	J01CF05
dr:D01251	J01CA01
dr:D01251	S01AA19
dr:D01252	M01AB06
dr:D01253	N05BA09
dr:D01254	N05BA23
dr:D01255	A11DA03
dr:D01256	C03AA09
dr:D01258	V08AA04
dr:D01260	R05DB05
dr:D01261	S01JA01
dr:D01262	J01DB10
dr:D01263	G02CA01
dr:D01264	L01DB02
dr:D01266	D07AC19
dr:D01267	N02BG04
dr:D01268	N05BA22
dr:D01269	G04BD08
dr:D01270	L01AC03
dr:D01271	M01AB17
dr:D01271	M02AA09
dr:D01272	D07AD01
dr:D01273	D07AB01
dr:D01273	S01BA09
dr:D01275	L01DB01
dr:D01276	J05AE08
dr:D01277	C01CA27
dr:D01280	B01AA03
dr:D01281	G03GB01
dr:D01282	B02BX01
dr:D01283	J01CA05
dr:D01285	N06AA07
dr:D01287	N01BB10
dr:D01288	R07AB08
dr:D01289	M02AA22
dr:D01290	C04AE02
dr:D01292	N05BA03
dr:D01293	N05BA18
dr:D01294	G03DC06
dr:D01295	N07CA02
dr:D01296	N06BA04
dr:D01297	A02BX03
dr:D01298	A12BA05
dr:D01299	G03DB06
dr:D01301	A14AA04
dr:D01302	C02DB02
dr:D01303	N07CA03
dr:D01304	C01CA25
dr:D01305	M01AX18
dr:D01305	M02AA16
dr:D01306	A02BX11
dr:D01307	C01CA17
dr:D01308	D07AD02
dr:D01310	N05CA06
dr:D01311	V08AB01
dr:D01312	V08AC01
dr:D01313	V08AC05
dr:D01314	N06AA08
dr:D01317	R06AE05
dr:D01319	A11DA02
dr:D01320	C01DX12
dr:D01321	N05AX11
dr:D01322	J01FA08
dr:D01324	R06AD07
dr:D01325	M01AE11
dr:D01326	C01BB04
dr:D01327	D07AC10
dr:D01328	N05BA21
dr:D01332	R06AX17
dr:D01332	S01GX08
dr:D01333	C02CA06
dr:D01335	D01AE09
dr:D01336	R06AA08
dr:D01337	B01AC09
dr:D01338	M05BX01
dr:D01339	J01FA03
dr:D01340	A06AH04
dr:D01340	V03AB15
dr:D01342	V04CX01
dr:D01343	D04AA13
dr:D01343	R06AB03
dr:D01344	M01AE05
dr:D01345	A01AB03
dr:D01345	B05CA02
dr:D01345	D08AC02
dr:D01345	D09AA12
dr:D01345	R02AA05
dr:D01345	S01AX09
dr:D01345	S02AA09
dr:D01345	S03AA04
dr:D01346	V04CK03
dr:D01347	R01AA09
dr:D01348	G02CB06
dr:D01349	R03AC08
dr:D01349	R03CC07
dr:D01350	A07AA04
dr:D01350	J01GA01
dr:D01351	N02BG03
dr:D01352	G02AD01
dr:D01354	N05BA17
dr:D01355	N02AX02
dr:D01356	A10BC01
dr:D01357	A07EA04
dr:D01357	C05AA05
dr:D01357	D07AC01
dr:D01357	D07XC01
dr:D01357	H02AB01
dr:D01357	R01AD06
dr:D01357	R03BA04
dr:D01357	S01BA06
dr:D01357	S01CB04
dr:D01357	S02BA07
dr:D01357	S03BA03
dr:D01358	N06AX03
dr:D01360	R03AC14
dr:D01360	R03CC13
dr:D01361	D10AF02
dr:D01361	J01FA01
dr:D01361	S01AA17
dr:D01362	R03AC11
dr:D01362	R03CC11
dr:D01363	L01XA02
dr:D01364	D01AE14
dr:D01364	G01AX12
dr:D01365	A03AX09
dr:D01366	C10AB02
dr:D01367	C05AA06
dr:D01367	D07AB06
dr:D01367	D07XB04
dr:D01367	D10AA01
dr:D01367	S01BA07
dr:D01367	S01CB05
dr:D01368	G03HA01
dr:D01369	C07AB06
dr:D01370	L01BB04
dr:D01370	L04AA40
dr:D01371	N06BX18
dr:D01372	N05CF01
dr:D01373	R03AC13
dr:D01374	G03DC01
dr:D01375	A14AA04
dr:D01376	V08AA03
dr:D01377	A03AB18
dr:D01379	C01AB01
dr:D01380	N02BB04
dr:D01382	N03AA30
dr:D01383	N02AB02
dr:D01384	D01AE19
dr:D01385	R03DC04
dr:D01386	C01CA26
dr:D01386	R01AA03
dr:D01386	R01AB05
dr:D01386	R03CA02
dr:D01386	S01FB02
dr:D01387	D07AC11
dr:D01388	V08AC02
dr:D01389	R05DB10
dr:D01390	C01CA02
dr:D01390	R03AB02
dr:D01390	R03CB01
dr:D01391	N05CM03
dr:D01393	P02CB01
dr:D01399	N01AH01
dr:D01399	N02AB03
dr:D01401	J01DE02
dr:D01402	A07EA04
dr:D01402	C05AA05
dr:D01402	D07AC01
dr:D01402	D07XC01
dr:D01402	H02AB01
dr:D01402	R01AD06
dr:D01402	R03BA04
dr:D01402	S01BA06
dr:D01402	S01CB04
dr:D01402	S02BA07
dr:D01402	S03BA03
dr:D01405	C01CA05
dr:D01406	A11HA03
dr:D01407	J01BA02
dr:D01408	N05CD01
dr:D01410	A01AD02
dr:D01410	G02CC03
dr:D01410	M01AX07
dr:D01410	M02AA05
dr:D01410	R02AX03
dr:D01412	N05AB10
dr:D01413	G03CA03
dr:D01414	A14AB02
dr:D01415	J01DC07
dr:D01419	C04AC01
dr:D01419	C10AD02
dr:D01421	V04CH30
dr:D01426	J01XD02
dr:D01426	P01AB02
dr:D01427	R05DB02
dr:D01428	G02CA03
dr:D01428	R03AC04
dr:D01428	R03CC04
dr:D01429	D01AC15
dr:D01429	J02AC01
dr:D01430	G04BX16
dr:D01431	J01MB03
dr:D01436	C03BA12
dr:D01437	M02AA24
dr:D01437	N02BB05
dr:D01440	C01DX07
dr:D01441	L01XE01
dr:D01442	A01AC03
dr:D01442	A07EA02
dr:D01442	C05AA01
dr:D01442	D07AA02
dr:D01442	D07XA01
dr:D01442	H02AB09
dr:D01442	S01BA02
dr:D01442	S01CB03
dr:D01442	S02BA01
dr:D01445	C04AX28
dr:D01446	A02AA01
dr:D01446	A06AD01
dr:D01447	N05AB08
dr:D01448	N05AB06
dr:D01450	N01BB01
dr:D01451	A03BB01
dr:D01452	S01EE02
dr:D01453	N06BC01
dr:D01454	C07AA19
dr:D01455	C01BG07
dr:D01458	D01AA04
dr:D01459	R05CB05
dr:D01459	V03AF01
dr:D01462	G02CB02
dr:D01462	N02CA07
dr:D01464	D07AB03
dr:D01464	D07XB01
dr:D01465	N06BX10
dr:D01466	N02BA07
dr:D01467	A02BA06
dr:D01471	C07AB11
dr:D01472	D05AX04
dr:D01473	J01DC14
dr:D01474	V08AB09
dr:D01475	M01AE09
dr:D01475	M02AA19
dr:D01475	R02AX01
dr:D01475	S01BC04
dr:D01476	A14AB01
dr:D01476	S01XA11
dr:D01477	N06AA05
dr:D01478	R06AX22
dr:D01479	R05CB06
dr:D01480	D01AC05
dr:D01480	G01AF07
dr:D01481	N02AA08
dr:D01482	N05AD05
dr:D01485	N05AC01
dr:D01486	J01AA09
dr:D01489	J01CA16
dr:D01490	R05DB04
dr:D01495	R05DB24
dr:D01499	J01CA08
dr:D01500	A03AA05
dr:D01501	J04AC01
dr:D01506	R05DA11
dr:D01507	M02AX06
dr:D01507	M03BX04
dr:D01510	A01AC02
dr:D01510	C05AA09
dr:D01510	D07AB19
dr:D01510	D07XB05
dr:D01510	D10AA03
dr:D01510	H02AB02
dr:D01510	R01AD03
dr:D01510	S01BA01
dr:D01510	S01CB01
dr:D01510	S02BA06
dr:D01510	S03BA01
dr:D01512	S01ED06
dr:D01513	M01AE16
dr:D01514	N05BA19
dr:D01516	D10AD01
dr:D01516	L01XX14
dr:D01517	J01DB12
dr:D01518	A11CC03
dr:D01520	N05AA02
dr:D01522	N05AL03
dr:D01523	J01GB12
dr:D01525	B02BX02
dr:D01526	J01EB01
dr:D01528	J01DB11
dr:D01529	A02BX07
dr:D01530	A11HA03
dr:D01531	J01MB04
dr:D01532	A03AB13
dr:D01536	S01KA02
dr:D01537	N07XX03
dr:D01538	A03AX14
dr:D01540	P03AX05
dr:D01542	A06AD15
dr:D01543	C04AA02
dr:D01543	G02CA02
dr:D01545	M01AB16
dr:D01545	M02AA25
dr:D01546	N06AA16
dr:D01548	N05AX10
dr:D01549	C09AA16
dr:D01551	B01AC19
dr:D01552	N07XX14
dr:D01553	C08CA11
dr:D01555	V08AB07
dr:D01560	J01DF02
dr:D01561	A12BA03
dr:D01563	V04CH02
dr:D01565	C01EB03
dr:D01565	M01AB01
dr:D01565	M02AA23
dr:D01565	S01BC01
dr:D01566	L04AA19
dr:D01567	M01AA06
dr:D01569	R05DB21
dr:D01570	V09AB01
dr:D01571	C04AX10
dr:D01571	G04BE06
dr:D01572	V03AB04
dr:D01573	C01CA01
dr:D01575	D08AH01
dr:D01575	G01AC05
dr:D01575	R02AA02
dr:D01576	R05DB09
dr:D01578	S01BC09
dr:D01580	G03AC02
dr:D01580	G03DC03
dr:D01581	M01AG03
dr:D01582	M01AB11
dr:D01583	L04AX05
dr:D01584	A16AX02
dr:D01588	A01AB06
dr:D01592	N07CA01
dr:D01594	M02AA11
dr:D01594	S01BC07
dr:D01596	D06AA03
dr:D01596	G01AA07
dr:D01596	J01AA06
dr:D01596	S01AA04
dr:D01597	N05AH06
dr:D01599	A10BB09
dr:D01601	J01EC01
dr:D01603	C02CC01
dr:D01605	C03BA09
dr:D01606	C01EB15
dr:D01608	R05DB03
dr:D01609	R05DB21
dr:D01610	R05CA09
dr:D01612	A06AB08
dr:D01615	A01AC02
dr:D01615	C05AA09
dr:D01615	D07AB19
dr:D01615	D07XB05
dr:D01615	D10AA03
dr:D01615	H02AB02
dr:D01615	R01AD03
dr:D01615	S01BA01
dr:D01615	S01CB01
dr:D01615	S02BA06
dr:D01615	S03BA01
dr:D01616	A14AA07
dr:D01616	G03XX01
dr:D01617	G03CA03
dr:D01618	A01AB08
dr:D01618	A07AA01
dr:D01618	B05CA09
dr:D01618	D06AX04
dr:D01618	J01GB05
dr:D01618	R02AB01
dr:D01618	S01AA03
dr:D01618	S02AA07
dr:D01618	S03AA01
dr:D01619	A01AC03
dr:D01619	A07EA02
dr:D01619	C05AA01
dr:D01619	D07AA02
dr:D01619	D07AB02
dr:D01619	D07XA01
dr:D01619	H02AB09
dr:D01619	S01BA02
dr:D01619	S01CB03
dr:D01619	S02BA01
dr:D01621	A11CA01
dr:D01621	D10AD02
dr:D01621	R01AX02
dr:D01621	S01XA02
dr:D01622	A11HA04
dr:D01622	S01XA26
dr:D01627	R06AA07
dr:D01628	J01DD16
dr:D01629	J01DD10
dr:D01630	N06BC02
dr:D01631	V04CG04
dr:D01632	A01AC02
dr:D01632	C05AA09
dr:D01632	D07AB19
dr:D01632	D07XB05
dr:D01632	D10AA03
dr:D01632	H02AB02
dr:D01632	R01AD03
dr:D01632	S01BA01
dr:D01632	S01CB01
dr:D01632	S02BA06
dr:D01632	S03BA01
dr:D01634	C03CA03
dr:D01635	R03CB02
dr:D01636	J01FA11
dr:D01637	A07EA04
dr:D01637	C05AA05
dr:D01637	D07AC01
dr:D01637	D07XC01
dr:D01637	H02AB01
dr:D01637	R01AD06
dr:D01637	R03BA04
dr:D01637	S01BA06
dr:D01637	S01CB04
dr:D01637	S02BA07
dr:D01637	S03BA03
dr:D01639	G03CX01
dr:D01642	A02BX12
dr:D01644	V08CA07
dr:D01645	V08CA03
dr:D01646	V08CA06
dr:D01648	A03BA03
dr:D01649	J01CE03
dr:D01650	A03AX07
dr:D01655	J05AF08
dr:D01657	N05CD06
dr:D01663	P01BC01
dr:D01664	D01AC13
dr:D01664	G01AF16
dr:D01665	A10BF03
dr:D01667	C09AA12
dr:D01668	J01CR04
dr:D01671	M03BX09
dr:D01673	C04AA31
dr:D01675	M02AA08
dr:D01680	J01DD17
dr:D01685	H01CC02
dr:D01686	J01DD18
dr:D01689	S01BA14
dr:D01692	G04CA01
dr:D01695	L03AX01
dr:D01699	G04BD10
dr:D01700	R05DB16
dr:D01702	D01AE17
dr:D01703	R01AD13
dr:D01703	R03BA08
dr:D01707	V08CA01
dr:D01708	D07AC17
dr:D01708	R01AD08
dr:D01708	R03BA05
dr:D01710	J01FA06
dr:D01711	D08AX07
dr:D01712	R03DA04
dr:D01713	R06AX24
dr:D01713	S01GX10
dr:D01714	V08AB06
dr:D01716	J01MA08
dr:D01717	R01AC02
dr:D01717	S01GX02
dr:D01719	V08AB10
dr:D01720	D01AE16
dr:D01721	A06AD14
dr:D01721	C01DA05
dr:D01724	S01XA07
dr:D01725	B03AA07
dr:D01725	B03AD03
dr:D01729	V09IX01
dr:D01730	D08AL01
dr:D01730	S01AX02
dr:D01732	A06AD13
dr:D01732	A12CA02
dr:D01733	S01LA02
dr:D01735	A11HA03
dr:D01736	J01DC13
dr:D01737	A14AB01
dr:D01737	S01XA11
dr:D01739	J01DD05
dr:D01740	N05CA04
dr:D01741	C07AB08
dr:D01742	A03FA06
dr:D01744	N05CD09
dr:D01745	A03FA03
dr:D01747	L01DB06
dr:D01748	C04AA01
dr:D01750	N06BX13
dr:D01753	J01GB09
dr:D01754	C10AD01
dr:D01755	V08AD03
dr:D01756	C01DA09
dr:D01760	L01AD07
dr:D01761	V08AB03
dr:D01762	N02BB02
dr:D01764	D07AC06
dr:D01764	D07XC04
dr:D01765	M01AB14
dr:D01766	B02AB04
dr:D01767	M01AC02
dr:D01768	D04AB03
dr:D01768	S01HA02
dr:D01769	L01CA03
dr:D01771	R03DA03
dr:D01772	N01AA01
dr:D01773	R06AE06
dr:D01774	V08AC04
dr:D01775	D01AC10
dr:D01776	N02BB01
dr:D01776	S02DA03
dr:D01778	R05CB02
dr:D01779	B05XA08
dr:D01781	B05CB02
