drug	atc
dr:D00198	C02AA01
dr:D00199	C01BA05
dr:D00201	A01AB13
dr:D00201	D06AA04
dr:D00201	J01AA07
dr:D00201	S01AA09
dr:D00201	S02AA08
dr:D00201	S03AA02
dr:D00202	A07AA02
dr:D00202	D01AA01
dr:D00202	G01AA01
dr:D00203	A01AB04
dr:D00203	A07AA07
dr:D00203	G01AA03
dr:D00203	J02AA01
dr:D00204	J01CA01
dr:D00204	S01AA19
dr:D00205	D06AA03
dr:D00205	G01AA07
dr:D00205	J01AA06
dr:D00205	S01AA04
dr:D00208	L01DC03
dr:D00209	D01AA08
dr:D00209	D01BA01
dr:D00210	J01MA06
dr:D00210	S01AE02
dr:D00211	J04AB02
dr:D00212	A07AA09
dr:D00212	J01XA01
dr:D00213	D06AX01
dr:D00213	D09AA02
dr:D00213	J01XC01
dr:D00213	S01AA13
dr:D00214	L01DA01
dr:D00215	D03AX12
dr:D00216	A10BF01
dr:D00217	N02BE01
dr:D00218	S01EC01
dr:D00219	A10BB31
dr:D00220	G04BX03
dr:D00221	R05CB01
dr:D00221	S01XA08
dr:D00221	V03AB23
dr:D00222	D06BB03
dr:D00222	J05AB01
dr:D00222	S01AD03
dr:D00223	J01FF02
dr:D00224	M04AA01
dr:D00225	N05BA12
dr:D00226	V03AF05
dr:D00227	R03DA05
dr:D00228	N06AA17
dr:D00229	J01CA04
dr:D00230	J01CR02
dr:D00230	J01RA01
dr:D00231	C01CE01
dr:D00233	D05AC01
dr:D00234	R06AX11
dr:D00235	C07AB03
dr:D00236	P01AX06
dr:D00237	M01CB03
dr:D00238	L04AX01
dr:D00240	J01DF01
dr:D00241	M03BX01
dr:D00242	R05DB01
dr:D00244	A07EA04
dr:D00244	C05AA05
dr:D00244	D07AC01
dr:D00244	D07XC01
dr:D00244	H02AB01
dr:D00244	R01AD06
dr:D00244	R03BA04
dr:D00244	S01BA06
dr:D00244	S01CB04
dr:D00244	S02BA07
dr:D00244	S03BA03
dr:D00245	A06AB02
dr:D00245	A06AG02
dr:D00246	A07EA06
dr:D00246	D07AC09
dr:D00246	R01AD05
dr:D00246	R03BA02
dr:D00247	C03CA02
dr:D00248	L01AB01
dr:D00249	H05BA01
dr:D00250	M02AB01
dr:D00250	N01BX04
dr:D00251	C09AA01
dr:D00252	N03AF01
dr:D00253	N04BA02
dr:D00254	L01AD01
dr:D00255	C07AG02
dr:D00256	J01DC04
dr:D00257	J01DB05
dr:D00258	J01DD08
dr:D00259	J01DC11
dr:D00260	J01DC05
dr:D00261	J01DC10
dr:D00262	J01DC02
dr:D00262	S01AA27
dr:D00263	J01DB01
dr:D00264	J01DB09
dr:D00265	N05CC01
dr:D00266	L01AA02
dr:D00267	N05BA02
dr:D00268	M03BB02
dr:D00269	G03CA06
dr:D00270	N05AA01
dr:D00271	A10BB02
dr:D00272	C03BA04
dr:D00273	J05AB12
dr:D00274	A03FA02
dr:D00275	L01XA01
dr:D00276	J01FA09
dr:D00277	D10AF01
dr:D00277	G01AA10
dr:D00277	J01FF01
dr:D00278	J04BA01
dr:D00279	C10AB01
dr:D00280	N03AE01
dr:D00281	C02AC01
dr:D00281	N02CX02
dr:D00281	S01EA04
dr:D00282	A01AB18
dr:D00282	D01AC01
dr:D00282	G01AF02
dr:D00283	N05AH02
dr:D00284	H01AA02
dr:D00285	J01EE01
dr:D00286	C04AX01
dr:D00287	L01AA01
dr:D00288	L01AX04
dr:D00289	G03XA01
dr:D00290	D06AA01
dr:D00290	J01AA01
dr:D00291	H01BA02
dr:D00292	A01AC02
dr:D00292	C05AA09
dr:D00292	D07AB19
dr:D00292	D07XB05
dr:D00292	D10AA03
dr:D00292	H02AB02
dr:D00292	R01AD03
dr:D00292	S01BA01
dr:D00292	S01CB01
dr:D00292	S02BA06
dr:D00292	S03BA01
dr:D00293	N05BA01
dr:D00294	C02DA01
dr:D00294	V03AH01
dr:D00295	A02BA01
dr:D00296	J05AF02
dr:D00297	C01AA04
dr:D00298	C01AA05
dr:D00299	A11CC02
dr:D00300	D04AA32
dr:D00300	R06AA02
dr:D00302	B01AC07
dr:D00303	C01BA03
dr:D00304	N03AG01
dr:D00305	A06AA02
dr:D00306	A04AD10
dr:D00307	A01AB22
dr:D00307	J01AA02
dr:D00308	N05AD08
dr:D00310	J01MA04
dr:D00311	N05CD04
dr:D00312	G03CA07
dr:D00312	G03CC04
dr:D00313	C03CC01
dr:D00314	M05BA01
dr:D00315	M01AB08
dr:D00316	D05BB01
dr:D00317	J05AB09
dr:D00317	S01AD07
dr:D00318	A02BA03
dr:D00319	C08CA02
dr:D00320	N01AH01
dr:D00320	N02AB03
dr:D00321	D11AX10
dr:D00321	G04CB01
dr:D00322	D01AC15
dr:D00322	J02AC01
dr:D00323	D01AE21
dr:D00323	J02AX01
dr:D00324	R01AD04
dr:D00324	R03BA03
dr:D00325	C05AA11
dr:D00325	D07AC08
dr:D00326	N06AB03
dr:D00327	G03BA01
dr:D00328	D07AC07
dr:D00329	N05CD01
dr:D00330	M01AE09
dr:D00330	M02AA19
dr:D00330	R02AX01
dr:D00330	S01BC04
dr:D00331	C03CA01
dr:D00332	N03AX12
dr:D00333	J05AB06
dr:D00333	S01AD09
dr:D00334	C10AB04
dr:D00335	A10BB07
dr:D00336	A10BB01
dr:D00337	R05CA03
dr:D00338	N05BA13
dr:D00339	D01AE11
dr:D00340	C03AA03
dr:D00341	L01XX05
dr:D00342	D06BB01
dr:D00342	J05AB02
dr:D00342	S01AD01
dr:D00343	L01AA06
dr:D00344	J01DH51
dr:D00345	C03BA11
dr:D00346	J04AC01
dr:D00348	D10AD04
dr:D00348	D10BA01
dr:D00349	C08CA03
dr:D00350	J02AC02
dr:D00351	D01AC08
dr:D00351	G01AF11
dr:D00351	J02AB02
dr:D00352	A06AD11
dr:D00353	J05AF05
dr:D00354	N03AX09
dr:D00355	A02BC03
dr:D00356	S01EE01
dr:D00357	C09CA01
dr:D00358	C01BB01
dr:D00358	C05AD01
dr:D00358	D04AB01
dr:D00358	N01BB02
dr:D00358	R02AD02
dr:D00358	S01HA07
dr:D00358	S02DA01
dr:D00359	C10AA02
dr:D00360	P03AB02
dr:D00362	C09AA03
dr:D00363	L01AD02
dr:D00364	R06AX13
dr:D00365	N05BA06
dr:D00366	H01BA03
dr:D00367	A08AA05
dr:D00368	P02CA01
dr:D00369	L01AA03
dr:D00370	N05CD07
dr:D00371	R03DA04
dr:D00372	D01AC06
dr:D00372	P02CA02
