ds	icd
ds:H00267	Q04.2
ds:H00268	Q04.3
ds:H00269	Q02
ds:H00270	Q04.8
ds:H00271	Q04.8
ds:H00272	E75.2
ds:H00273	E88.9
ds:H00274	Q82.8
ds:H00275	E72.0
ds:H00276	E75.1
ds:H00277	A04.3
ds:H00278	A04.0
ds:H00281	E75.1
ds:H00282	E85.0
ds:H00286	K50
ds:H00288	E85.0
ds:H00289	O01
ds:H00290	G31.8
ds:H00292	I42
ds:H00293	I42
ds:H00294	I42
ds:H00295	I40
ds:H00296	Q82.8
ds:H00297	A20
ds:H00299	A03
ds:H00304	A41.3
ds:H00304	A49.2
ds:H00304	G00.0
ds:H00304	J14
ds:H00304	J20.1
ds:H00305	A57
ds:H00306	A28.0
ds:H00310	A78
ds:H00311	A48.1
ds:H00311	A48.2
ds:H00312	A21
ds:H00314	A39
ds:H00315	A54
ds:H00319	A37
ds:H00320	A49.8
ds:H00321	A04.5
ds:H00322	A75
ds:H00323	A77
ds:H00324	A75.3
ds:H00325	A23
ds:H00326	A28.1
ds:H00326	A44
ds:H00328	A22
ds:H00330	U82.1
ds:H00331	U83.0
ds:H00332	A32
ds:H00333	A40
ds:H00333	A49.1
ds:H00333	G00.2
ds:H00333	J02.0
ds:H00333	J03.0
ds:H00333	J15.3
ds:H00333	J15.4
ds:H00333	M60.0A
ds:H00333	P36.0
ds:H00333	P36.1
ds:H00334	I39.8
ds:H00336	A48.0
ds:H00337	A33
ds:H00337	A34
ds:H00337	A35
ds:H00338	A04.7
ds:H00339	A05.1
ds:H00340	A41.4A
ds:H00340	A49.8A
ds:H00340	J15.8A
ds:H00341	J15.7
ds:H00341	J20.0
ds:H00342	A15
ds:H00342	A16
ds:H00342	A17
ds:H00342	A18
ds:H00342	A19
ds:H00343	A36
ds:H00344	A30
ds:H00346	J67
ds:H00347	A56.0
ds:H00347	N37.0
ds:H00348	A55
ds:H00349	A71
ds:H00350	A70
ds:H00353	A69.2
ds:H00354	A50
ds:H00354	A51
ds:H00354	A52
ds:H00354	A53
ds:H00355	A27
ds:H00356	A07.2
ds:H00357	B56
ds:H00358	B57
ds:H00359	B55
ds:H00360	A06
ds:H00361	B50
ds:H00361	B51
ds:H00361	B52
ds:H00361	B53
ds:H00362	A07.1
ds:H00363	B37
ds:H00364	B45
ds:H00365	B00
ds:H00365	A60
ds:H00365	O26.4
ds:H00365	P35.2
ds:H00366	B01
ds:H00366	B02
ds:H00367	B27.0
ds:H00368	B20.2
ds:H00368	B25
ds:H00368	B27.1
ds:H00368	P35.1
ds:H00372	B03
ds:H00374	B07
ds:H00375	E71.1
ds:H00376	A80
ds:H00377	A82
ds:H00384	A95
ds:H00392	E71.3
ds:H00394	B05
ds:H00395	B06
ds:H00395	P35.0
ds:H00396	B26
ds:H00398	J10
ds:H00399	J09
ds:H00401	J12.1
ds:H00401	J20.5
ds:H00401	J21.0
ds:H00403	Q87
ds:H00406	B20
ds:H00406	B21
ds:H00406	B22
ds:H00406	B23
ds:H00406	B24
ds:H00407	E71.3
ds:H00408	E10
ds:H00409	E11
ds:H00410	E13
ds:H00411	B15
ds:H00412	B16
ds:H00413	B17.1
ds:H00417	Q87.8
ds:H00418	Q87.8
ds:H00419	E88.1
ds:H00420	E88.1
ds:H00421	E76.0
ds:H00421	E76.1
ds:H00421	E76.2
ds:H00422	E77.1
ds:H00423	E75.2
ds:H00424	E75.2
ds:H00425	Q82.8
ds:H00426	E75.1
ds:H00427	A68
ds:H00428	N25.8
ds:H00429	N25.8
ds:H00430	M61.1
ds:H00431	M48.8
ds:H00432	K00.5
ds:H00433	Q87.2
