ds	icd
ds:H01267	E16.1
ds:H01268	E72.4
ds:H01269	E05.8
ds:H01270	E78.6
ds:H01271	Q87.8
ds:H01272	Q23.4
ds:H01273	H16.8
ds:H01274	E34.3
ds:H01276	K59.8
ds:H01277	D51.0
ds:H01277	D51.1
ds:H01278	D50.8
ds:H01279	E71.1
ds:H01281	Q87.8
ds:H01282	N46
ds:H01283	E72.8
ds:H01284	G11.1
ds:H01285	E72.1
ds:H01286	Q87.0
ds:H01287	G25.8
ds:H01288	Q99.8
ds:H01289	Q87.1
ds:H01290	R82.1
ds:H01291	G71.8
ds:H01292	Q87.0
ds:H01293	G47.4
ds:H01294	E22.2
ds:H01295	G31.8
ds:H01296	G60.0
ds:H01297	E75.5
ds:H01299	J84.1
ds:H01305	G31.8
ds:H01306	F79
ds:H01307	L60.3
ds:H01308	Q87.3
ds:H01309	D86
ds:H01310	G71.2
ds:H01312	A04.4
ds:H01314	A25
ds:H01314	A25.0
ds:H01314	A25.1
ds:H01315	A26
ds:H01316	B35
ds:H01317	K05
ds:H01318	A66
ds:H01321	A40.3
ds:H01321	A49.1
ds:H01325	A42
ds:H01328	B44
ds:H01331	K02
ds:H01333	K75.8
ds:H01333	K76.0
ds:H01334	B36.0
ds:H01338	G71.8
ds:H01340	G71.8
ds:H01341	G71.8
ds:H01342	Q87.8
ds:H01344	D82.8
ds:H01346	Q82.8
ds:H01347	G71.3
ds:H01348	G71.3
ds:H01349	E71.1
ds:H01351	G11.4
ds:H01352	E71.3
ds:H01354	G31.8
ds:H01355	H49.8
ds:H01356	G71.3
ds:H01357	L23
ds:H01358	L20
ds:H01360	J30
ds:H01362	L13.0
ds:H01363	G31.8
ds:H01364	E71.3
ds:H01365	H47.2
ds:H01366	H10.9
ds:H01367	K72.0
ds:H01368	G71.3
ds:H01369	G71.3
ds:H01370	Q87.1
ds:H01371	E83.5
ds:H01372	L80
ds:H01375	D55.0
ds:H01376	Q75.4
ds:H01378	H47.2
ds:H01380	N76
ds:H01381	D68.5
ds:H01382	M30.0
ds:H01383	E78.0
ds:H01384	G71.3
ds:H01385	Q87.4
ds:H01386	E72.0
ds:H01388	E22.1
ds:H01389	G31.8
ds:H01390	G71.3
ds:H01391	M79.6
ds:H01392	Q74.3
ds:H01395	H49.4
ds:H01396	I67.5
ds:H01398	E72.2
ds:H01400	E72.2
ds:H01401	B95
ds:H01403	Q87.1
ds:H01404	Q82.8
ds:H01408	K05
ds:H01409	B95
ds:H01412	Q87.3
ds:H01413	Q87.2
ds:H01415	A58
ds:H01417	G04.9
ds:H01418	A63.0
ds:H01423	J13
ds:H01424	J02.0
ds:H01425	E70
ds:H01425	E72
ds:H01425	E74
ds:H01425	E75
ds:H01425	E76
ds:H01425	E77
ds:H01425	E83
ds:H01425	Q82
ds:H01428	Q82.1
ds:H01431	E24
ds:H01432	G25
ds:H01433	I82.0
ds:H01434	D58.8
ds:H01435	Q89.0
ds:H01436	G61.0
ds:H01437	Q85.0
ds:H01438	Q85.0
ds:H01439	Q93.8
ds:H01440	A69.1
ds:H01440	K05
ds:H01445	L70.0
ds:H01447	F45.2
ds:H01450	F42
ds:H01456	E14.2
ds:H01457	E14.3
ds:H01458	A31.9
ds:H01459	E14.4
ds:H01460	G40.4
ds:H01463	C84
ds:H01464	C83
ds:H01465	M31.4
ds:H01465	M31.6
ds:H01466	K51
ds:H01467	K74.3
ds:H01468	M30.1
ds:H01469	K91.8
ds:H01470	D48.0
ds:H01471	D18.1
ds:H01472	U84.3
ds:H01472	U84.7
ds:H01473	A30.8
ds:H01473	L52
ds:H01475	E88.1
ds:H01477	Q43.8
ds:H01478	G11.8
ds:H01479	D36.0
ds:H01481	D46
ds:H01482	D18.00
ds:H01483	E22.0
ds:H01484	D46.7
ds:H01486	Q87.8
ds:H01487	Q87.8
ds:H01490	G35
ds:H01491	G36.0
ds:H01492	M34
ds:H01494	Q77.7
ds:H01495	H81.0
ds:H01496	Q87.5
ds:H01497	Q87.2
ds:H01498	Q74.8
ds:H01499	B42
ds:H01500	M32.1
ds:H01500	N08.5
ds:H01501	B40
ds:H01502	M35.0
ds:H01504	H20.8
ds:H01504	H30.8
ds:H01506	K72
ds:H01508	C08.9
ds:H01509	C09.9
ds:H01510	C75.5
ds:H01511	C94.3
ds:H01512	C96.0
ds:H01512	C96.5
ds:H01512	C96.6
ds:H01513	C69.2
ds:H01514	F80.3
ds:H01515	A38
ds:H01516	M06.1
ds:H01517	A46
ds:H01519	B86
ds:H01520	B43
ds:H01521	B59
ds:H01522	E16.4
ds:H01523	D82.0
ds:H01524	D82.1
ds:H01525	Q93.8
ds:H01526	M91.1
ds:H01527	G61.8
ds:H01528	G21.0
ds:H01529	M87.8
ds:H01530	A67
ds:H01531	A65
ds:H01532	M10
ds:H01533	A83.0
ds:H01551	N30.1
ds:H01552	Q90
ds:H01554	C57.0
ds:H01555	C44.3
ds:H01556	D32.9
ds:H01557	C22.3
ds:H01558	D09.3
ds:H01559	C10
ds:H01563	B24
ds:H01565	E51.2
ds:H01566	E51.1
ds:H01567	E51.8
ds:H01568	Q87.8
ds:H01569	Q87.8
ds:H01571	Q78.8
ds:H01572	Q78.0
ds:H01573	Q87.8
ds:H01574	G23.8
ds:H01575	Q77.7
ds:H01577	G25.0
ds:H01578	G62.0
ds:H01579	Q82.8
ds:H01580	E54
ds:H01581	N02.8
ds:H01582	E52
ds:H01583	E70.8
ds:H01584	D69.0
ds:H01585	D59.0
ds:H01585	D59.1
ds:H01586	D60
ds:H01587	D65
ds:H01588	G44.0
ds:H01589	E71.3
ds:H01590	D47.5
ds:H01591	C26
ds:H01592	C73
ds:H01593	M80
ds:H01593	M81
ds:H01593	M82
ds:H01594	G70.0
ds:H01595	L93
ds:H01596	G73.1
ds:H01597	G25.8
ds:H01598	E27.1
ds:H01599	D47.5
ds:H01600	G20
ds:H01600	G21
ds:H01601	C84.6
ds:H01601	C84.7
ds:H01602	K21
ds:H01603	E26.0
ds:H01604	M33
ds:H01605	D47.4
ds:H01606	M35.3
ds:H01607	O92.5
ds:H01607	O92.6
ds:H01607	N64.3
ds:H01608	G24.3
ds:H01609	F51.0
ds:H01609	G47.0
ds:H01610	B66.1
ds:H01611	F10.2
ds:H01611	F10.5
ds:H01612	D47.3
ds:H01613	C82
ds:H01614	G23
ds:H01615	K58
ds:H01616	G11
ds:H01617	B66
ds:H01618	E22.0
ds:H01619	I27.0
ds:H01620	I73.0
ds:H01621	I27
ds:H01622	I27.2
ds:H01624	B02.2
ds:H01624	G53.0
ds:H01625	I73.1
ds:H01626	I70
ds:H01628	B66.0
ds:H01629	I74
ds:H01630	Q25.0
ds:H01631	I11
ds:H01631	I13
ds:H01631	I43
ds:H01631	I50
ds:H01631	I51
ds:H01631	P29
ds:H01632	I20
ds:H01633	I10
ds:H01634	K25
ds:H01634	K26
ds:H01634	K27
ds:H01634	K28
ds:H01635	E78
ds:H01636	M79.7
ds:H01637	E78.1
ds:H01637	E78.2
ds:H01637	E78.4
ds:H01638	M79.2
ds:H01639	N80
ds:H01640	D25
ds:H01641	H04.1
ds:H01642	N19
ds:H01643	T69.1
ds:H01644	H01.0
ds:H01644	H01.1
ds:H01645	E05
ds:H01646	F32
ds:H01646	F33
ds:H01647	E06.1
ds:H01648	L10
ds:H01649	F20
ds:H01650	L12
ds:H01651	H35.8
ds:H01652	L21
ds:H01653	F31
ds:H01654	L43
ds:H01655	M31.3
ds:H01656	L40
ds:H01657	N04
ds:H01658	M31.7
ds:H01659	L44.0
ds:H01660	L42
ds:H01661	E75.5
ds:H01661	E78
ds:H01662	F41.1
ds:H01663	L40.1
ds:H01663	L40.3
ds:H01664	F41.0
ds:H01665	C48.1
ds:H01666	C44.9
ds:H01666	C22.3
ds:H01667	C71.6
ds:H01668	G03
ds:H01669	E21.1
ds:H01670	F40.1
ds:H01670	F93.2
ds:H01671	F48
ds:H01672	M08
ds:H01673	L85.1
ds:H01674	M45
ds:H01677	Q03
ds:H01678	Q03.1
ds:H01680	K86.1
ds:H01681	K85
ds:H01682	E22.2
ds:H01683	E22
ds:H01683	E23
ds:H01691	D30.0
ds:H01692	D43.2
ds:H01694	L51.1
ds:H01694	L51.2
ds:H01695	L51.9
ds:H01696	A81.1
ds:H01698	M31.6
ds:H01699	E23.0
ds:H01700	E23.0
ds:H01702	E25.8
ds:H01703	F50
ds:H01704	H91.2
ds:H01705	H90.3
ds:H01705	H91.2
ds:H01709	M87.1
ds:H01710	M35.1
ds:H01711	M48.0
ds:H01712	K72
ds:H01713	J44.8
ds:H01714	J43
ds:H01714	J44
ds:H01717	H46
ds:H01718	M30.3
ds:H01720	D58.1
ds:H01722	Q04.3
ds:H01723	I80.2
ds:H01724	G04.1
ds:H01726	N00.5
ds:H01728	Q60.6
ds:H01729	I49.1
ds:H01729	I49.2
ds:H01729	I49.3
ds:H01729	I49.4
ds:H01730	I21
ds:H01731	Q99.2
ds:H01732	Q93.5
ds:H01733	E34.8
ds:H01734	Q82.8
ds:H01736	Q20.0
ds:H01737	Q81
ds:H01738	Q87.1
ds:H01739	E28.2
ds:H01740	D69.6
ds:H01741	D89.8
ds:H01742	I25.1
ds:H01743	D89.8
ds:H01744	D89.8
ds:H01745	Q87.8
ds:H01746	M35.8
ds:H01747	Q87.1
ds:H01748	D89.8
ds:H01749	Q77.4
ds:H01750	Q77.1
ds:H01751	Q87.3
ds:H01752	Q87.0
ds:H01753	Q87.0
ds:H01754	Q75.1
ds:H01755	Q87.0
ds:H01756	Q87.0
ds:H01757	F01.1
ds:H01758	M94.1
ds:H01760	E74.0
ds:H01762	E74.0
ds:H01763	E80
ds:H01768	H31.2
ds:H01771	Q80
ds:H01772	E27.4
ds:H01773	Q93.3
ds:H01774	M85.2
ds:H01775	G40.3
ds:H01777	G71.1
ds:H01778	G71.0
ds:H01779	G23.8
ds:H01780	G71.1
ds:H01781	G71.8
ds:H01784	E78.3
ds:H01785	Q22.4
ds:H01791	Q93.8
ds:H01793	Q87.8
ds:H01794	Q87.8
ds:H01795	Q87.8
ds:H01796	Q87.8
ds:H01797	Q87.8
ds:H01798	H35.2
ds:H01799	L50.4
ds:H01800	Q87.8
ds:H01807	G93.4
ds:H01808	G40.5
ds:H01809	Q85.8
ds:H01811	Q04.3
ds:H01812	G04.8
ds:H01813	G40.4
ds:H01814	Q87.8
ds:H01815	G40.1
ds:H01816	Q87.8
ds:H01817	Q65.8
ds:H01818	G40.4
ds:H01819	G40.4
ds:H01820	Q89.7
ds:H01821	Q77.8
ds:H01824	Q87.8
ds:H01825	Q77.8
ds:H01827	G40.4
ds:H01827	F80.3
ds:H01828	Q78.8
ds:H01830	Q77.8
ds:H01832	Q87.1
ds:H01834	Q87.3
ds:H01836	G60.8
ds:H01838	Q87.0
ds:H01839	Q87.8
ds:H01843	Q87.8
ds:H01844	Q78.8
ds:H01845	Q87.8
ds:H01847	Q87.2
ds:H01850	Q87.8
ds:H01852	Q69.0
ds:H01852	Q69.2
ds:H01853	K63.3
ds:H01854	Q70.0
ds:H01857	Q87.8
ds:H01859	E83.0
ds:H01860	E23.0
ds:H01861	Q93.5
ds:H01862	E20
ds:H01864	E22.0
ds:H01865	M89.5
ds:H01866	I27.0
ds:H01867	Q62.0
ds:H01868	I34.1
ds:H01869	Q43.8
ds:H01870	Q04.8
ds:H01872	Q87.8
ds:H01873	J44.8
ds:H01876	Q87.8
ds:H01877	Q93.5
ds:H01878	Q87.8
ds:H01879	Q87.1
ds:H01880	Q87.8
ds:H01881	Q04.8
ds:H01882	F84.5
ds:H01883	E34.8
ds:H01884	Q75.8
ds:H01885	Q87.3
ds:H01886	Q87.0
ds:H01887	Q87.8
ds:H01888	Q87.0
ds:H01889	Q87.1
ds:H01890	H35.5
ds:H01891	G31.9
ds:H01892	C84.4
ds:H01892	C84.6
ds:H01892	C84.7
ds:H01892	C86.5
ds:H01893	Q87.5
ds:H01894	E88.8
ds:H01895	F90.0
ds:H01896	Q84.8
ds:H01897	N97.8
ds:H01898	Q87.8
ds:H01898	G11.8
ds:H01898	G11.4
ds:H01899	R48.0
ds:H01900	G31.8
ds:H01901	K22.7
ds:H01902	Q79.6
ds:H01903	G12.1
ds:H01904	Q89.7
ds:H01905	H02.7
ds:H01906	L81.6
ds:H01907	E34.3
ds:H01908	Q87.0
ds:H01910	D48.1
ds:H01911	F78.9
ds:H01912	Q87.3
ds:H01913	Q87.5
ds:H01914	Q87.8
ds:H01915	Q87.8
ds:H01916	Q87.8
ds:H01917	Q87.8
ds:H01918	E78.0
ds:H01919	Q87.8
ds:H01920	G25.9
ds:H01921	Q04.3
ds:H01922	Q87.8
ds:H01923	Q87.8
ds:H01924	I02
ds:H01925	E60
ds:H01926	Q21.0
ds:H01927	Q38.0
ds:H01929	E71.3
ds:H01930	Q87.0
ds:H01931	Q87.2
ds:H01932	Q87.0
ds:H01933	Q82.8
ds:H01934	Q87.0
ds:H01936	K76.8
ds:H01937	Q04.3
ds:H01939	E74.0
ds:H01940	E74.0
ds:H01941	E74.0
ds:H01942	E74.0
ds:H01943	E74.0
ds:H01944	E74.0
ds:H01945	E74.0
ds:H01946	E74.0
ds:H01947	E74.0
ds:H01948	E74.0
ds:H01949	E74.0
ds:H01950	E74.0
ds:H01951	E74.0
ds:H01952	E74.0
ds:H01953	E74.0
ds:H01954	E74.0
ds:H01955	E74.0
ds:H01956	E74.0
ds:H01957	G71.2
ds:H01958	G71.2
ds:H01959	G71.2
ds:H01960	G71.2
ds:H01961	G71.2
ds:H01962	G71.2
ds:H01963	G71.0
ds:H01964	G71.0
ds:H01965	G71.0
ds:H01966	Q78.8
ds:H01967	Q77.7
ds:H01968	D82.4
ds:H01969	D82.3
ds:H01970	D82.3
ds:H01971	E31.0
ds:H01972	E31.0
ds:H01973	Q56.1
ds:H01974	G71.0
ds:H01975	G71.0
ds:H01976	G71.0
ds:H01977	G71.0
ds:H01978	D58.8
ds:H01979	D58.8
ds:H01980	E71.3
ds:H01981	E71.4
ds:H01982	E71.4
ds:H01983	E71.3
ds:H01984	Q87.8
ds:H01985	C49.9
ds:H01986	Q85.0
ds:H01987	G90.1
ds:H01988	Q87.8
ds:H01989	Q87.8
ds:H01990	Q87.0
ds:H01991	Q87.0
ds:H01992	Q87.1
ds:H01993	Q75.0
ds:H01994	G40.3
ds:H01995	G40.3
ds:H01996	E74.4
ds:H01997	E74.4
ds:H01998	E74.4
ds:H01999	E74.4
ds:H02000	E71.0
ds:H02001	D58.8
ds:H02002	D58.8
ds:H02003	E74.4
ds:H02004	E88.8
ds:H02005	E88.4
ds:H02006	E88.4
ds:H02007	E88.8
ds:H02008	E74.2
ds:H02009	E74.2
ds:H02010	E74.2
ds:H02011	E79.0
ds:H02012	Q61.5
ds:H02013	E74.8
ds:H02014	G11.3
ds:H02015	D81.1
ds:H02016	E75.0
ds:H02017	E75.0
ds:H02018	E30.1
ds:H02019	E29.0
ds:H02020	E25.8
ds:H02021	E70.3
ds:H02022	E70.3
ds:H02023	Q87.0
ds:H02024	D71
ds:H02025	E80.3
ds:H02026	E83.5
ds:H02027	E23.0
ds:H02027	E29.1
ds:H02027	Q56
ds:H02028	B74
ds:H02029	A31
ds:H02030	E21.0
ds:H02031	G71.8
ds:H02033	B46
ds:H02034	E03.1
ds:H02035	E23.0
ds:H02036	E23.0
ds:H02037	E34.3
ds:H02038	E23.0
ds:H02039	E23.0
ds:H02040	E34.3
ds:H02041	H52.1
ds:H02042	M89.5
ds:H02043	Q27.9
ds:H02044	Q27.8
ds:H02045	Q15.8
ds:H02046	Q87.0
ds:H02047	Q87.8
ds:H02048	Q74.8
ds:H02049	E27.8
ds:H02050	K05.4
ds:H02051	D72.0
ds:H02052	D72.0
ds:H02053	D69.4
ds:H02054	E80.5
ds:H02055	E80.4
ds:H02056	E80.6
ds:H02057	E80.6
ds:H02058	G40.8
ds:H02059	E66.8
ds:H02060	E66.8
ds:H02061	E30.9
ds:H02062	M06.8
ds:H02064	Q78.8
ds:H02065	Q77.0
ds:H02066	Q77.0
ds:H02067	Q87.1
ds:H02068	Q77.4
ds:H02069	Q77.4
ds:H02070	Q77.7
ds:H02071	Q77.7
ds:H02072	Q87.0
ds:H02073	H35.5
ds:H02074	Q15.8
ds:H02075	H35.5
ds:H02077	H35.5
ds:H02078	H35.5
ds:H02079	Q77.7
ds:H02080	Q77.7
ds:H02081	Q87.0
ds:H02082	Q87.8
ds:H02083	Q82.8
ds:H02084	G71.2
ds:H02085	E71.3
ds:H02086	E88.8
ds:H02087	E70.8
ds:H02088	Q28.9
ds:H02089	L91
ds:H02090	E74.3
ds:H02091	I45.8
ds:H02092	D68.0
ds:H02093	D69.1
ds:H02094	I42.8
ds:H02095	Q87.8
ds:H02096	E71.3
ds:H02097	D69.1
ds:H02098	E71.3
ds:H02099	K76.8
ds:H02100	Q77.3
ds:H02101	G11.8
ds:H02102	Q87.8
ds:H02103	Q93.5
ds:H02104	Q15.8
ds:H02105	E66.8
ds:H02106	E66.8
ds:H02107	H31.2
ds:H02108	H35.5
ds:H02109	E71.1
ds:H02110	H35.5
ds:H02111	F84.0
ds:H02112	Q14.0
ds:H02113	E88.8
ds:H02114	G11.4
ds:H02115	Q16.1
ds:H02116	E72.8
ds:H02117	E72.8
ds:H02119	Q87.3
ds:H02120	Q00.0
ds:H02121	Q93.5
ds:H02122	I49.9
ds:H02122	K59.8
ds:H02123	K90.0
ds:H02124	J84.0
ds:H02125	I45.8
ds:H02126	Q75.4
ds:H02127	Q87.8
ds:H02129	Q79.4
ds:H02130	E77.0
ds:H02131	Q82.8
ds:H02132	Q87
ds:H02133	D81.9
ds:H02134	Q87.2
ds:H02135	H35.5
ds:H02136	E71.1
ds:H02137	Q87.8
ds:H02138	E83.3
ds:H02139	E83.3
ds:H02140	G11.8
ds:H02141	E83.3
ds:H02142	N25.8
ds:H02143	E83.3
ds:H02144	G11.8
ds:H02145	N20.2
ds:H02146	Q93.5
ds:H02147	N25.8
ds:H02148	N25.8
ds:H02149	N25.8
ds:H02150	G40.3
ds:H02151	Q87.0
ds:H02152	P59.8
ds:H02153	Q87.3
ds:H02154	Q78.8
ds:H02155	Q77.7
ds:H02156	Q93.5
ds:H02157	Q77.2
ds:H02158	Q75.4
ds:H02159	L50.2
ds:H02160	Q75
ds:H02161	Q87.0
ds:H02167	Q82.0
ds:H02168	Q82.0
ds:H02169	Q87.8
ds:H02170	Q11.2
ds:H02172	Q11
ds:H02174	G90.8
ds:H02175	Q54
ds:H02176	Q53
ds:H02177	E34.5
ds:H02178	G11.4
ds:H02179	G71.8
ds:H02180	Q87.8
ds:H02182	G71.0
ds:H02183	Q87.1
ds:H02184	Q77.8
ds:H02185	Q77.8
ds:H02186	Q77.7
ds:H02187	Q77.7
ds:H02188	Q85.0
ds:H02189	Q87.1
ds:H02190	Q87.1
ds:H02191	Q87.1
ds:H02192	K83.1
ds:H02193	O26.6
ds:H02194	K74.6
ds:H02195	Q87.8
ds:H02196	E72.8
ds:H02197	E74.4
ds:H02198	Q87.8
ds:H02199	Q24
ds:H02200	E75.2
ds:H02201	G71.3
ds:H02202	Q18.8
ds:H02203	H47.0
ds:H02204	H26.0
ds:H02205	E76.2
ds:H02206	G23.0
ds:H02207	G23.0
ds:H02208	G23.0
ds:H02209	G23.0
ds:H02210	Q75.8
ds:H02211	Q75.4
ds:H02212	G40.3
ds:H02213	G40.3
ds:H02214	G40.1
ds:H02215	G40.3
ds:H02216	G40.3
ds:H02217	G40.3
ds:H02218	Q87.8
ds:H02219	Q87.8
ds:H02220	Q82.8
ds:H02221	E71.1
ds:H02222	E71.1
ds:H02223	Q78.0
ds:H02224	Q87.8
ds:H02225	K74.6
ds:H02226	Q87.5
ds:H02227	Q78.5
ds:H02228	Q77.8
ds:H02229	Q87.2
ds:H02230	Q24.8
ds:H02231	Q14.8
ds:H02232	Q87.8
ds:H02233	Q87.1
ds:H02234	Q87.0
ds:H02235	E66.8
ds:H02236	E88.1
ds:H02237	G71.3
ds:H02238	G12.8
ds:H02239	Q79.6
ds:H02240	Q79.6
ds:H02241	Q79.6
ds:H02242	Q79.6
ds:H02243	Q79.6
ds:H02244	Q79.6
ds:H02245	Q79.6
ds:H02246	Q79.6
ds:H02247	G71.8
ds:H02248	Q87.8
ds:H02249	Q87.8
ds:H02250	G40.8
ds:H02251	H35.0
ds:H02252	G31.8
ds:H02253	Q87.0
ds:H02254	Q87.0
ds:H02255	Q87.0
ds:H02256	D68.2
ds:H02257	D68.2
ds:H02258	G71.2
ds:H02259	D69.8
ds:H02260	Q87.8
ds:H02261	G31.8
ds:H02262	G31.8
ds:H02263	Q82.8
ds:H02264	Q82.8
ds:H02265	Q80.3
ds:H02266	Q82.8
ds:H02267	Q87.8
ds:H02268	G71.8
ds:H02269	I47.2
ds:H02270	Q14.2
ds:H02271	Q87.0
ds:H02272	Q07.8
ds:H02273	G11.0
ds:H02274	Q87.0
ds:H02275	E75.4
ds:H02276	E75.4
ds:H02277	E75.4
ds:H02278	E75.4
ds:H02279	E75.4
ds:H02280	Q78.8
ds:H02281	L74.4
ds:H02282	Q02
