atc	icd
P01AX11	A07.1
J02AC02	B37
S02AA13	B37
S02AA13	B37
D01AC09	B37
J02AX04	B37
J02AX05	B37
J02AB02	B37
D01AC10	B37
G01AF02	B37
J02AC01	B37
G01AF07	B37
J02AC04	B37
D01AE16	B37
D01BA02	B37
G01AF17	B37
D01AC18	B37
G01AA01	B37
J02AC01	B37
J02AC03	B37
J02AX01	B37
J02AC01	B45
J02AC01	B45
J02AC03	B45
J02AX01	B45
J05AB11	P35.2
S01AD07	P35.2
S01AD09	P35.2
S01AD03	P35.2
J05AB13	P35.2
S01AD03	P35.2
S01AD02	P35.2
S01AD06	P35.2
J05AD01	P35.2
J05AB11	P35.2
M01AE07	B02
S01BC07	B02
J05AB11	B02
M01AG03	B02
S01AD07	B02
S01AD03	B02
S03BA02	B02
R02AX02	B02
S01AD03	B02
S01AD06	B02
J06BB03	B02
J07BK01	B02
J05AB11	B02
M02AA12	B02
S03BA03	B02
H02AB04	B02
S02BA01	B02
S03BA01	B02
S03BA01	B02
S01BA05	B02
S01BA05	B02
S02BA01	B02
S03BA02	B02
H02AB04	B02
J05AD01	P35.1
S01AD09	P35.1
S01AD09	P35.1
J05AB12	P35.1
J05AB14	P35.1
J05AD01	P35.1
J05AX18	P35.1
C01EB10	A80
J06BA01	A80
J07BG01	A82
J07BL01	A95
J07BD01	B05
J06BA01	B05
J07BJ01	P35.0
J07BE01	B26
J05AC02	J10
J05AH01	J10
J05AH03	J10
J07BB01	J10
N04BB01	J10
J05AH02	J10
J05AH01	J10
J07BB01	J09
J06BB16	J21.0
J05AE02	B24
A10BX05	E10
A10BK05	E10
A10AF01	E10
A10AD05	E10
A10AB06	E10
A10AD04	E10
A10AE06	E10
A10AD06	E10
A10AE04	E10
A10AE05	E10
A10BG02	E11
A10BB12	E11
A10BG03	E11
A10BA03	E11
A10BF03	E11
A10BX08	E11
A10BX05	E11
A10BK05	E11
C10AC04	E11
A10BB05	E11
V04CA01	E11
A10BK01	E11
A10BH02	E11
A10BD24	E11
A10BJ02	E11
A10BB31	E11
A10BX03	E11
A10BB09	E11
A10BB01	E11
A10BB02	E11
A10BX02	E11
A10BJ01	E11
A10AF01	E11
A10AD05	E11
A10BH01	E11
A10BJ04	E11
A10BH04	E11
A10BD06	E11
A10AB06	E11
A10AD04	E11
A10BH05	E11
A10AE06	E11
A10BH03	E11
A10BA02	E11
A10BJ06	E11
A10BD05	E11
A10BK02	E11
A10BJ05	E11
A10BK03	E11
A10BD10	E11
A10BD11	E11
A10BD03	E11
A10BD13	E11
A10BD07	E11
A10BD02	E11
A10BD09	E11
A10BD08	E11
A10AD06	E11
A10BD15	E11
A10BD20	E11
A10BB07	E11
A10BD21	E11
A10AE04	E11
A10AE05	E11
A10AE54	E11
A10BF01	E11
A10BJ03	E11
A10BF02	E11
A10BD02	E11
A10BD14	E11
A10BD16	E11
A10BD19	E11
A10BD23	E11
A10BK04	E11
A10AF01	E13
A10AD05	E13
A10AD04	E13
A10AE06	E13
A10AD06	E13
A10AE04	E13
A10AE05	E13
J06BA01	B15
J07BC02	B15
J05AF11	B16
J06BB04	B16
J05AF07	B16
L03AB11	B16
J05AF10	B16
J05AF08	B16
L03AB01	B16
L03AB02	B16
J05AF05	B16
J05AF13	B16
L03AB05	B16
L03AB10	B17.1
J05AP01	B17.1
L03AB11	B17.1
J05AP02	B17.1
L03AB01	B17.1
J05AP05	B17.1
J05AP06	B17.1
J05AP07	B17.1
J05AP08	B17.1
J05AP51	B17.1
J05AP52	B17.1
J05AP54	B17.1
J05AP56	B17.1
L03AB02	B17.1
J05AP55	B17.1
L03AB05	B17.1
J05AP57	B17.1
J05AP53	B17.1
S03AA02	A68
J01AA08	A68
S01AA14	A68
J01AA02	A68
J01AA02	A68
J01AA02	A68
J01AA01	A68
A12BA02	N25.8
B05XA02	N25.8
A12BA02	N25.8
B05XA02	N25.8
M03CA01	M48.8
M03BX01	M48.8
P01BD01	B58
J01FA02	B58
M05BA07	M88
M05BA07	M88
M05BA08	M88
M05BA03	M88
M05BA04	M88
M05BA01	M88
H05BA04	M88
C01EB10	G12.1
M09AX07	G12.1
H01AC01	Q87.1
H01AC01	Q77.4
M05BA03	Q78.0
A10AF01	P70.2
A10AD05	P70.2
A10AD04	P70.2
A10AE06	P70.2
A10AD06	P70.2
A10AE04	P70.2
A10AE05	P70.2
A10AF01	P70.2
A10AD05	P70.2
A10AD04	P70.2
A10AE06	P70.2
A10AD06	P70.2
A10AE04	P70.2
A10AE05	P70.2
S01ED05	Q21.3
G04BE01	Q21.3
V03AB32	I15.8
C02DB02	I15.8
S01ED02	H40.1
S01EC05	H40.1
S01ED03	H40.1
S01EC01	H40.1
S01EC04	H40.1
S01ED01	H40.1
S01EE02	H40.1
L01DC03	H40.1
S01EC01	H40.1
S01EE03	H40.1
S01ED04	H40.1
S01EE01	H40.1
N07AA03	H40.1
S01ED05	H40.1
S01ED51	H40.1
S01EE05	H40.1
S01ED51	H40.1
S01EA02	H40.1
S01ED01	H40.1
S01ED51	H40.1
S01ED51	H40.1
S01ED55	H40.1
S01EA05	H40.1
S01EB03	H40.1
S01EC54	H40.1
S01EX06	H40.1
S01EE04	H40.1
S01EX05	H40.1
S01EC03	H40.1
S01EB01	H40.1
S01ED51	H40.1
S01ED51	H40.1
G03CA03	E28.3
G03FB01	E28.3
G03CA03	E28.3
G03EA02	E28.3
M02AA18	M05
L04AA13	M05
H01AA01	M05
L04AX01	M05
M01AE04	M05
N02BA06	M05
P01BA02	M05
R02AX02	M05
M01AE12	M05
S03BA02	M05
S01BC06	M05
A07EC01	M05
M01CB03	M05
N02BA01	M05
L01XC02	M05
M02AA10	M05
S01BC09	M05
S01BA03	M05
S03BA02	M05
L04AB05	M05
L04AA29	M05
L04AA24	M05
L04AB06	M05
L04AC03	M05
L04AB01	M05
L04AB04	M05
L04AA37	M05
S01KA01	M05
L04AB02	M05
M02AA12	M05
L04AC14	M05
H01AA02	M05
L04AX03	M05
S03BA03	M05
S03BA02	M05
S01XA18	M05
H02AB04	M05
S02BA01	M05
S03BA01	M05
L04AC07	M05
S03BA01	M05
S01BA05	M05
H02AB04	M05
H02AB07	M05
L04AD02	M05
S01BA05	M05
S02BA01	M05
S01BC01	M05
L04AX03	M05
S03BA02	M05
H02AB04	M05
L04AB04	L73.2
D05BB01	Q80.3
S01BC08	Q82.8
D05BB01	Q82.8
H01AC03	E34.8
C01BA02	I48
C07AG02	I48
C07AB07	I48
C07AB04	I48
C01BA01	I48
C01BA03	I48
C08DA01	I48
C08EA02	I48
C01BD01	I48
C01BC04	I48
C07AA05	I48
C07AB07	I48
C07AB14	I48
D05BB01	Q80.2
S01BC08	Q80.0
D05BB01	Q80.0
S01EC02	G72.3
S01EC02	G72.3
B05XA01	G72.3
N03AA02	G40.4
N05BA01	G40.4
S01XA02	H53.6
S01XA02	H53.6
N03AX14	G40.3
P01AB02	A59
P01AB01	A59
S01LA01	H35.3
S01LA04	H35.3
S01LA05	H35.3
S01LA03	H35.3
S03BA01	Q82.8
S03BA03	Q82.8
N07XX08	E85
C01CA27	E85
N05AD01	F95.2
N05AD01	F95.2
N05AG02	F95.2
R05DA07	J47
R03CC03	J47
R03CB01	J47
V03AB23	J47
R05CB03	J47
R05DB21	J47
R05DB21	J47
R05DB24	J47
R05DA09	J47
R05CB06	J47
R05CB04	J47
S01XA23	I89.8
B05XB01	E72.0
G04BX16	E72.0
L04AC08	R50
S01XA23	Q85.1
L02AE01	E30.1
H01CA02	E30.1
L02AE02	E30.1
H01AC03	E13
B02BD07	D68.2
B02BD11	D68.2
S03BA02	H18.5
S01BA03	H18.5
S03BA03	H18.5
H02AB04	H18.5
S02BA01	H18.5
S03BA01	H18.5
S03BA01	H18.5
S01BA05	H18.5
S01BA05	H18.5
S02BA01	H18.5
S03BA02	H18.5
H02AB04	H18.5
J07BH02	A08.0
J07BH01	A08.0
B02BX07	D69.4
B02BX08	D69.4
S01BA05	D69.4
B02BA01	D68.4
C01CA27	G90.8
B06AC02	D84.1
B06AC03	D84.1
G03XA01	D84.1
B06AC05	D84.1
S03BA02	E23.6
S01BA03	E23.6
S03BA03	E23.6
S02BA01	E23.6
S03BA01	E23.6
S02BA01	E23.6
S03BA02	E23.6
H02AB04	E23.6
B05XB01	E72.2
A16AA05	E72.2
B05AA01	N98.1
P02CF01	B73
P02BA01	B65
P02CF01	B65
P02CA01	B79
P02CA03	B68.0
L04AA25	D59.5
P03AX03	B85
P03AX06	B85
P03AB02	B85
J02AC02	B39.9
B03BA01	B70.0
B03BA04	B70.0
V03AB33	B70.0
P02CC01	B77
P02CA01	B77
P02CC01	B80
P02CA01	B80
P02CC01	B76.1
P02CA01	B76.1
P02BA01	B66.4
M03BX09	G80.9
M03BX02	G80.9
M03CA01	G80.9
M03BX01	G80.9
S03BA02	B75
P02CF01	B78
N04BC06	D44.8
A02BC01	D44.8
N04BC01	D44.8
G02CB06	D44.8
P02BA01	B66.5
J02AC02	B37.2
B02BX05	D61.0
S03BA02	D61.0
A14AA05	D61.0
L04AA04	D61.0
S01BA03	D61.0
B01AC05	D61.0
G03BA03	D61.0
L01AA01	D61.0
S03BA03	D61.0
S01XA18	D61.0
H02AB04	D61.0
S03BA01	D61.0
S03BA01	D61.0
S01BA05	D61.0
S02BA01	D61.0
S03BA02	D61.0
H02AB04	D61.0
A12AA01	E55.0
D05AX03	E55.0
P02CA03	B67
R02AB04	A41.1
J01FF01	A41.1
J01XA01	A41.1
J01FF01	A41.1
J01EA01	N39
J01DE01	N39
J01DD08	N39
J01DD04	N39
J01DF01	N39
S03AA07	N39
S01AA27	N39
S01AE05	N39
J01EA01	N39
V03AB32	Q12.0
G04BX16	Q12.0
V04CC02	E83.4
A05AA01	K81.9
J01DE01	K81.9
J01DC14	K81.9
J01AA12	K81.9
A03AX09	K81.9
J01DD04	K81.9
J01DE02	K81.9
J01DH55	K81.9
J01DH51	K81.9
J01DF01	K81.9
V04CC02	K81.9
J01DD02	K81.9
J01DC09	K81.9
J01DB04	K81.9
A03BB01	K81.9
S03AA07	K81.9
J01DH02	K81.9
S03AA08	K81.9
J01MA17	K81.9
S03AA07	K81.9
J01DD62	K81.9
J01DI54	K81.9
A03AA30	K81.9
J01DD01	K81.9
J01DD16	K81.9
S01AE05	K81.9
J01DH04	K81.9
H01AC03	E11
B02BX05	D69.3
L01XC02	D69.3
B02BX09	D69.3
B02BX04	D69.3
H02AB04	D69.3
H02AB07	D69.3
V03AH01	E16.1
N06BA01	G47.4
N07XX04	G47.4
N06AA04	G47.4
N06BA05	G47.4
N06BA13	G47.4
N06BA04	G47.4
N06BA02	G47.4
N06BA03	G47.4
N06BA07	G47.4
L04AX05	J84.1
L01XE31	J84.1
S03BA02	J84.1
H02AB07	J84.1
J01EE01	A04.4
S01AA14	A25.1
S01AA14	A25.1
S01AA14	A25.1
S01AA14	A26
S01BC08	B35
J02AC02	B35
D01AE23	B35
S02AA13	B35
D01AC09	B35
D01BA01	B35
D01AE18	B35
J02AB02	B35
D01AC10	B35
G01AF02	B35
G01AX12	B35
D10AB02	B35
G01AF07	B35
D01AE16	B35
D01AC19	B35
D01BA02	B35
G01AF17	B35
D07CC01	B35
D01AE24	B35
D01AC18	B35
G01AX12	B35
S01AA14	A66
S01AA14	A66
S03AA02	A66
J01AA08	A66
J01AA02	A66
J01AA02	A66
J01AA02	A66
J01AA01	A66
J07AL01	A49.1
J07AL02	A49.1
J07AL52	A49.1
S01AA14	A49.1
S01AA19	A42
S01AA14	A42
S01AA19	A42
S03AA02	A42
J01AA08	A42
S01AA14	A42
J01AA02	A42
J01AA02	A42
J01AA02	A42
J01AA01	A42
J02AC02	B44
J02AX04	B44
J02AX05	B44
J02AC04	B44
S03BA02	B44
H02AB07	B44
J02AC03	B44
A12CD01	K02
A01AA04	K02
A01AA51	K02
S01BC08	B36.0
J02AC02	B36.0
D01AE23	B36.0
S02AA13	B36.0
D01AC09	B36.0
D01AE18	B36.0
J02AB02	B36.0
D01AC10	B36.0
G01AF02	B36.0
G01AX12	B36.0
G01AF07	B36.0
D01AE16	B36.0
D01BA02	B36.0
G01AF17	B36.0
D01AC18	B36.0
A05AA03	Q87.8
A16AX01	G31.8
M01AE07	L23
S01BC07	L23
M01AG03	L23
S03BA02	L23
R03BA01	L23
S01BA03	L23
A11HA05	L23
S03BA03	L23
S03BA02	L23
H02AB04	L23
S02BA01	L23
S03BA01	L23
S03BA01	L23
S01BA05	L23
H02AB04	L23
H02AB07	L23
S01BA05	L23
S02BA01	L23
S03BA02	L23
H02AB04	L23
S01BC08	L20
M01AE07	L20
S01BC07	L20
M01AG03	L20
A11HA06	L20
S01GX07	L20
S01GX01	L20
N06AA12	L20
D02AE01	L20
S03BA02	L20
R03BA01	L20
R02AX02	L20
S02BA01	L20
R06AX26	L20
S01BA03	L20
S01BA09	L20
A11HA06	L20
S01BA11	L20
D11AH06	L20
D11AH05	L20
R06AE06	L20
S03BA03	L20
S03BA02	L20
S01XA18	L20
H02AB04	L20
S02BA01	L20
S03BA01	L20
S03BA01	L20
S01BA05	L20
H02AB04	L20
H02AB07	L20
L04AD02	L20
S01BA05	L20
S02BA01	L20
S03BA02	L20
H02AB04	L20
D11AH02	L20
R06AA08	J30
R06AX22	J30
S01GX06	J30
R06AD02	J30
S01GX07	J30
R06AX13	J30
S01GX01	J30
S03CA06	J30
S01GX08	J30
R06AB54	J30
R03BA07	J30
S01GX09	J30
S03BA02	J30
R06AX02	J30
R03BA09	J30
S03BA01	J30
R06AE07	J30
R03BA01	J30
R03BA02	J30
R03BA08	J30
V01AA03	J30
R06AB04	J30
R06AX26	J30
S01GX10	J30
R03BA05	J30
R06AD07	J30
S01BA03	J30
R06AA07	J30
R03DX01	J30
R06AD01	J30
R06AD02	J30
S01GX02	J30
R06AX27	J30
R06AX28	J30
R06AD02	J30
V01AA20	J30
R06AE09	J30
R06AX29	J30
R06AA02	J30
R03DC03	J30
R03DC02	J30
R06AA04	J30
R01BA52	J30
R06AE06	J30
R01BA52	J30
S03BA03	J30
S03BA02	J30
R06AB02	J30
H02AB04	J30
S02BA01	J30
S03BA01	J30
S01AA26	J30
S03BA01	J30
S01BA05	J30
H02AB04	J30
H02AB07	J30
S01BA05	J30
S02BA01	J30
S03BA02	J30
H02AB04	J30
R03BA07	J30
D07AC10	L13.0
S03BA02	L13.0
S01BA03	L13.0
J04BA02	L13.0
D07AD01	L13.0
S03BA03	L13.0
S03BA02	L13.0
S03BA03	L13.0
H02AB04	L13.0
S02BA01	L13.0
S03BA01	L13.0
S03BA03	L13.0
S03BA01	L13.0
S01BA05	L13.0
H02AB04	L13.0
H02AB07	L13.0
S01BA05	L13.0
S02BA01	L13.0
S03BA02	L13.0
H02AB04	L13.0
S03BA03	L13.0
S01AA12	H10.9
S01AE06	H10.9
S01AE02	H10.9
S01AE07	H10.9
J01MA22	H10.9
S01AE06	H10.9
S02AA16	H10.9
S01AE05	H10.9
D07AC08	L80
D07AC07	L80
D05BA02	L80
P01AB02	N76
P01AB01	N76
S03AA08	N76
P01AB07	N76
J01AA08	N76
B01AE03	D68.5
L04AX01	M30.0
L01AA01	M30.0
H02AB04	M30.0
C10AC01	E78.0
C10AA01	E78.0
C10AA04	E78.0
C10AX09	E78.0
C10AA05	E78.0
C10AX12	E78.0
C10AX13	E78.0
C10AX14	E78.0
N04BC06	E22.1
N04BC01	E22.1
G02CB06	E22.1
B05XB01	E72.2
A16AX03	E72.2
A16AX09	E72.2
A06AD11	E72.2
A06AD12	E72.2
A05BA01	E72.2
J01XA01	B95
J01CA06	K05
J01CA04	K05
J01FA06	K05
J01FA09	K05
S03AA08	K05
J01DD18	K05
S01AA26	K05
S03AA08	K05
J01DB01	K05
J01MA22	K05
J01AA08	K05
J01DD16	K05
S02AA16	K05
S01AE05	K05
J01FG02	B95
S03AA02	A58
J01AA08	A58
J01AA02	A58
J01GA01	A58
J01AA02	A58
J01AA02	A58
J01AA01	A58
S01AD03	G04.9
D06BB04	A63.0
D06BB10	A63.0
D06BB12	A63.0
J07BM01	A63.0
L03AB05	A63.0
J01XA01	J13
J01FA09	J02.0
L01XX23	E24
V04CD01	E24
H02CA01	E24
H01CB05	E24
H01CB05	E24
L04AA25	D58.8
S03BA02	G61.0
S01BA03	G61.0
S03BA03	G61.0
S02BA01	G61.0
S03BA01	G61.0
S03BA01	G61.0
S01BA05	G61.0
S02BA01	G61.0
S03BA02	G61.0
H02AB04	G61.0
S01AA14	K05
S03AA02	K05
J01AA08	K05
J01AA02	K05
J01AA02	K05
J01AA02	K05
J01AA01	K05
S01AX06	L70.0
L01XX14	L70.0
D05AX05	L70.0
S01XA26	L70.0
A11HA06	L70.0
J01FF01	L70.0
D10AF05	L70.0
D10AF51	L70.0
G03AB09	L70.0
R02AX02	L70.0
J01FA06	L70.0
D10AF51	L70.0
D10AE01	L70.0
S01XA26	L70.0
D10AB02	L70.0
J04BA02	L70.0
A11HA05	L70.0
A11HA06	L70.0
J01MA22	L70.0
D10AD03	L70.0
D06AX14	L70.0
D10AE51	L70.0
S03AA02	L70.0
S01AA17	L70.0
J01AA08	L70.0
J01AA02	L70.0
J01AA02	L70.0
N06AB03	F42
N06AB05	F42
N06AB05	F42
N06AA04	F42
N06AB06	F42
N05BA22	F42
N06AB05	F42
N06AB08	F42
C09CA04	E14.2
C09AA01	E14.2
C09AA16	E14.2
C09CA01	E14.2
A11HA03	E14.3
S01LA04	E14.3
S01LA05	E14.3
J04AK02	A31.9
J04AB04	A31.9
J01FA09	A31.9
S01AA26	A31.9
J04AB02	A31.9
J01GA01	A31.9
N06AX21	E14.4
C01BB02	E14.4
D03AX06	E14.4
N02AX06	E14.4
N03AX16	E14.4
N05CD02	G40.4
N03AA03	G40.4
N03AD01	G40.4
N03AE01	G40.4
N03AC02	G40.4
N03AG04	G40.4
H01AA02	G40.4
L01AD06	C84
D07AC10	C84
L01DB07	C84
L03AB03	C84
D07AC07	C84
L01AA05	C84
S03BA02	C84
L01XX29	C84
L01DB03	C84
S01BA03	C84
L01BC05	C84
L01XX02	C84
D07AD01	C84
L01XC25	C84
L01XX25	C84
L01AD07	C84
L01AA06	C84
L01XA01	C84
L01XX38	C84
L01AA01	C84
L04AX03	C84
L01CA03	C84
S03BA03	C84
S03BA02	C84
S03BA01	C84
S03BA03	C84
H02AB04	C84
S02BA01	C84
S03BA01	C84
L01BC01	C84
L01DB04	C84
L01DB01	C84
L01XX19	C84
S03BA01	C84
S01BA05	C84
H02AB04	C84
H02AB07	C84
L01CA01	C84
L01DC01	C84
L01DB08	C84
S01BA05	C84
S02BA01	C84
L01XA02	C84
S03BA02	C84
L01CB01	C84
H02AB04	C84
S03BA03	C84
L01AD01	C84
L01AD06	C83
L01DB07	C83
L01AA09	C83
L01XC02	C83
L04AA40	C83
L01DB03	C83
L01BC05	C83
L01XX02	C83
V10XX02	C83
L01XX32	C83
L03AX16	C83
L01AD07	C83
L01XE27	C83
L01BB05	C83
L01AA06	C83
L01XA01	C83
L01CA03	C83
L01BC01	C83
L01DB04	C83
L01DB01	C83
L01XX19	C83
H02AB04	C83
L01CA01	C83
L01DC01	C83
L01DB08	C83
L01XA02	C83
S03BA02	C83
L01CB01	C83
L04AX04	C83
L01AD01	C83
L04AX01	M31.6
L01AA01	M31.6
S03BA03	M31.6
H02AB04	M31.6
S03BA01	M31.6
L04AC07	M31.6
S03BA01	M31.6
S01BA05	M31.6
H02AB04	M31.6
S01BA05	M31.6
S02BA01	M31.6
S03BA02	M31.6
H02AB04	M31.6
L04AX01	K51
A07EC04	K51
S03BA02	K51
A07EC01	K51
A07EC02	K51
R03BA02	K51
S01BA03	K51
A07EC03	K51
L04AA33	K51
L04AA29	K51
L04AB06	K51
L04AB04	K51
L04AB02	K51
S02BA01	K51
S03BA03	K51
S03BA02	K51
H02AB04	K51
S02BA01	K51
S03BA01	K51
S03BA01	K51
S01BA05	K51
H02AB04	K51
H02AB07	K51
L04AD02	K51
S01BA05	K51
S02BA01	K51
S03BA02	K51
H02AB04	K51
A05AA02	K74.3
S03BA03	K74.3
H02AB04	K74.3
S03BA01	K74.3
S03BA01	K74.3
S01BA05	K74.3
S03BA02	K74.3
H02AB04	K74.3
L04AX01	M30.1
R03DX09	M30.1
L01AA01	M30.1
H02AB04	M30.1
A16AX08	K91.8
M05BX04	D48.0
J04AB04	U84.7
J04AK05	U84.7
J04AK06	U84.7
L04AX02	L52
J04BA01	L52
A16AA07	E88.1
L04AC11	D36.0
L04AC07	D36.0
L01BC07	D46
B03XA02	D46
L01BC08	D46
L01AA01	D46
L01BC01	D46
C07AA05	D18.00
H01CB02	E22.0
N04BC01	E22.0
H01CB02	E22.0
H01AX01	E22.0
H01CB05	E22.0
H01CB03	E22.0
L04AX04	D46.7
L04AX04	D46.7
H01AA01	G35
N07XX07	G35
M03BX02	G35
L01DB07	G35
L04AA36	G35
L03AB07	G35
S03BA02	G35
L04AA23	G35
L04AA34	G35
L04AA27	G35
M03CA01	G35
L04AC01	G35
L04AA31	G35
L03AB13	G35
L03AB08	G35
L03AX13	G35
S03BA03	G35
S03BA02	G35
H02AB04	G35
S02BA01	G35
S03BA01	G35
M03BX01	G35
S03BA01	G35
S01BA05	G35
L04AX07	G35
H02AB04	G35
H02AB07	G35
S01BA05	G35
S02BA01	G35
S03BA02	G35
H02AB04	G35
L04AX01	M34
C02KX01	M34
S03BA02	M34
L01AA01	M34
S03BA03	M34
H02AB04	M34
S03BA01	M34
S03BA01	M34
S01BA05	M34
H02AB04	M34
S01BA05	M34
S02BA01	M34
S03BA02	M34
H02AB04	M34
N05AB03	H81.0
A11HA01	H81.0
S01EC01	H81.0
B05XA02	H81.0
C10AD02	H81.0
S01EC01	H81.0
N07CA01	H81.0
C01EB10	H81.0
N05AB03	H81.0
C04AF01	H81.0
N05AB03	H81.0
S03BA03	H81.0
S02BA01	H81.0
S03BA01	H81.0
S03BA01	H81.0
N05AB03	H81.0
S02BA01	H81.0
S03BA02	H81.0
J02AC02	B42
D01BA02	B42
L04AA06	N08.5
L04AD02	N08.5
J02AC02	B40
N07AX03	M35.0
S01KA01	M35.0
S03BA02	M35.0
H02AB07	M35.0
S01EB01	M35.0
D06AX11	K72
L01XE39	C94.3
L01CA01	C96.6
L01AA06	C69.2
L01AA01	C69.2
L01DB01	C69.2
L01XA02	C69.2
L01CB01	C69.2
S01AA19	A38
J01FA02	A38
J01CA06	A38
J01CA04	A38
S01AA19	A38
S01AA14	A38
S01AA14	A38
J01FA09	A38
S01AA17	A38
S03AA08	A38
J01DD18	A38
J01FF01	A38
S01AA17	A38
S03AA08	A38
J01FF02	A38
J01DB01	A38
S03AA02	A38
S01AA17	A38
J01AA08	A38
J01DD16	A38
S01AA14	A38
J01AA02	A38
J01AA01	A38
S01AA14	A46
P03AC04	B86
D10AB02	B86
P02CF01	B86
P03AC03	B86
J02AC02	B43
D01BA02	B43
P01AX06	B59
J01EE01	B59
S03BA02	B59
H02AB07	B59
P01CX01	B59
A02BA06	E16.4
A02BC01	E16.4
A02BC01	E16.4
A02BC01	E16.4
A02BA02	E16.4
A02BA01	E16.4
A02BC02	E16.4
A02BC03	E16.4
A02BA03	E16.4
A02BC04	E16.4
A02BA01	E16.4
A02BC05	E16.4
A02BC05	E16.4
A02BC05	E16.4
L01AA01	D82.0
M03CA01	G21.0
S01AA14	A67
S01AA14	A67
S01AA14	A65
S01AA14	A65
M04AB01	M10
M01AE12	M10
M04AA03	M10
N02BA01	M10
M04AA01	M10
M02AA10	M10
S01BC09	M10
M04AB03	M10
M04AX02	M10
M04AB05	M10
M02AA12	M10
S03BA01	M10
S03BA01	M10
M04AC01	M10
S02BA01	M10
S01BC01	M10
M04AA51	M10
J07BA02	A83.0
M02AX03	N30.1
G04BX15	N30.1
L01XC07	C57.0
L01XX54	C57.0
L01XC31	C44.3
H05BX01	D09.3
J05AE03	B24
J05AG02	B24
J05AR03	B24
J05AF02	B24
J05AE01	B24
J05AG01	B24
J05AF01	B24
J05AX09	B24
J05AX08	B24
J05AF06	B24
J05AR01	B24
J05AX11	B24
J05AF09	B24
J05AF04	B24
J05AG03	B24
J05AX07	B24
J05AE02	B24
J05AE07	B24
J05AE08	B24
J05AF07	B24
J05AG04	B24
H01AC01	B24
J05AE10	B24
J05AE07	B24
J05AE09	B24
J05AR02	B24
J05AR08	B24
V03AX03	B24
J05AE04	B24
J05AX23	B24
J05AG05	B24
J05AX12	B24
J05AR15	B24
J05AR09	B24
J05AR19	B24
J05AR04	B24
J05AF05	B24
J05AR14	B24
J05AR17	B24
J05AR24	B24
J05AR10	B24
J05AR06	B24
J05AR21	B24
J05AR22	B24
J05AR13	B24
J05AR11	B24
J05AR20	B24
J05AR12	B24
J05AR18	B24
A11DA03	E51.2
A11DA01	E51.2
A11DA01	E51.2
A11DA03	E51.1
A11DA01	E51.1
A11DA01	E51.1
C07AA05	G25.0
M03BX09	G62.0
C10AD02	G62.0
M03CA01	G62.0
S01XA15	E54
C01DX10	N02.8
S01XA26	E52
A11HA01	E52
C10AD02	E52
S01XA26	E52
S03BA03	D69.0
H02AB04	D69.0
S03BA01	D69.0
S01BA05	D69.0
S03BA02	D69.0
H02AB04	D69.0
S03BA03	D59.1
S03BA02	D59.1
H02AB04	D59.1
S02BA01	D59.1
S03BA01	D59.1
S03BA01	D59.1
H02AB04	D59.1
H02AB07	D59.1
S01BA05	D59.1
S02BA01	D59.1
S03BA02	D59.1
H02AB04	D59.1
S03BA02	D60
S01XA18	D60
S02BA01	D60
S03BA01	D60
H02AB04	D60
H02AB07	D60
S01BA05	D60
B01AB09	D65
B01AB04	D65
S01XA14	D65
N02CC01	G44.0
A16AA01	E71.3
A16AA01	E71.3
L01XE01	D47.5
L01XE01	C26
L01XE04	C26
L01XE21	C26
L01XE12	C73
L01XE26	C73
M05BA07	M82
G03FB09	M82
G03CA03	M82
G03XC01	M82
M05BA06	M82
G03EA02	M82
M05BA07	M82
H05AA02	M82
M05BA08	M82
G03CC06	M82
M05BX01	M82
A12AA01	M82
M05BA04	M82
M05BA01	M82
A11CC03	M82
G03XC02	M82
D05AX03	M82
G03CC07	M82
H05AA02	M82
M05BX06	M82
G03XC01	M82
M05BX04	M82
M05BB03	M82
G03EA02	M82
H05BA04	M82
S01EB06	G70.0
L04AA25	G70.0
S03BA02	G70.0
N07AA02	G70.0
S01EB06	G70.0
N07AA30	G70.0
N07AA03	G70.0
S03BA03	G70.0
S01XA18	G70.0
S02BA01	G70.0
S03BA01	G70.0
S03BA01	G70.0
L04AD02	G70.0
S01BA05	G70.0
S03BA02	G70.0
H02AB04	G70.0
S03BA01	L93
P01BA02	L93
S02BA01	L93
S03BA02	L93
S01BA05	L93
R03BA01	L93
S01BA03	L93
S01BA10	L93
D07AC19	L93
D07AD01	L93
S03BA03	L93
S03BA01	L93
S03BA03	L93
H02AB04	L93
S02BA01	L93
S03BA01	L93
S03BA03	L93
S03BA01	L93
S01BA05	L93
S01BA05	L93
S02BA01	L93
S03BA02	L93
H02AB04	L93
S03BA03	L93
R03BA07	L93
N04BC09	G25.8
N04BC05	G25.8
N04BC04	G25.8
N03AX12	G25.8
H02AA02	E27.1
S03BA02	E27.1
S03BA02	E27.1
S03BA01	E27.1
S03BA01	E27.1
H02AB07	E27.1
S01BA05	E27.1
S02BA01	E27.1
L01XE01	D47.5
N04AA02	G21
R06AD02	G21
N04AA01	G21
N04BA01	G21
N04BA02	G21
N04BB01	G21
N04AA02	G21
N04AA05	G21
N04BC01	G21
N04BX01	G21
N04BA02	G21
S01FA02	G21
R06AD02	G21
N04AA10	G21
R06AD02	G21
R06AA02	G21
N04AC01	G21
N04AA05	G21
L01XC12	C84.7
A02BA06	K21
B02AB04	K21
A02BA08	K21
A02BC01	K21
