atc	icd
L01XE18	D45
L01AD07	D45
L01AD06	C34
L01BC53	C34
L01XX17	C34
L01CB01	C34
L01DB10	C34
L01DC03	C34
L01BC02	C34
L01XD01	C34
L01AA06	C34
L01XA01	C34
L01AA01	C34
L04AX03	C34
L01XC17	C34
L01CA03	C34
L01BC01	C34
L01DB04	C34
L01DB01	C34
L01XX19	C34
L01DC01	C34
L01XA02	C34
L01CB01	C34
L01AD06	C34
L01BC53	C34
L01XC18	C34
L01XE02	C34
L01DB10	C34
L01DC03	C34
L01CD02	C34
L01BC02	C34
L01BC05	C34
L01XD01	C34
L01CA04	C34
L01BA04	C34
L01XC21	C34
L01XE16	C34
L01XE13	C34
L01XC22	C34
L01XE03	C34
L01XE23	C34
L01XE47	C34
L01XE28	C34
L01XE35	C34
L01XA01	C34
L01XE36	C34
L01XC07	C34
L01XC28	C34
L01XE43	C34
L01AA01	C34
L04AX03	C34
L01XC17	C34
L01CA03	C34
L01BC01	C34
L01DB04	C34
L01DB01	C34
L01CD02	C34
L01XX19	C34
L01XE44	C34
L01CD01	C34
L01DC01	C34
L01XA02	C34
L01BC53	C34
L01XE25	C34
L01XC32	C34
L01BA04	C45
L01XA01	C45
L01XC17	C45
L01DC01	C06
L01BC09	C15
L01CD02	C15
L01BC02	C15
L01XD01	C15
L01XA01	C15
L01CA03	C15
L01CD02	C15
L01CD01	C15
L01DC01	C15
L01AD06	C16
L01BC53	C16
L01XC03	C16
L01XC18	C16
L01BC09	C16
L01DC03	C16
L01XA03	C16
L01CD02	C16
L01BC02	C16
L01DB03	C16
L01BC06	C16
L01XD01	C16
L01BC03	C16
V03AF04	C16
L01XC21	C16
L03AX01	C16
L01XA01	C16
L01AA01	C16
L01XC17	C16
L01BC01	C16
L01DB04	C16
L01DB01	C16
L01CD02	C16
L01XX19	C16
L01CD01	C16
L01DB08	C16
L04AX03	C16
L01BC53	C16
L01BC53	C25
L01BC09	C25
L01DC03	C25
L01XA03	C25
L01BC02	C25
L01BC05	C25
V03AF04	C25
L01XE03	C25
L01AA01	C25
L01BC01	C25
L01DB01	C25
L01XX19	C25
L01CD01	C25
L01BC53	C25
L01AD06	C20
L01BC53	C20
L01XC18	C20
L01XC06	C20
L01BC09	C20
L01DC03	C20
L01XA03	C20
L01BC02	C20
L01BC06	C20
L01BC03	C20
V03AF04	C20
S01LA05	C20
L01XC21	C20
L01XC08	C20
V03AF03	C20
L01BC59	C20
L01XC07	C20
L01AA01	C20
L01XC17	C20
L01BC01	C20
L01DB01	C20
L01XX19	C20
L01XE21	C20
L01BC53	C20
V03AF10	C20
L01DA01	C64
L03AB03	C64
L03AC01	C64
L01XE09	C64
L01XE11	C64
L01XE05	C64
L01XC11	C64
L03AB01	C64
L01XE17	C64
L01XE29	C64
L01AA06	C64
L01XE04	C64
L01XC07	C64
L02AB02	C64
L01XC17	C64
L01DB01	C64
L03AB05	C64
L01XA02	C64
L01CB01	C64
L04AA18	C64
L01XE26	C64
L01AC01	C67
L01DB09	C67
L01BC53	C67
L01XD04	C67
L01XC18	C67
L01DC03	C67
L01DB03	C67
L01BC05	C67
L01BC03	C67
L03AX03	C67
L01XC31	C67
L01XA01	C67
L01XC28	C67
L01XC17	C67
L01BC01	C67
L01DB01	C67
L01CA01	C67
L01DB08	C67
L04AX03	C67
L01CB01	C67
L01XC32	C67
L01DA01	C62
L01CB01	C62
L01AA06	C62
L01XA01	C62
L01CD01	C62
L01CA01	C62
L01DC01	C62
L01XA02	C62
L01CB01	C62
L01DC01	C62
L02AE05	C61
L01BC53	C61
S03BA02	C61
L02AE04	C61
L02AA03	C61
L02AE02	C61
L02AE03	C61
L01CD02	C61
G03DB06	C61
G03CA03	C61
L02BB03	C61
L02BB02	C61
L01XX11	C61
L02BX02	C61
L02BB01	C61
L02BX03	C61
V10XX03	C61
L01CD04	C61
L02BB04	C61
L01AA06	C61
L01XA01	C61
S03BA03	C61
H02AB04	C61
S02BA01	C61
S03BA01	C61
L01CD02	C61
S03BA01	C61
S01BA05	C61
S01BA05	C61
L01XX11	C61
S03BA02	C61
H02AB04	C61
L02BB05	C61
L01DC03	C54
L01CD02	C54
L01BC02	C54
L01XA01	C54
L02AB02	C54
L01BC01	C54
L01DB01	C54
L01CD02	C54
L01CD01	C54
L01AC01	C56
L01XX17	C56
L01AA03	C56
L01XX05	C56
L01CD02	C56
L01BC02	C56
L01DB03	C56
L01BC05	C56
L01XX03	C56
L01AA06	C56
L01XA01	C56
L01XC07	C56
L01XX46	C56
L01AA01	C56
L01DB04	C56
L01DB01	C56
L01CD02	C56
L01XX19	C56
L01CD01	C56
L01CA01	C56
L01DC01	C56
L01DB08	C56
L01XA02	C56
L01XX55	C56
L01CB01	C56
L01XX54	C56
L01DA01	C58
L01AA01	C58
L04AX03	C58
L01CA01	C58
L04AX03	C58
L01CB01	C58
L01DC01	C58
D06BB10	C51
J07BM01	C51
L01BC53	C53
L01XX17	C53
L01XC18	C53
L01DC03	C53
L01BC02	C53
L01XD01	C53
J07BM02	C53
J07BM01	C53
L01AA06	C53
L01XA01	C53
L01XC07	C53
L01AA01	C53
L01BC01	C53
L01XX19	C53
L01CD01	C53
L01DC01	C53
L01XA02	C53
L01CB01	C53
L02BA03	C50
L01AC01	C50
L02BG03	C50
L02BA02	C50
L01XE45	C50
L01BC53	C50
L01DB07	C50
L01XC03	C50
S03BA02	C50
G03EK01	C50
L02BG04	C50
L01DC03	C50
L02AA03	C50
L02AE02	C50
L02AE03	C50
L01CD02	C50
L01BC02	C50
L01XC13	C50
G03BA01	C50
L01DB03	C50
L01BC06	C50
L01BC05	C50
L01BC03	C50
L01CA04	C50
G03BA03	C50
L01XE07	C50
L02BA01	C50
L01XE33	C50
L01XE50	C50
L01XX60	C50
L01XC14	C50
L01XX41	C50
L02BG06	C50
L01XC07	C50
L01DC04	C50
L01XX46	C50
L01AA01	C50
L02AB02	C50
L04AX03	C50
S03BA03	C50
S02BA01	C50
S03BA01	C50
L01BC01	C50
L01DB04	C50
L01DB01	C50
L01CD02	C50
L01XX19	C50
S03BA01	C50
L01XE42	C50
L01CD01	C50
L01CA01	C50
L01DB08	C50
S01BA05	C50
S02BA01	C50
L01XA02	C50
L04AX03	C50
S03BA02	C50
H02AB04	C50
L04AA18	C50
L01BC53	C50
V10XA01	C73
L01XE05	C73
L01XE29	C73
L01DB01	C73
L01DC01	C73
L01XX23	C74
H01CB02	C17
H01CB02	C17
L01DA01	C41
L01AB01	C41
L01AA06	C41
L01DB01	C41
L01XA02	C41
L01CB01	C41
V03AF04	C41
V03AF03	C41
L01AA06	C41
L01XA01	C41
L01DB01	C41
L04AX03	C41
V03AF10	C41
L01DA01	C49
L01CA02	C49
L01AA06	C49
L01XA01	C49
L01DB01	C49
L01CB01	C49
L01XC18	C43
L01XE46	C43
L03AB10	C43
L01AX04	C43
L01XX05	C43
L03AC01	C43
L01XE15	C43
L01XC11	C43
L01XX51	C43
L01XE38	C43
L01XE23	C43
L01XE41	C43
L03AB02	C43
L01AA01	C43
L01XC17	C43
L03AB05	C43
L01XE25	C43
L01BC02	C44
L01XX43	C44
L01XX48	C44
L01XC18	C44
L01XC06	C44
L01XX05	C44
L01BC02	C44
L01XC17	C44
L01XX19	C44
L01DC01	C44
L01XX22	C46
L01DB01	C46
L01CD01	C46
L01CA01	C46
L03AB05	C46
L01XD04	C71
L01AX03	C71
L01CA02	C71
L01XC07	C71
L01XB01	C71
L01DC01	C71
L01AD01	C71
L01AB01	C76
L01XC16	C76
L01CA02	C76
L01AA06	C76
L01XA01	C76
L01AA01	C76
L01DB01	C76
L01XA02	C76
L01CB01	C76
J07BM01	C21
L01AD04	C25.4
H01CB03	C25.4
L01XE04	C25.4
V10XX04	C25.4
L04AA18	C25.4
L01BC53	C22
L01DB01	C22
L01DB01	C23
L01AD06	C22
L01DB07	C22
L01DC03	C22
L01BC02	C22
L01DB03	C22
L01XE05	C22
L01XE29	C22
L01AA06	C22
L01XA01	C22
L01AA01	C22
L01XC17	C22
L01BC01	C22
L01DB01	C22
L01XE21	C22
L01CB01	C22
L01DC01	C32
N06DA03	G30
N06DA02	G30
N06DA04	G30
N06DX01	G30
N04BD02	G20
N04BA01	G20
N04BA02	G20
N04BB01	G20
N04BC06	G20
N04BC01	G20
N04BD01	G20
N04BX01	G20
N03AX15	G20
N04BC07	G20
N04BA02	G20
N04BC09	G20
N05AX17	G20
N04BC02	G20
N04BA03	G20
N04BD03	G20
N04BC05	G20
C01CA27	G20
N04BX02	G20
N04BC04	G20
N07XX14	G12.2
M03BX09	G12.2
M03BX02	G12.2
M03CA01	G12.2
M03BX01	G12.2
N07XX02	G12.2
N07XX06	G10
L02AE02	G12.1
N06DA02	G31.8
R05DA07	J45
R03DX06	J45
R03AC12	J45
S01GX07	J45
S01GX01	J45
S01GX08	J45
R03DA03	J45
R03DA51	J45
R03BA03	J45
R03AC13	J45
S03BA02	J45
R03CC03	J45
R03DA51	J45
R03BA09	J45
R03CB01	J45
R03DC01	J45
R03BA01	J45
V03AB23	J45
R03CB03	J45
R03BA02	J45
R03DA04	J45
R05CB03	J45
R03BA08	J45
S01GX10	J45
R03BA05	J45
R03DX09	J45
R06AD07	J45
S01BA03	J45
S01EA01	J45
R03DX01	J45
R03DB03	J45
R03DA51	J45
R03CC08	J45
V01AA20	J45
R03AK06	J45
R03DX08	J45
R03AK09	J45
R03CC13	J45
R03CC04	J45
R03DC03	J45
R03DX05	J45
R03AK07	J45
R03AK11	J45
R03AK10	J45
R03DA05	J45
R03DX10	J45
R03DC02	J45
R05CB06	J45
R03CC11	J45
R03CC02	J45
R03BB01	J45
R06AE06	J45
S03BA03	J45
S03BA02	J45
H02AB04	J45
S02BA01	J45
S03BA01	J45
R05CB04	J45
R03DA01	J45
R03BB04	J45
S03BA01	J45
S01BA05	J45
H02AB04	J45
H02AB07	J45
S01BA05	J45
S02BA01	J45
R03CC11	J45
S03BA02	J45
H02AB04	J45
R03BA07	J45
R03DA54	J45
R03DC04	J45
H01AA01	M32
L04AX01	M32
P01BA02	M32
L04AA26	M32
S03BA02	M32
S01BA03	M32
G04BE01	M32
L01AA01	M32
S03BA03	M32
S03BA02	M32
H02AB04	M32
S02BA01	M32
S03BA01	M32
S03BA01	M32
S01BA05	M32
H02AB04	M32
H02AB07	M32
S01BA05	M32
S02BA01	M32
S03BA02	M32
H02AB04	M32
H03AA01	E06.3
H03BB02	E05.0
H03BA02	E05.0
S01XA23	T86
L04AX01	T86
L01AC01	T86
L04AA04	T86
L04AA19	T86
L04AC02	T86
L04AA06	T86
L04AA28	T86
S03BA02	T86
S01XA18	T86
L04AD02	T86
L04AA18	T86
L04AA04	T86
L01XE27	T86
S01XA18	T86
L04AD02	T86
J06BA01	D80
L03AB03	D71
L03AA10	D70
L03AA13	D70
L03AA02	D70
L04AA39	D76.1
S01AE02	A00
J01MA17	A00
J01MA22	A00
S03AA02	A00
J01AA08	A00
J01AA02	A00
J01AA02	A00
S01AE05	A00
J01AA02	A00
J01AA01	A00
S01AE02	A01.0
S03AA08	A01.0
S03AA07	A01.0
S03AA08	A01.0
J01MA22	A01.0
J01EE01	A01.0
S02AA16	A01.0
S01AE05	A01.0
S01AE02	A01.4
S03AA08	A01.4
S03AA08	A01.4
J01MA22	A01.4
J01EE01	A01.4
S02AA16	A01.4
S01AE05	A01.4
A16AB06	E74.3
A16AB12	E76.2
A16AB04	E75.2
A16AX14	E75.2
A16AB03	E75.2
A16AX06	E75.2
A16AB02	E75.2
A16AB11	E75.2
A16AX10	E75.2
A16AB10	E75.2
A16AB05	E76.0
A16AB09	E76.1
L01AA01	E76.1
A16AB08	E76.2
A16AB18	E76.2
A16AX06	E75.2
A16AB14	E75.5
A16AB17	E75.4
C10AX09	E78.5
C10AX10	E78.3
C10AC01	E78.0
C10AA01	E78.0
C10AX02	E78.0
C10AA07	E78.0
S01XA26	E78.0
V03AE06	E78.0
C10AB05	E78.0
C10AA08	E78.0
C10AA04	E78.0
C10AA03	E78.0
A10BG01	E78.0
C10AX09	E78.0
C10AA05	E78.0
C10AX11	E78.0
C10AX12	E78.0
C10AB02	E78.0
C10BA05	E78.0
C10BA01	E78.0
C10BA02	E78.0
C10AX13	E78.0
C10AA08	E78.0
C10AX14	E78.0
C10AX13	E70.2
A16AX04	E70.2
A16AX07	E70.0
A16AA05	E71.1
A16AA05	E71.1
A16AA05	E71.1
A16AA06	E72.1
B05XB01	E72.2
B05XB01	E72.4
A16AX13	D53.0
N05AA01	E80.2
A05AA03	Q87.8
L04AC08	D89.2
M01CC01	E83.0
A16AX12	E83.0
A16AX05	E83.0
V03AC01	E83.1
A16AB13	E83.3
A11CC03	E83.3
S01EC02	G72.3
S01BA03	E25.0
S03BA02	E25.0
H02AB04	E25.0
S03BA01	E25.0
S03BA01	E25.0
H02AB04	E25.0
H02AB07	E25.0
S01BA05	E25.0
S03BA02	E25.0
H02AB04	E25.0
S01AA12	E84
R05CB13	E84
V03AB23	E84
R07AX02	E84
R07AX30	E84
R07AX31	E84
V10XX01	D68.0
B02BD08	D68.0
B02BD02	D68.0
B02AA02	D68.0
B02BD02	D68.0
B02BD04	D68.0
B02BD04	D68.0
H01BA02	D68.0
B02BD04	D68.0
B02BD02	D68.0
