ds	icd	pathway
ds:H00314	A39	NA
ds:H00333	A40	NA
ds:H01321	A40.3	NA
ds:H01175	A41.1	NA
ds:H00304	A41.3	NA
ds:H00340	A41.4A	NA
ds:H01325	A42	NA
ds:H00326	A44	NA
ds:H01517	A46	NA
ds:H00336	A48.0	NA
ds:H00311	A48.1	path:hsa05134
ds:H00311	A48.2	path:hsa05134
ds:H00333	A49.1	NA
ds:H01321	A49.1	NA
ds:H00304	A49.2	NA
ds:H00320	A49.8	path:hsa05120
ds:H00340	A49.8A	NA
ds:H00354	A50	NA
ds:H00354	A51	NA
ds:H00354	A52	NA
ds:H00354	A53	NA
ds:H00315	A54	NA
ds:H00348	A55	NA
ds:H00347	A56.0	NA
ds:H00305	A57	NA
ds:H01415	A58	NA
ds:H00812	A59	NA
ds:H00365	A60	path:hsa05168
ds:H01418	A63.0	NA
ds:H01531	A65	NA
ds:H01318	A66	NA
ds:H01530	A67	NA
ds:H00427	A68	NA
ds:H01440	A69.1	NA
ds:H00353	A69.2	NA
ds:H00350	A70	NA
ds:H00349	A71	NA
ds:H00322	A75	NA
ds:H00324	A75.3	NA
ds:H00323	A77	NA
ds:H00310	A78	NA
ds:H00376	A80	NA
ds:H00061	A81.0	path:hsa05020
ds:H01696	A81.1	NA
ds:H00377	A82	NA
ds:H01533	A83.0	NA
ds:H00384	A95	NA
ds:H00365	B00	path:hsa05168
ds:H00366	B01	NA
ds:H00366	B02	NA
ds:H01624	B02.2	NA
ds:H00372	B03	NA
ds:H00394	B05	path:hsa05162
ds:H00395	B06	NA
ds:H00374	B07	NA
ds:H00411	B15	NA
ds:H00412	B16	path:hsa05161
ds:H00413	B17.1	path:hsa05160
ds:H00406	B20	NA
ds:H00368	B20.2	path:hsa05163
ds:H00406	B21	NA
ds:H00406	B22	NA
ds:H00406	B23	NA
ds:H00406	B24	NA
ds:H01563	B24	path:hsa05170
ds:H00368	B25	path:hsa05163
ds:H00396	B26	NA
ds:H00367	B27.0	path:hsa05169
ds:H00368	B27.1	path:hsa05163
ds:H01316	B35	NA
ds:H01334	B36.0	NA
ds:H00363	B37	NA
ds:H01109	B37.2	path:hsa04060
ds:H01109	B37.2	path:hsa04062
ds:H01109	B37.2	path:hsa04145
ds:H01109	B37.2	path:hsa04620
ds:H01109	B37.2	path:hsa04621
ds:H01109	B37.2	path:hsa04630
ds:H01062	B39.9	NA
ds:H01501	B40	NA
ds:H01499	B42	NA
ds:H01520	B43	NA
ds:H01328	B44	NA
ds:H00364	B45	NA
ds:H02033	B46	NA
ds:H00361	B50	path:hsa05144
ds:H00361	B51	path:hsa05144
ds:H00361	B52	path:hsa05144
ds:H00361	B53	path:hsa05144
ds:H00359	B55	path:hsa05140
ds:H00357	B56	path:hsa05143
ds:H00358	B57	path:hsa05142
ds:H00435	B58	path:hsa05145
ds:H01521	B59	NA
ds:H01045	B65	NA
ds:H01617	B66	NA
ds:H01628	B66.0	NA
ds:H01610	B66.1	NA
ds:H01093	B66.4	NA
ds:H01107	B66.5	NA
ds:H01153	B67	NA
ds:H01047	B68.0	NA
ds:H01047	B69	NA
ds:H01085	B70.0	NA
ds:H01043	B73	NA
ds:H02028	B74	NA
ds:H01099	B75	NA
ds:H01092	B76.0	NA
ds:H01092	B76.1	NA
ds:H01090	B77	NA
ds:H01100	B78	NA
ds:H01046	B79	NA
ds:H01091	B80	NA
ds:H01054	B85	NA
ds:H01519	B86	NA
ds:H01176	B95	NA
ds:H01401	B95	NA
ds:H01409	B95	path:hsa05150
ds:H00016	C00	NA
ds:H00016	C01	NA
ds:H00016	C02	NA
ds:H00016	C03	NA
ds:H00016	C04	NA
ds:H00016	C05	NA
ds:H00016	C06	NA
ds:H01508	C08.9	path:hsa04330
ds:H01509	C09.9	path:hsa04110
ds:H01559	C10	NA
ds:H00054	C11	path:hsa05169
ds:H00054	C11	path:hsa05203
ds:H00017	C15	path:hsa05206
ds:H00018	C16	path:hsa05226
ds:H00034	C17	path:hsa05202
ds:H00020	C18	path:hsa00512
ds:H00020	C18	path:hsa05206
ds:H00020	C18	path:hsa05210
ds:H00020	C19	path:hsa00512
ds:H00020	C19	path:hsa05206
ds:H00020	C19	path:hsa05210
ds:H00020	C20	path:hsa00512
ds:H00020	C20	path:hsa05206
ds:H00020	C20	path:hsa05210
ds:H00044	C21	path:hsa05203
ds:H00046	C22	NA
ds:H00048	C22	path:hsa05160
ds:H00048	C22	path:hsa05161
ds:H00048	C22	path:hsa05203
ds:H00048	C22	path:hsa05206
ds:H00048	C22	path:hsa05225
ds:H01557	C22.3	NA
ds:H01666	C22.3	NA
ds:H00047	C23	NA
ds:H00019	C25	path:hsa05212
ds:H00045	C25.4	NA
ds:H01591	C26	NA
ds:H00055	C32	NA
ds:H00013	C34	path:hsa05206
ds:H00013	C34	path:hsa05222
ds:H00014	C34	path:hsa05206
ds:H00014	C34	path:hsa05223
ds:H00043	C38	path:hsa05202
ds:H00035	C41	path:hsa05202
ds:H00036	C41	NA
ds:H00053	C41	path:hsa05202
ds:H00038	C43	path:hsa05218
ds:H00039	C44	path:hsa05217
ds:H00040	C44	NA
ds:H01555	C44.3	NA
ds:H01666	C44.9	NA
ds:H00015	C45	NA
ds:H00041	C46	path:hsa05167
ds:H00041	C46	path:hsa05203
ds:H00043	C47	path:hsa05202
ds:H00043	C48	path:hsa05202
ds:H01665	C48.1	NA
ds:H00037	C49	path:hsa05202
ds:H00049	C49	path:hsa05202
ds:H00050	C49	path:hsa05202
ds:H00051	C49	path:hsa05202
ds:H00052	C49	path:hsa05202
ds:H01985	C49.9	path:hsa05202
ds:H00031	C50	path:hsa05206
ds:H00031	C50	path:hsa05224
ds:H00029	C51	NA
ds:H00030	C53	path:hsa05165
ds:H00030	C53	path:hsa05203
ds:H00026	C54	path:hsa05213
ds:H00027	C56	path:hsa05206
ds:H01554	C57.0	NA
ds:H00028	C58	NA
ds:H00025	C60	path:hsa05203
ds:H00024	C61	path:hsa05202
ds:H00024	C61	path:hsa05206
ds:H00024	C61	path:hsa05215
ds:H00023	C62	NA
ds:H00021	C64	path:hsa05202
ds:H00021	C64	path:hsa05211
ds:H00022	C67	path:hsa05206
ds:H00022	C67	path:hsa05219
ds:H01513	C69.2	path:hsa04110
ds:H00042	C71	path:hsa05206
ds:H00042	C71	path:hsa05214
ds:H01667	C71.6	path:hsa04310
ds:H01667	C71.6	path:hsa04340
ds:H00043	C72	path:hsa05202
ds:H00032	C73	path:hsa05202
ds:H00032	C73	path:hsa05216
ds:H01592	C73	NA
ds:H00033	C74	NA
ds:H00043	C74	path:hsa05202
ds:H01510	C75.5	path:hsa04066
ds:H00043	C76	path:hsa05202
ds:H00007	C81	path:hsa05169
ds:H00007	C81	path:hsa05202
ds:H00007	C81	path:hsa05203
ds:H01613	C82	NA
ds:H01464	C83	NA
ds:H00001	C83.5	path:hsa05202
ds:H00002	C83.5	path:hsa05202
ds:H00008	C83.7	path:hsa05169
ds:H00008	C83.7	path:hsa05203
ds:H00011	C83.8	path:hsa05202
ds:H01463	C84	NA
ds:H01892	C84.4	NA
ds:H01601	C84.6	NA
ds:H01892	C84.6	NA
ds:H01601	C84.7	NA
ds:H01892	C84.7	NA
ds:H01892	C86.5	NA
ds:H00011	C88.0	path:hsa05202
ds:H00010	C90.0	path:hsa05202
ds:H00001	C91.0	path:hsa05202
ds:H00002	C91.0	path:hsa05202
ds:H00005	C91.1	NA
ds:H00006	C91.4	path:hsa05202
ds:H00009	C91.5	path:hsa05166
ds:H00009	C91.5	path:hsa05203
ds:H00003	C92.0	path:hsa05202
ds:H00003	C92.0	path:hsa05221
ds:H00004	C92.1	path:hsa05220
ds:H01511	C94.3	path:hsa04151
ds:H01512	C96.0	path:hsa04010
ds:H01512	C96.5	path:hsa04010
ds:H01512	C96.6	path:hsa04010
ds:H01558	D09.3	NA
ds:H01023	D12.6	path:hsa04060
ds:H01023	D12.6	path:hsa04110
ds:H01023	D12.6	path:hsa04310
ds:H01023	D12.6	path:hsa04350
ds:H01023	D12.6	path:hsa04520
ds:H01023	D12.6	path:hsa05200
ds:H01023	D12.6	path:hsa05210
ds:H01025	D12.6	path:hsa03410
ds:H01025	D12.6	path:hsa04310
ds:H01025	D12.6	path:hsa04810
ds:H01025	D12.6	path:hsa05200
ds:H01025	D12.6	path:hsa05210
ds:H01482	D18.00	path:hsa04370
ds:H01471	D18.1	NA
ds:H00804	D21.9	path:hsa00020
ds:H00804	D21.9	path:hsa01100
ds:H00947	D23	path:hsa04310
ds:H00947	D23	path:hsa04510
ds:H00947	D23	path:hsa04520
ds:H00947	D23	path:hsa04530
ds:H00947	D23	path:hsa04670
ds:H00947	D23	path:hsa04916
ds:H00947	D23	path:hsa05200
ds:H00829	D23.3	NA
ds:H01640	D25	NA
ds:H01691	D30.0	path:hsa04150
ds:H01149	D31.1	path:hsa04350
ds:H01556	D32.9	NA
ds:H00502	D33.0	path:hsa04340
ds:H01007	D33.0	path:hsa04010
ds:H01007	D33.0	path:hsa04110
ds:H01007	D33.0	path:hsa04115
ds:H01007	D33.0	path:hsa04210
ds:H01007	D33.0	path:hsa04310
ds:H01007	D33.0	path:hsa04722
ds:H01007	D33.0	path:hsa05200
ds:H01479	D36.0	path:hsa04060
ds:H01479	D36.0	path:hsa04630
ds:H01479	D36.0	path:hsa04640
ds:H00895	D36.9	path:hsa04340
ds:H00895	D36.9	path:hsa05200
ds:H00895	D36.9	path:hsa05217
ds:H01692	D43.2	path:hsa04150
ds:H00247	D44.8	NA
ds:H01102	D44.8	path:hsa04012
ds:H01102	D44.8	path:hsa04110
ds:H01102	D44.8	path:hsa04210
ds:H01102	D44.8	path:hsa04910
ds:H01102	D44.8	path:hsa05202
ds:H00012	D45	NA
ds:H01481	D46	path:hsa03040
ds:H01481	D46	path:hsa04550
ds:H01484	D46.7	path:hsa03010
ds:H01612	D47.3	NA
ds:H01605	D47.4	path:hsa04630
ds:H01590	D47.5	NA
ds:H01599	D47.5	NA
ds:H01470	D48.0	NA
ds:H01910	D48.1	path:hsa04151
ds:H01910	D48.1	path:hsa04330
ds:H01145	D50.8	path:hsa04978
ds:H01196	D50.8	path:hsa04142
ds:H01196	D50.8	path:hsa04978
ds:H01278	D50.8	NA
ds:H01277	D51.0	path:hsa04977
ds:H01277	D51.1	path:hsa04977
ds:H01190	D51.2	path:hsa04977
ds:H01252	D52.8	path:hsa04977
ds:H01252	D52.8	path:hsa04978
ds:H00198	D53.0	path:hsa00240
ds:H01183	D53.1	NA
ds:H00668	D55.0	path:hsa00030
ds:H00668	D55.0	path:hsa00480
ds:H01375	D55.0	path:hsa00030
ds:H01375	D55.0	path:hsa00480
ds:H00668	D55.1	path:hsa00030
ds:H00668	D55.1	path:hsa00480
ds:H00664	D55.2	path:hsa00010
ds:H01096	D55.2	path:hsa00010
ds:H01096	D55.2	path:hsa00230
ds:H01096	D55.2	path:hsa00620
ds:H00674	D55.3	path:hsa00230
ds:H00674	D55.3	path:hsa00240
ds:H00228	D56.0	NA
ds:H00228	D56.1	NA
ds:H00228	D56.2	NA
ds:H00228	D56.4	NA
ds:H00229	D57	NA
ds:H00230	D58.0	NA
ds:H00231	D58.1	NA
ds:H01125	D58.1	NA
ds:H01720	D58.1	NA
ds:H00232	D58.8	NA
ds:H01214	D58.8	NA
ds:H01434	D58.8	path:hsa04610
ds:H01978	D58.8	NA
ds:H01979	D58.8	NA
ds:H02001	D58.8	NA
ds:H02002	D58.8	NA
ds:H01585	D59.0	NA
ds:H01585	D59.1	NA
ds:H01053	D59.5	path:hsa00563
ds:H01586	D60	NA
ds:H00237	D61.0	path:hsa03010
ds:H00238	D61.0	path:hsa03460
ds:H00439	D61.0	path:hsa03008
ds:H00479	D61.0	NA
ds:H00788	D61.0	path:hsa03008
ds:H01132	D61.0	path:hsa04380
ds:H01132	D61.0	path:hsa04612
ds:H00982	D64.0	NA
