ds	icd	pathway
ds:H01274	E34.3	path:hsa04510
ds:H01274	E34.3	path:hsa04520
ds:H01274	E34.3	path:hsa04730
ds:H01274	E34.3	path:hsa04914
ds:H01907	E34.3	NA
ds:H02037	E34.3	path:hsa04060
ds:H02037	E34.3	path:hsa04080
ds:H02037	E34.3	path:hsa04151
ds:H02037	E34.3	path:hsa04630
ds:H02040	E34.3	path:hsa04151
ds:H02177	E34.5	NA
ds:H00601	E34.8	NA
ds:H00719	E34.8	path:hsa04520
ds:H00719	E34.8	path:hsa04910
ds:H00719	E34.8	path:hsa04930
ds:H00719	E34.8	path:hsa04960
ds:H01733	E34.8	NA
ds:H01883	E34.8	NA
ds:H01266	E50	path:hsa00830
ds:H01566	E51.1	NA
ds:H01565	E51.2	path:hsa04977
ds:H01567	E51.8	path:hsa00730
ds:H01582	E52	NA
ds:H00180	E53.8	path:hsa00780
ds:H01182	E53.8	path:hsa00780
ds:H01182	E53.8	path:hsa04977
ds:H01580	E54	NA
ds:H01143	E55.0	path:hsa00100
ds:H01143	E55.0	path:hsa04961
ds:H01143	E55.0	path:hsa04978
ds:H00981	E56.0	NA
ds:H01925	E60	NA
ds:H02059	E66.8	path:hsa04060
ds:H02059	E66.8	path:hsa04080
ds:H02059	E66.8	path:hsa04152
ds:H02059	E66.8	path:hsa04630
ds:H02059	E66.8	path:hsa04920
ds:H02060	E66.8	path:hsa04060
ds:H02060	E66.8	path:hsa04080
ds:H02060	E66.8	path:hsa04152
ds:H02060	E66.8	path:hsa04630
ds:H02060	E66.8	path:hsa04920
ds:H02105	E66.8	NA
ds:H02106	E66.8	path:hsa03320
ds:H02106	E66.8	path:hsa04080
ds:H02106	E66.8	path:hsa04714
ds:H02106	E66.8	path:hsa04923
ds:H02235	E66.8	NA
ds:H01266	E67.1	path:hsa00830
ds:H01425	E70	path:hsa04142
ds:H00167	E70.0	path:hsa00400
ds:H00167	E70.0	path:hsa00790
ds:H00163	E70.2	path:hsa00350
ds:H00165	E70.2	path:hsa00350
ds:H00165	E70.2	path:hsa00360
ds:H00166	E70.3	path:hsa04142
ds:H00168	E70.3	path:hsa00350
ds:H00168	E70.3	path:hsa04916
ds:H00169	E70.3	path:hsa04916
ds:H00170	E70.3	path:hsa04520
ds:H00170	E70.3	path:hsa04916
ds:H00759	E70.3	path:hsa04020
ds:H00759	E70.3	path:hsa04080
ds:H00759	E70.3	path:hsa04520
ds:H00759	E70.3	path:hsa04916
ds:H00759	E70.3	path:hsa04916
ds:H02021	E70.3	NA
ds:H02022	E70.3	NA
ds:H00171	E70.8	path:hsa00340
ds:H00548	E70.8	path:hsa00340
ds:H00548	E70.8	path:hsa00350
ds:H00548	E70.8	path:hsa00380
ds:H00548	E70.8	path:hsa00780
ds:H00548	E70.8	path:hsa04728
ds:H01233	E70.8	path:hsa00340
ds:H01262	E70.8	path:hsa00340
ds:H01262	E70.8	path:hsa00670
ds:H01583	E70.8	path:hsa00380
ds:H02087	E70.8	path:hsa00380
ds:H00172	E71.0	path:hsa00280
ds:H02000	E71.0	path:hsa00010
ds:H02000	E71.0	path:hsa00020
ds:H02000	E71.0	path:hsa00620
ds:H00173	E71.1	path:hsa00280
ds:H00174	E71.1	path:hsa00280
ds:H00175	E71.1	path:hsa00280
ds:H00175	E71.1	path:hsa00640
ds:H00179	E71.1	path:hsa00280
ds:H00179	E71.1	path:hsa00650
ds:H00181	E71.1	path:hsa00280
ds:H00375	E71.1	path:hsa00071
ds:H00375	E71.1	path:hsa00280
ds:H00375	E71.1	path:hsa01212
ds:H00654	E71.1	path:hsa00564
ds:H00754	E71.1	path:hsa00280
ds:H01279	E71.1	path:hsa00280
ds:H01349	E71.1	path:hsa00280
ds:H02109	E71.1	path:hsa00280
ds:H02136	E71.1	NA
ds:H02221	E71.1	path:hsa04977
ds:H02222	E71.1	NA
ds:H00162	E71.3	path:hsa00071
ds:H00176	E71.3	path:hsa02010
ds:H00176	E71.3	path:hsa04146
ds:H00177	E71.3	path:hsa04146
ds:H00178	E71.3	path:hsa00071
ds:H00178	E71.3	path:hsa00310
ds:H00178	E71.3	path:hsa00380
ds:H00392	E71.3	path:hsa00071
ds:H00392	E71.3	path:hsa01212
ds:H00407	E71.3	path:hsa00120
ds:H00407	E71.3	path:hsa01040
ds:H00407	E71.3	path:hsa03320
ds:H00407	E71.3	path:hsa04146
ds:H00488	E71.3	path:hsa00071
ds:H00488	E71.3	path:hsa01212
ds:H00489	E71.3	NA
ds:H00525	E71.3	path:hsa00071
ds:H00925	E71.3	path:hsa00280
ds:H01121	E71.3	path:hsa00072
ds:H01121	E71.3	path:hsa00280
ds:H01121	E71.3	path:hsa00650
ds:H01123	E71.3	path:hsa00072
ds:H01123	E71.3	path:hsa00280
ds:H01123	E71.3	path:hsa00650
ds:H01123	E71.3	path:hsa00900
ds:H01352	E71.3	path:hsa00071
ds:H01352	E71.3	path:hsa01212
ds:H01364	E71.3	path:hsa00062
ds:H01364	E71.3	path:hsa00071
ds:H01364	E71.3	path:hsa00280
ds:H01364	E71.3	path:hsa00310
ds:H01364	E71.3	path:hsa00380
ds:H01364	E71.3	path:hsa00650
ds:H01589	E71.3	NA
ds:H01929	E71.3	path:hsa00760
ds:H01980	E71.3	path:hsa00071
ds:H01980	E71.3	path:hsa01212
ds:H01983	E71.3	NA
ds:H02085	E71.3	NA
ds:H02096	E71.3	path:hsa00071
ds:H02096	E71.3	path:hsa03320
ds:H02096	E71.3	path:hsa04146
ds:H02098	E71.3	path:hsa00120
ds:H02098	E71.3	path:hsa01040
ds:H02098	E71.3	path:hsa04146
ds:H01981	E71.4	path:hsa00071
ds:H01981	E71.4	path:hsa01212
ds:H01982	E71.4	path:hsa00071
ds:H01982	E71.4	path:hsa01212
ds:H01425	E72	path:hsa04142
ds:H00275	E72.0	path:hsa04142
ds:H00692	E72.0	path:hsa00562
ds:H00692	E72.0	path:hsa04070
ds:H00843	E72.0	path:hsa04974
ds:H00843	E72.0	path:hsa04978
ds:H00899	E72.0	path:hsa04974
ds:H00901	E72.0	path:hsa04974
ds:H00905	E72.0	path:hsa04974
ds:H00905	E72.0	path:hsa04978
ds:H01198	E72.0	NA
ds:H01386	E72.0	path:hsa00250
ds:H00182	E72.1	path:hsa00260
ds:H00182	E72.1	path:hsa00270
ds:H00183	E72.1	path:hsa00260
ds:H00183	E72.1	path:hsa00270
ds:H00183	E72.1	path:hsa00450
ds:H00183	E72.1	path:hsa00670
ds:H00184	E72.1	path:hsa00073
ds:H00184	E72.1	path:hsa00230
ds:H00184	E72.1	path:hsa00260
ds:H00184	E72.1	path:hsa00270
ds:H00184	E72.1	path:hsa00450
ds:H01237	E72.1	path:hsa00920
ds:H01285	E72.1	path:hsa00270
ds:H01285	E72.1	path:hsa00450
ds:H01285	E72.1	path:hsa00670
ds:H00164	E72.2	path:hsa00220
ds:H00164	E72.2	path:hsa00250
ds:H00164	E72.2	path:hsa00910
ds:H00185	E72.2	path:hsa00220
ds:H00185	E72.2	path:hsa00250
ds:H00186	E72.2	path:hsa00062
ds:H00186	E72.2	path:hsa00062
ds:H00186	E72.2	path:hsa00220
ds:H00186	E72.2	path:hsa00330
ds:H01028	E72.2	path:hsa00220
ds:H01028	E72.2	path:hsa00250
ds:H01032	E72.2	path:hsa00220
ds:H01076	E72.2	path:hsa00072
ds:H01076	E72.2	path:hsa00280
ds:H01398	E72.2	path:hsa00220
ds:H01400	E72.2	path:hsa00071
ds:H01400	E72.2	path:hsa00280
ds:H00178	E72.3	path:hsa00071
ds:H00178	E72.3	path:hsa00310
ds:H00178	E72.3	path:hsa00380
ds:H00188	E72.3	path:hsa00300
ds:H00188	E72.3	path:hsa00310
ds:H01242	E72.3	path:hsa00310
ds:H00187	E72.4	path:hsa00220
ds:H00189	E72.4	path:hsa00330
ds:H01268	E72.4	NA
ds:H00190	E72.5	path:hsa00330
ds:H00191	E72.5	path:hsa00260
ds:H01003	E72.5	path:hsa00260
ds:H00200	E72.8	path:hsa00240
ds:H00200	E72.8	path:hsa00983
ds:H00834	E72.8	path:hsa00260
ds:H00834	E72.8	path:hsa00330
ds:H00835	E72.8	path:hsa00250
ds:H00835	E72.8	path:hsa00650
ds:H00849	E72.8	path:hsa00260
ds:H00849	E72.8	path:hsa00330
ds:H00923	E72.8	path:hsa00220
ds:H00923	E72.8	path:hsa00250
ds:H00923	E72.8	path:hsa00910
ds:H00923	E72.8	path:hsa04724
ds:H00923	E72.8	path:hsa04727
ds:H01079	E72.8	path:hsa00260
ds:H01119	E72.8	NA
ds:H01257	E72.8	path:hsa00250
ds:H01283	E72.8	path:hsa00410
ds:H01283	E72.8	path:hsa00640
ds:H01283	E72.8	path:hsa04146
ds:H02116	E72.8	path:hsa00260
ds:H02117	E72.8	path:hsa00260
ds:H02117	E72.8	path:hsa00750
ds:H02196	E72.8	NA
ds:H00116	E73.0	path:hsa00052
ds:H01425	E74	path:hsa04142
ds:H00069	E74.0	path:hsa00010
ds:H00069	E74.0	path:hsa00500
ds:H00069	E74.0	path:hsa04910
ds:H00150	E74.0	path:hsa04142
ds:H01760	E74.0	path:hsa00010
ds:H01760	E74.0	path:hsa00500
ds:H01760	E74.0	path:hsa04910
ds:H01762	E74.0	path:hsa00010
ds:H01762	E74.0	path:hsa00500
ds:H01762	E74.0	path:hsa04142
ds:H01762	E74.0	path:hsa04910
ds:H01762	E74.0	path:hsa04922
ds:H01939	E74.0	path:hsa00010
ds:H01939	E74.0	path:hsa04973
ds:H01940	E74.0	path:hsa00052
ds:H01940	E74.0	path:hsa04142
ds:H01941	E74.0	path:hsa00500
ds:H01942	E74.0	path:hsa00500
ds:H01943	E74.0	path:hsa00500
ds:H01943	E74.0	path:hsa04910
ds:H01944	E74.0	path:hsa00500
ds:H01944	E74.0	path:hsa04910
ds:H01944	E74.0	path:hsa04922
ds:H01945	E74.0	path:hsa00010
ds:H01946	E74.0	path:hsa00010
ds:H01946	E74.0	path:hsa00620
ds:H01947	E74.0	path:hsa04911
ds:H01947	E74.0	path:hsa04973
ds:H01948	E74.0	path:hsa04910
ds:H01948	E74.0	path:hsa04922
ds:H01949	E74.0	path:hsa00500
ds:H01949	E74.0	path:hsa04910
ds:H01950	E74.0	path:hsa00500
ds:H01950	E74.0	path:hsa04910
ds:H01951	E74.0	path:hsa00010
ds:H01951	E74.0	path:hsa00260
ds:H01951	E74.0	path:hsa04922
ds:H01952	E74.0	path:hsa00010
ds:H01952	E74.0	path:hsa00030
ds:H01952	E74.0	path:hsa00051
ds:H01953	E74.0	path:hsa00010
ds:H01954	E74.0	path:hsa00010
ds:H01954	E74.0	path:hsa00500
ds:H01954	E74.0	path:hsa00520
ds:H01955	E74.0	path:hsa00500
ds:H01956	E74.0	path:hsa04152
ds:H01956	E74.0	path:hsa04910
ds:H01956	E74.0	path:hsa04922
ds:H00071	E74.1	path:hsa00010
ds:H00114	E74.1	path:hsa00010
ds:H00070	E74.2	path:hsa00052
ds:H00070	E74.2	path:hsa00520
ds:H02008	E74.2	path:hsa00052
ds:H02009	E74.2	path:hsa00052
ds:H02010	E74.2	path:hsa00052
ds:H00115	E74.3	path:hsa00500
ds:H01261	E74.3	path:hsa04973
ds:H02090	E74.3	path:hsa00500
ds:H00072	E74.4	path:hsa00010
ds:H00072	E74.4	path:hsa00620
ds:H00073	E74.4	path:hsa00020
ds:H00073	E74.4	path:hsa00620
ds:H01996	E74.4	NA
ds:H01997	E74.4	path:hsa00010
ds:H01997	E74.4	path:hsa00620
ds:H01998	E74.4	path:hsa00010
ds:H01998	E74.4	path:hsa00620
ds:H01999	E74.4	path:hsa00010
ds:H01999	E74.4	path:hsa00620
ds:H02003	E74.4	NA
ds:H02197	E74.4	NA
ds:H00117	E74.8	path:hsa00260
ds:H00117	E74.8	path:hsa00630
ds:H00552	E74.8	path:hsa00561
ds:H00552	E74.8	path:hsa03320
ds:H01065	E74.8	path:hsa00040
ds:H01126	E74.8	NA
ds:H01189	E74.8	path:hsa00030
ds:H02013	E74.8	path:hsa00561
ds:H02013	E74.8	path:hsa03320
ds:H01425	E75	path:hsa04142
ds:H00124	E75.0	path:hsa00511
ds:H00124	E75.0	path:hsa00531
ds:H00124	E75.0	path:hsa00603
ds:H00124	E75.0	path:hsa00604
ds:H00124	E75.0	path:hsa04142
ds:H02016	E75.0	path:hsa00511
ds:H02016	E75.0	path:hsa00531
ds:H02017	E75.0	path:hsa00511
ds:H02017	E75.0	path:hsa00531
ds:H00144	E75.1	path:hsa04142
ds:H00276	E75.1	path:hsa00600
ds:H00276	E75.1	path:hsa04142
ds:H00281	E75.1	path:hsa00511
ds:H00281	E75.1	path:hsa00531
ds:H00281	E75.1	path:hsa00600
ds:H00281	E75.1	path:hsa00604
ds:H00281	E75.1	path:hsa04142
ds:H00426	E75.1	path:hsa00511
ds:H00426	E75.1	path:hsa00531
ds:H00426	E75.1	path:hsa00600
ds:H00426	E75.1	path:hsa00604
ds:H00426	E75.1	path:hsa04142
ds:H00426	E75.1	path:hsa04911
ds:H00074	E75.2	path:hsa00250
ds:H00125	E75.2	path:hsa00600
ds:H00125	E75.2	path:hsa00603
ds:H00125	E75.2	path:hsa04142
ds:H00126	E75.2	path:hsa00511
ds:H00126	E75.2	path:hsa00600
ds:H00126	E75.2	path:hsa04142
ds:H00127	E75.2	path:hsa00600
ds:H00127	E75.2	path:hsa04142
ds:H00135	E75.2	path:hsa00600
ds:H00135	E75.2	path:hsa04142
ds:H00136	E75.2	path:hsa04142
ds:H00137	E75.2	path:hsa00600
ds:H00137	E75.2	path:hsa04142
ds:H00138	E75.2	path:hsa00195
ds:H00138	E75.2	path:hsa00600
ds:H00138	E75.2	path:hsa04142
ds:H00272	E75.2	path:hsa04142
ds:H00423	E75.2	path:hsa00600
ds:H00423	E75.2	path:hsa04142
ds:H00424	E75.2	path:hsa00195
ds:H00424	E75.2	path:hsa00550
ds:H00424	E75.2	path:hsa00600
ds:H00424	E75.2	path:hsa04142
ds:H00438	E75.2	path:hsa04380
ds:H00679	E75.2	NA
ds:H00869	E75.2	path:hsa03013
ds:H00871	E75.2	path:hsa00970
ds:H00874	E75.2	path:hsa00120
ds:H00874	E75.2	path:hsa03320
ds:H00874	E75.2	path:hsa04146
ds:H00875	E75.2	NA
ds:H00878	E75.2	NA
ds:H01230	E75.2	NA
ds:H01239	E75.2	path:hsa04142
ds:H02200	E75.2	NA
ds:H00149	E75.4	path:hsa00062
ds:H00149	E75.4	path:hsa04142
ds:H02275	E75.4	path:hsa04142
ds:H02276	E75.4	path:hsa04141
ds:H02276	E75.4	path:hsa04142
ds:H02277	E75.4	path:hsa00062
ds:H02277	E75.4	path:hsa01212
ds:H02277	E75.4	path:hsa04142
ds:H02278	E75.4	NA
ds:H02279	E75.4	path:hsa04140
ds:H02279	E75.4	path:hsa04142
ds:H02279	E75.4	path:hsa04210
ds:H00148	E75.5	path:hsa00100
ds:H00148	E75.5	path:hsa04142
ds:H00151	E75.5	path:hsa00120
ds:H00151	E75.5	path:hsa03320
ds:H00736	E75.5	path:hsa04923
ds:H00883	E75.5	NA
ds:H01297	E75.5	path:hsa04923
ds:H01661	E75.5	NA
ds:H01425	E76	path:hsa04142
ds:H00128	E76.0	path:hsa00531
ds:H00128	E76.0	path:hsa04142
ds:H00421	E76.0	path:hsa00531
ds:H00421	E76.0	path:hsa04142
ds:H00129	E76.1	path:hsa00531
ds:H00129	E76.1	path:hsa04142
ds:H00421	E76.1	path:hsa00531
ds:H00421	E76.1	path:hsa04142
ds:H00123	E76.2	path:hsa00531
ds:H00123	E76.2	path:hsa04142
ds:H00130	E76.2	path:hsa00531
ds:H00130	E76.2	path:hsa04142
ds:H00131	E76.2	path:hsa00531
ds:H00131	E76.2	path:hsa04142
ds:H00132	E76.2	path:hsa00531
ds:H00132	E76.2	path:hsa04142
ds:H00421	E76.2	path:hsa00531
ds:H00421	E76.2	path:hsa04142
ds:H02205	E76.2	NA
ds:H00133	E76.3	path:hsa00531
ds:H00133	E76.3	path:hsa04142
ds:H01425	E77	path:hsa04142
ds:H00143	E77.0	path:hsa04142
ds:H02130	E77.0	path:hsa04142
ds:H00139	E77.1	path:hsa00511
ds:H00139	E77.1	path:hsa04142
ds:H00140	E77.1	path:hsa00511
ds:H00140	E77.1	path:hsa04142
ds:H00141	E77.1	path:hsa00511
ds:H00141	E77.1	path:hsa04142
ds:H00142	E77.1	path:hsa00511
ds:H00142	E77.1	path:hsa00600
ds:H00142	E77.1	path:hsa04142
ds:H00145	E77.1	path:hsa00511
ds:H00145	E77.1	path:hsa04142
ds:H00422	E77.1	path:hsa00511
ds:H00422	E77.1	path:hsa00603
ds:H00422	E77.1	path:hsa04142
ds:H00118	E77.8	path:hsa00051
ds:H00118	E77.8	path:hsa00510
ds:H00118	E77.8	path:hsa00510
ds:H00118	E77.8	path:hsa04141
ds:H00119	E77.8	path:hsa00510
ds:H00119	E77.8	path:hsa00510
ds:H00996	E77.8	path:hsa00604
ds:H00146	E77.9	path:hsa00603
ds:H00146	E77.9	path:hsa04142
ds:H01635	E78	NA
ds:H01661	E78	NA
ds:H00155	E78.0	path:hsa04144
ds:H00155	E78.0	path:hsa04976
ds:H01383	E78.0	path:hsa04144
ds:H01383	E78.0	path:hsa04913
ds:H01383	E78.0	path:hsa04976
ds:H01918	E78.0	path:hsa04144
ds:H01637	E78.1	NA
ds:H00156	E78.2	NA
ds:H01637	E78.2	NA
ds:H00154	E78.3	path:hsa00561
ds:H00154	E78.3	path:hsa03320
ds:H00157	E78.3	path:hsa03320
ds:H01784	E78.3	NA
ds:H00153	E78.4	NA
ds:H01199	E78.4	path:hsa03320
ds:H01637	E78.4	NA
ds:H00152	E78.5	path:hsa02010
ds:H00158	E78.6	path:hsa00564
ds:H00159	E78.6	path:hsa02010
ds:H00160	E78.6	NA
ds:H00927	E78.6	path:hsa04141
ds:H00930	E78.6	path:hsa02010
ds:H00930	E78.6	path:hsa03320
ds:H00930	E78.6	path:hsa04975
ds:H00930	E78.6	path:hsa04977
ds:H01270	E78.6	path:hsa04975
ds:H01270	E78.6	path:hsa04977
ds:H01101	E78.9	NA
ds:H00541	E79.0	path:hsa04614
ds:H02011	E79.0	path:hsa04614
ds:H00194	E79.1	path:hsa00230
ds:H00193	E79.8	path:hsa00240
ds:H00193	E79.8	path:hsa00983
ds:H00196	E79.8	path:hsa00030
ds:H00196	E79.8	path:hsa00230
ds:H00964	E79.8	path:hsa00983
ds:H00966	E79.8	path:hsa00230
ds:H00966	E79.8	path:hsa00670
ds:H00192	E79.9	path:hsa00230
ds:H00192	E79.9	path:hsa04122
ds:H00197	E79.9	path:hsa00230
ds:H00197	E79.9	path:hsa00250
ds:H01763	E80	path:hsa00860
ds:H00201	E80.0	path:hsa00860
ds:H00202	E80.1	path:hsa00860
ds:H00202	E80.2	path:hsa00860
ds:H00203	E80.3	path:hsa00380
ds:H00203	E80.3	path:hsa00680
ds:H00203	E80.3	path:hsa04146
ds:H02025	E80.3	path:hsa04145
ds:H00208	E80.4	path:hsa00860
ds:H00208	E80.4	path:hsa02010
ds:H00208	E80.4	path:hsa04976
ds:H02055	E80.4	path:hsa00860
ds:H00208	E80.5	path:hsa00860
ds:H00208	E80.5	path:hsa02010
ds:H00208	E80.5	path:hsa04976
ds:H02054	E80.5	path:hsa00860
ds:H00208	E80.6	path:hsa00860
ds:H00208	E80.6	path:hsa02010
ds:H00208	E80.6	path:hsa04976
ds:H02056	E80.6	path:hsa02010
ds:H02056	E80.6	path:hsa04976
ds:H02057	E80.6	path:hsa04976
ds:H01425	E83	path:hsa04142
ds:H00209	E83.0	NA
ds:H00210	E83.0	NA
ds:H01859	E83.0	NA
ds:H00211	E83.1	NA
ds:H00212	E83.2	NA
ds:H00213	E83.3	path:hsa00790
ds:H00214	E83.3	NA
ds:H01113	E83.3	path:hsa00740
ds:H01113	E83.3	path:hsa04142
ds:H02138	E83.3	path:hsa04928
ds:H02139	E83.3	NA
ds:H02141	E83.3	NA
ds:H02143	E83.3	NA
ds:H01210	E83.4	path:hsa04510
ds:H01210	E83.4	path:hsa04514
ds:H01210	E83.4	path:hsa04530
ds:H01210	E83.4	path:hsa04540
ds:H01210	E83.4	path:hsa04978
ds:H00245	E83.5	NA
ds:H01371	E83.5	path:hsa00100
ds:H02026	E83.5	path:hsa04020
ds:H02026	E83.5	path:hsa04961
ds:H00218	E84	path:hsa02010
ds:H00845	E85	path:hsa04610
ds:H00845	E85	path:hsa04810
ds:H00845	E85	path:hsa04970
ds:H00845	E85	path:hsa04975
ds:H00845	E85	path:hsa04977
ds:H00282	E85.0	path:hsa04621
ds:H00288	E85.0	path:hsa04621
ds:H00419	E88.1	NA
ds:H00420	E88.1	path:hsa03320
ds:H00420	E88.1	path:hsa04371
ds:H00420	E88.1	path:hsa04910
ds:H00420	E88.1	path:hsa04923
ds:H01475	E88.1	NA
ds:H02236	E88.1	NA
ds:H02005	E88.4	path:hsa00020
ds:H02005	E88.4	path:hsa00190
ds:H02006	E88.4	path:hsa00020
ds:H00147	E88.8	path:hsa00270
ds:H00147	E88.8	path:hsa00520
ds:H00147	E88.8	path:hsa04142
ds:H00469	E88.8	path:hsa00020
ds:H00469	E88.8	path:hsa00230
ds:H00469	E88.8	path:hsa00240
ds:H00473	E88.8	path:hsa00190
ds:H00891	E88.8	NA
ds:H01022	E88.8	path:hsa00020
ds:H01127	E88.8	path:hsa00563
ds:H01234	E88.8	path:hsa00982
ds:H01894	E88.8	NA
ds:H02004	E88.8	path:hsa00020
ds:H02007	E88.8	NA
ds:H02086	E88.8	path:hsa00190
ds:H02086	E88.8	path:hsa04260
ds:H02113	E88.8	path:hsa00020
ds:H02113	E88.8	path:hsa00630
ds:H00273	E88.9	path:hsa04142
ds:H00273	E88.9	path:hsa04620
ds:H00536	F01.1	path:hsa04330
ds:H01757	F01.1	NA
ds:H01611	F10.2	path:hsa05034
ds:H01611	F10.5	path:hsa05034
ds:H01649	F20	path:hsa04080
ds:H01649	F20	path:hsa04728
ds:H01653	F31	NA
ds:H01646	F32	path:hsa04726
ds:H01646	F33	path:hsa04726
ds:H01670	F40.1	NA
ds:H01664	F41.0	NA
ds:H01662	F41.1	NA
ds:H01450	F42	path:hsa04724
ds:H01450	F42	path:hsa04726
ds:H01450	F42	path:hsa04728
ds:H01447	F45.2	path:hsa04726
ds:H01671	F48	path:hsa04080
ds:H01671	F48	path:hsa04728
ds:H01703	F50	path:hsa04024
ds:H01703	F50	path:hsa04920
ds:H01609	F51.0	NA
ds:H00548	F54	path:hsa00340
ds:H00548	F54	path:hsa00350
ds:H00548	F54	path:hsa00380
ds:H00548	F54	path:hsa00780
ds:H00548	F54	path:hsa04728
ds:H00864	F63.3	NA
ds:H00480	F78.9	path:hsa04810
ds:H00658	F78.9	NA
ds:H00768	F78.9	NA
ds:H00773	F78.9	path:hsa04024
ds:H00773	F78.9	path:hsa04261
ds:H00773	F78.9	path:hsa04728
ds:H01911	F78.9	NA
ds:H01306	F79	NA
ds:H01514	F80.3	NA
ds:H01827	F80.3	path:hsa04724
ds:H00902	F80.9	NA
ds:H02111	F84.0	path:hsa04150
ds:H02111	F84.0	path:hsa04310
ds:H02111	F84.0	path:hsa04514
ds:H02111	F84.0	path:hsa04724
ds:H00440	F84.2	NA
ds:H01882	F84.5	path:hsa04514
ds:H01895	F90.0	path:hsa04726
ds:H01895	F90.0	path:hsa04728
ds:H01670	F93.2	NA
ds:H00862	F95.2	path:hsa00340
ds:H00304	G00.0	NA
ds:H00333	G00.2	NA
ds:H01668	G03	NA
ds:H01724	G04.1	path:hsa05166
ds:H01812	G04.8	path:hsa04660
ds:H01417	G04.9	NA
ds:H00059	G10	path:hsa05016
ds:H00655	G10	NA
ds:H01616	G11	NA
ds:H01038	G11.0	NA
ds:H02273	G11.0	NA
ds:H00067	G11.1	NA
ds:H00981	G11.1	NA
ds:H00999	G11.1	path:hsa00130
ds:H00999	G11.1	path:hsa00900
ds:H01036	G11.1	NA
ds:H01170	G11.1	NA
ds:H01284	G11.1	path:hsa04141
ds:H00060	G11.2	NA
ds:H00064	G11.3	path:hsa03440
ds:H00064	G11.3	path:hsa04110
ds:H00064	G11.3	path:hsa04218
ds:H00094	G11.3	path:hsa03440
ds:H00848	G11.3	NA
ds:H02014	G11.3	path:hsa03410
ds:H02014	G11.3	path:hsa03420
ds:H02014	G11.3	path:hsa03440
ds:H00266	G11.4	NA
ds:H01351	G11.4	path:hsa00970
ds:H01898	G11.4	path:hsa00564
ds:H02114	G11.4	NA
ds:H02178	G11.4	path:hsa04360
ds:H02178	G11.4	path:hsa04514
ds:H00749	G11.8	path:hsa04010
ds:H00749	G11.8	path:hsa04020
ds:H00749	G11.8	path:hsa04260
ds:H00749	G11.8	path:hsa04721
ds:H00749	G11.8	path:hsa04724
ds:H00749	G11.8	path:hsa04725
ds:H00749	G11.8	path:hsa04727
ds:H00749	G11.8	path:hsa04728
ds:H00749	G11.8	path:hsa04730
ds:H01204	G11.8	NA
ds:H01478	G11.8	path:hsa04141
ds:H01898	G11.8	path:hsa00564
ds:H02101	G11.8	NA
ds:H02140	G11.8	path:hsa00564
ds:H02144	G11.8	NA
ds:H00455	G12.0	path:hsa03013
ds:H00062	G12.1	NA
ds:H00455	G12.1	path:hsa03013
ds:H00524	G12.1	NA
ds:H00656	G12.1	path:hsa04260
ds:H00656	G12.1	path:hsa04530
ds:H00841	G12.1	NA
ds:H00856	G12.1	NA
ds:H01903	G12.1	path:hsa04977
ds:H00058	G12.2	path:hsa05014
ds:H00841	G12.2	NA
ds:H00856	G12.2	NA
ds:H00970	G12.2	NA
ds:H01172	G12.2	NA
ds:H02238	G12.8	NA
ds:H00057	G20	path:hsa05012
ds:H01600	G20	NA
ds:H01600	G21	NA
ds:H01528	G21.0	NA
ds:H01614	G23	path:hsa00130
ds:H00832	G23.0	path:hsa00770
ds:H00833	G23.0	path:hsa00770
ds:H00833	G23.0	path:hsa00860
ds:H02206	G23.0	path:hsa00860
ds:H02206	G23.0	path:hsa04216
ds:H02207	G23.0	NA
ds:H02208	G23.0	path:hsa00770
ds:H02209	G23.0	path:hsa00770
ds:H00077	G23.1	NA
ds:H01177	G23.2	path:hsa00190
ds:H01177	G23.2	path:hsa03013
ds:H01574	G23.8	NA
ds:H01779	G23.8	NA
ds:H00831	G24.1	path:hsa00350
ds:H00831	G24.1	path:hsa00790
ds:H00831	G24.1	path:hsa04260
ds:H00831	G24.1	path:hsa04728
ds:H00831	G24.1	path:hsa04920
ds:H00831	G24.1	path:hsa04976
ds:H01608	G24.3	NA
ds:H01161	G24.8	path:hsa00350
ds:H01161	G24.8	path:hsa00380
ds:H01161	G24.8	path:hsa04726
ds:H01161	G24.8	path:hsa04728
ds:H01432	G25	NA
ds:H01577	G25.0	NA
ds:H00860	G25.5	NA
ds:H00769	G25.8	path:hsa04080
ds:H01287	G25.8	path:hsa03440
ds:H01287	G25.8	path:hsa04360
ds:H01597	G25.8	NA
ds:H01920	G25.9	NA
ds:H00056	G30	path:hsa05010
ds:H00078	G31.0	path:hsa04010
ds:H00078	G31.0	path:hsa04141
ds:H00078	G31.0	path:hsa04144
ds:H00078	G31.0	path:hsa04310
ds:H00078	G31.0	path:hsa04330
ds:H00078	G31.0	path:hsa04722
ds:H01184	G31.0	NA
ds:H00066	G31.8	NA
ds:H00290	G31.8	path:hsa03030
ds:H00290	G31.8	path:hsa04623
ds:H01295	G31.8	path:hsa04144
ds:H01305	G31.8	NA
ds:H01354	G31.8	path:hsa00190
ds:H01354	G31.8	path:hsa00620
ds:H01363	G31.8	path:hsa00190
ds:H01389	G31.8	NA
ds:H01900	G31.8	path:hsa04217
ds:H01900	G31.8	path:hsa04621
ds:H01900	G31.8	path:hsa04668
ds:H02252	G31.8	NA
