ds	drug
ds:H01565	dr:D01255
ds:H01566	dr:D01255
ds:H01634	dr:D00540
ds:H01714	dr:D00540
ds:H01633	dr:D00605
ds:H01739	dr:D06459
ds:H01213	dr:D06973
ds:H01634	dr:D06973
ds:H01633	dr:D00634
ds:H01632	dr:D00634
ds:H00294	dr:D00634
ds:H00731	dr:D00634
ds:H00612	dr:D00378
ds:H01466	dr:D00377
ds:H00286	dr:D00377
ds:H01639	dr:D00289
ds:H01006	dr:D00289
ds:H01633	dr:D00644
ds:H01633	dr:D07006
ds:H01671	dr:D07006
ds:H01360	dr:D07073
ds:H01621	dr:D07077
ds:H00005	dr:D07085
ds:H00011	dr:D07085
ds:H01613	dr:D07085
ds:H01464	dr:D07085
ds:H01609	dr:D04961
ds:H01566	dr:D06958
ds:H01267	dr:D00294
ds:H00334	dr:D00344
ds:H01213	dr:D00344
ds:H01652	dr:D00351
ds:H01334	dr:D00351
ds:H01316	dr:D00351
ds:H00363	dr:D00351
ds:H01132	dr:D09190
ds:H00084	dr:D09190
ds:H00083	dr:D09190
ds:H01657	dr:D06960
ds:H00408	dr:D06960
ds:H00409	dr:D06960
ds:H01490	dr:D06886
ds:H00286	dr:D06886
ds:H01643	dr:D07020
ds:H00079	dr:D07030
ds:H01645	dr:D00166
ds:H01085	dr:D00166
ds:H01649	dr:D01939
ds:H01653	dr:D01939
ds:H00409	dr:D11066
ds:H01629	dr:D00501
ds:H01646	dr:D00819
ds:H00017	dr:D04197
ds:H00018	dr:D04197
ds:H00019	dr:D04197
ds:H00020	dr:D04197
ds:H00082	dr:D00401
ds:H01645	dr:D00401
ds:H01633	dr:D00405
ds:H00079	dr:D00411
ds:H00255	dr:D00957
ds:H00409	dr:D06404
ds:H01463	dr:D03682
ds:H00612	dr:D01452
ds:H01633	dr:D00658
ds:H01502	dr:D00661
ds:H01360	dr:D00664
ds:H00079	dr:D00689
ds:H01360	dr:D00689
ds:H01358	dr:D00689
ds:H01357	dr:D00689
ds:H01656	dr:D00689
ds:H01663	dr:D00689
ds:H01654	dr:D00689
ds:H01595	dr:D00689
ds:H00342	dr:D00877
ds:H01609	dr:D06968
ds:H00081	dr:D06482
ds:H00032	dr:D06482
ds:H00315	dr:D01251
ds:H00354	dr:D01251
ds:H01515	dr:D01251
ds:H00328	dr:D01251
ds:H01325	dr:D01251
ds:H01593	dr:D00185
ds:H01400	dr:D00352
ds:H01600	dr:D01118
ds:H01358	dr:D01122
ds:H00366	dr:D01122
ds:H01445	dr:D01122
ds:H01621	dr:D01337
ds:H01593	dr:D01338
ds:H01143	dr:D00937
ds:H01593	dr:D00937
ds:H00612	dr:D00208
ds:H00018	dr:D00208
ds:H00019	dr:D00208
ds:H00005	dr:D00208
ds:H00004	dr:D00208
ds:H00020	dr:D00208
ds:H00013	dr:D00208
ds:H00014	dr:D00208
ds:H00048	dr:D00208
ds:H00030	dr:D00208
ds:H00026	dr:D00208
ds:H00031	dr:D00208
ds:H00022	dr:D00208
ds:H00111	dr:D00210
ds:H00112	dr:D00210
ds:H00110	dr:D00210
ds:H00328	dr:D00210
ds:H00312	dr:D00210
ds:H01366	dr:D00210
ds:H01638	dr:D00252
ds:H01653	dr:D00252
ds:H01649	dr:D00252
ds:H01634	dr:D00455
ds:H01602	dr:D00455
ds:H01522	dr:D00455
ds:H01102	dr:D00455
ds:H00320	dr:D00455
ds:H01649	dr:D00458
ds:H01653	dr:D00458
ds:H01633	dr:D06924
ds:H01609	dr:D06924
ds:H01671	dr:D06924
ds:H00024	dr:D06248
ds:H00409	dr:D00219
ds:H01714	dr:D00221
ds:H00892	dr:D00221
ds:H00342	dr:D00221
ds:H00218	dr:D00221
ds:H00079	dr:D00221
ds:H01631	dr:D00417
ds:H01633	dr:D00421
ds:H00079	dr:D00685
ds:H01714	dr:D00685
ds:H00315	dr:D01668
ds:H01656	dr:D00233
ds:H01633	dr:D00235
ds:H01632	dr:D00235
ds:H01730	dr:D00235
ds:H00630	dr:D00237
ds:H01176	dr:D00240
ds:H01213	dr:D00240
ds:H00079	dr:D00246
ds:H00286	dr:D00246
ds:H01360	dr:D00246
ds:H01466	dr:D00246
ds:H00010	dr:D00369
ds:H00027	dr:D00369
ds:H00079	dr:D00371
ds:H01714	dr:D00371
ds:H01603	dr:D00443
ds:H01657	dr:D00443
ds:H01633	dr:D00443
ds:H01563	dr:D00445
ds:H01643	dr:D08835
ds:H01316	dr:D08835
ds:H01445	dr:D08835
ds:H01593	dr:D00939
ds:H01709	dr:D00939
ds:H00437	dr:D00939
ds:H01634	dr:D00446
ds:H00342	dr:D00144
ds:H00004	dr:D00341
ds:H00027	dr:D00341
ds:H00038	dr:D00341
ds:H00040	dr:D00341
ds:H00229	dr:D00341
ds:H01612	dr:D00341
ds:H00012	dr:D00341
ds:H01632	dr:D01810
ds:H01631	dr:D01810
ds:H01210	dr:D01108
ds:H01213	dr:D01108
ds:H00241	dr:D01203
ds:H00243	dr:D01203
ds:H00428	dr:D01203
ds:H00429	dr:D01203
ds:H01495	dr:D01203
ds:H00024	dr:D00554
ds:H00031	dr:D00554
ds:H00409	dr:D09756
ds:H01358	dr:D01619
ds:H01652	dr:D01619
ds:H01656	dr:D01619
ds:H01663	dr:D01619
ds:H00409	dr:D01111
ds:H01593	dr:D00100
ds:H01621	dr:D01551
ds:H01629	dr:D01551
ds:H01619	dr:D01551
ds:H01515	dr:D02461
ds:H01517	dr:D02461
ds:H01440	dr:D02461
ds:H00354	dr:D02461
ds:H01318	dr:D02461
ds:H01531	dr:D02461
ds:H01530	dr:D02461
ds:H00343	dr:D02461
ds:H00328	dr:D02461
ds:H01314	dr:D02461
ds:H01315	dr:D02461
ds:H00334	dr:D02461
ds:H01603	dr:D01180
ds:H01431	dr:D01180
ds:H01632	dr:D01182
ds:H01609	dr:D01372
ds:H01633	dr:D01895
ds:H01634	dr:D10247
ds:H01615	dr:D10247
ds:H01729	dr:D01554
ds:H01657	dr:D01392
ds:H01500	dr:D01392
ds:H00630	dr:D01392
ds:H00334	dr:D00921
ds:H01213	dr:D00921
ds:H01629	dr:D01896
ds:H00354	dr:D02157
ds:H01318	dr:D02157
ds:H01531	dr:D02157
ds:H01530	dr:D02157
ds:H01515	dr:D02157
ds:H01639	dr:D00989
ds:H01640	dr:D00989
ds:H00937	dr:D00989
ds:H00024	dr:D00989
ds:H00031	dr:D00989
ds:H00062	dr:D00989
ds:H01634	dr:D05261
ds:H01522	dr:D05261
ds:H01467	dr:D00734
ds:H01656	dr:D01098
ds:H01771	dr:D01098
ds:H01673	dr:D01098
ds:H01663	dr:D01098
ds:H01669	dr:D01098
ds:H00398	dr:D00900
ds:H00398	dr:D00902
ds:H01609	dr:D01657
ds:H00082	dr:D00562
ds:H01645	dr:D00562
ds:H01635	dr:D00565
ds:H01637	dr:D00565
ds:H00155	dr:D00565
ds:H01445	dr:D01710
ds:H00341	dr:D01710
ds:H01408	dr:D01710
ds:H01649	dr:D01176
ds:H01730	dr:D00109
ds:H01632	dr:D00109
ds:H00630	dr:D00109
ds:H01674	dr:D00109
ds:H01532	dr:D00109
ds:H01718	dr:D00109
ds:H01316	dr:D01775
ds:H00363	dr:D01775
ds:H01334	dr:D01775
ds:H00020	dr:D01790
ds:H00019	dr:D01790
ds:H00018	dr:D01790
ds:H01445	dr:D06996
ds:H00079	dr:D00175
ds:H00892	dr:D00175
ds:H00342	dr:D00175
ds:H00437	dr:D00314
ds:H01593	dr:D00314
ds:H00024	dr:D00573
ds:H01639	dr:D00573
ds:H00031	dr:D00573
ds:H01634	dr:D01611
ds:H01445	dr:D10602
ds:H00005	dr:D02802
ds:H01490	dr:D02802
ds:H01360	dr:D01703
ds:H00079	dr:D01703
ds:H00334	dr:D01080
ds:H00330	dr:D01080
ds:H01635	dr:D01862
ds:H00155	dr:D01862
ds:H01634	dr:D00177
ds:H00366	dr:D00222
ds:H00365	dr:D00222
ds:H01417	dr:D00222
ds:H01532	dr:D00224
ds:H01634	dr:D00440
ds:H01602	dr:D00440
ds:H01563	dr:D00896
ds:H00005	dr:D02994
ds:H00011	dr:D02994
ds:H00006	dr:D02994
ds:H01613	dr:D02994
ds:H01464	dr:D02994
ds:H00008	dr:D02994
ds:H00630	dr:D02994
ds:H01655	dr:D02994
ds:H01658	dr:D02994
ds:H01657	dr:D02994
ds:H01240	dr:D02994
ds:H01646	dr:D00744
ds:H01293	dr:D00744
ds:H01360	dr:D10603
ds:H01459	dr:D01688
ds:H01594	dr:D00995
ds:H01594	dr:D01001
ds:H01388	dr:D00780
ds:H01483	dr:D00780
ds:H00057	dr:D00780
ds:H01618	dr:D00780
ds:H01607	dr:D00780
ds:H01102	dr:D00780
ds:H01600	dr:D00780
ds:H00083	dr:D01566
ds:H00892	dr:D01569
ds:H00342	dr:D01569
ds:H00125	dr:D02784
ds:H01633	dr:D01877
ds:H01649	dr:D01468
ds:H01635	dr:D00049
ds:H01730	dr:D00049
ds:H01742	dr:D00049
ds:H01637	dr:D00049
ds:H01582	dr:D00049
ds:H01495	dr:D00049
ds:H01620	dr:D00049
ds:H01643	dr:D00049
ds:H01578	dr:D00049
ds:H01424	dr:D00276
ds:H00320	dr:D00276
ds:H01458	dr:D00276
ds:H02029	dr:D00276
ds:H01408	dr:D00276
ds:H01515	dr:D00276
ds:H00319	dr:D00276
ds:H00344	dr:D00278
ds:H01473	dr:D00278
ds:H01813	dr:D00280
ds:H01664	dr:D00280
ds:H01460	dr:D00280
ds:H01633	dr:D10524
ds:H01714	dr:D10533
ds:H01360	dr:D00665
ds:H00056	dr:D00670
ds:H00066	dr:D00670
ds:H01360	dr:D00671
ds:H01358	dr:D00671
ds:H00079	dr:D01713
ds:H01360	dr:D01713
ds:H00363	dr:D00282
ds:H01316	dr:D00282
ds:H01334	dr:D00282
ds:H01633	dr:D00331
ds:H00079	dr:D01708
ds:H01360	dr:D01708
ds:H01646	dr:D00825
ds:H01450	dr:D00825
ds:H01664	dr:D00825
ds:H01670	dr:D00825
ds:H00155	dr:D00892
ds:H01383	dr:D00892
ds:H01635	dr:D00892
ds:H01635	dr:D00893
ds:H00155	dr:D00893
ds:H01469	dr:D06053
ds:H00031	dr:D07866
ds:H00014	dr:D07866
ds:H00024	dr:D07866
ds:H00018	dr:D07866
ds:H00027	dr:D07866
ds:H00017	dr:D07866
ds:H00026	dr:D07866
ds:H00315	dr:D00869
ds:H00039	dr:D00584
ds:H00018	dr:D00584
ds:H00020	dr:D00584
ds:H00031	dr:D00584
ds:H00030	dr:D00584
ds:H00026	dr:D00584
ds:H00040	dr:D00584
ds:H00048	dr:D00584
ds:H00019	dr:D00584
ds:H00027	dr:D00584
ds:H00017	dr:D00584
ds:H00013	dr:D00584
ds:H00014	dr:D00584
ds:H01388	dr:D01348
ds:H01102	dr:D01348
ds:H01607	dr:D01348
ds:H01609	dr:D00555
ds:H01633	dr:D00615
ds:H01632	dr:D00615
ds:H01730	dr:D00633
ds:H01634	dr:D01529
ds:H01645	dr:D00042
ds:H01085	dr:D00042
ds:H01633	dr:D00623
ds:H01633	dr:D00627
ds:H00057	dr:D00785
ds:H01600	dr:D00786
ds:H00057	dr:D00786
ds:H01593	dr:D01598
ds:H01609	dr:D01564
ds:H01633	dr:D00382
ds:H00365	dr:D00391
ds:H01460	dr:D00392
ds:H00155	dr:D00395
ds:H01635	dr:D00395
ds:H01213	dr:D00911
ds:H01175	dr:D00128
ds:H01633	dr:D01469
ds:H01656	dr:D01472
ds:H01663	dr:D01472
ds:H01673	dr:D01472
ds:H01659	dr:D01472
ds:H00409	dr:D01599
ds:H01634	dr:D00673
ds:H01522	dr:D00673
ds:H01602	dr:D00673
ds:H00612	dr:D01196
ds:H01714	dr:D01196
ds:H01495	dr:D01196
ds:H01862	dr:D01518
ds:H00214	dr:D01518
ds:H01593	dr:D01518
ds:H00409	dr:D00336
ds:H01633	dr:D00340
ds:H01633	dr:D00601
ds:H01632	dr:D00601
ds:H01730	dr:D00601
ds:H01519	dr:D05443
ds:H00031	dr:D05446
ds:H00297	dr:D00874
ds:H01644	dr:D00874
ds:H01366	dr:D00874
ds:H01609	dr:D00506
ds:H01662	dr:D00506
ds:H01445	dr:D03093
ds:H01633	dr:D01530
ds:H01635	dr:D01530
ds:H01626	dr:D01530
ds:H00332	dr:D01361
ds:H00319	dr:D01361
ds:H00343	dr:D01361
ds:H00360	dr:D01361
ds:H00354	dr:D01361
ds:H00311	dr:D01361
ds:H00315	dr:D01361
ds:H01515	dr:D01361
ds:H01459	dr:D02716
ds:H01624	dr:D02716
ds:H01636	dr:D02716
ds:H01638	dr:D02716
ds:H00083	dr:D03058
ds:H01593	dr:D03062
ds:H00079	dr:D04923
ds:H01468	dr:D04923
ds:H01652	dr:D01622
ds:H01582	dr:D01622
ds:H01445	dr:D01622
ds:H01629	dr:D01624
ds:H00167	dr:D11077
ds:H01316	dr:D01364
ds:H01334	dr:D01364
ds:H01495	dr:D01592
ds:H01862	dr:D00129
ds:H01656	dr:D00129
ds:H01593	dr:D00129
ds:H01143	dr:D00129
ds:H01669	dr:D00129
ds:H01532	dr:D00132
ds:H00630	dr:D00132
ds:H00334	dr:D00905
ds:H00344	dr:D00905
ds:H01213	dr:D00905
ds:H01551	dr:D01043
ds:H01634	dr:D00715
ds:H00255	dr:D00075
ds:H00409	dr:D01799
ds:H01633	dr:D01069
ds:H00630	dr:D01578
ds:H01532	dr:D01578
ds:H01580	dr:D00018
ds:H01730	dr:D00076
ds:H01359	dr:D00076
ds:H00862	dr:D00136
ds:H01649	dr:D00136
ds:H01653	dr:D00136
ds:H01645	dr:D02707
ds:H01085	dr:D02707
ds:H00021	dr:D00748
ds:H00038	dr:D00748
ds:H00253	dr:D00101
ds:H01380	dr:D00104
ds:H00315	dr:D00104
ds:H00305	dr:D00104
ds:H00348	dr:D00104
ds:H00111	dr:D00104
ds:H00112	dr:D00104
ds:H01408	dr:D00104
ds:H01515	dr:D00104
ds:H00319	dr:D00104
ds:H00312	dr:D00104
ds:H00336	dr:D00104
ds:H00322	dr:D00104
ds:H00324	dr:D00104
ds:H00079	dr:D01324
ds:H01360	dr:D01324
ds:H01633	dr:D00251
ds:H01456	dr:D00251
ds:H00126	dr:D05032
ds:H00136	dr:D05032
ds:H01643	dr:D00098
ds:H01641	dr:D03864
ds:H00409	dr:D09780
ds:H00320	dr:D10775
ds:H01634	dr:D01451
ds:H01213	dr:D01451
ds:H01515	dr:D01686
ds:H01408	dr:D01686
ds:H00431	dr:D01638
ds:H01490	dr:D01638
ds:H00058	dr:D01638
ds:H01616	dr:D01638
ds:H00363	dr:D00322
ds:H00364	dr:D00322
ds:H02027	dr:D00327
ds:H00255	dr:D00327
ds:H00031	dr:D00327
ds:H00079	dr:D01088
ds:H01360	dr:D01088
ds:H01609	dr:D00311
ds:H01633	dr:D00362
ds:H01644	dr:D01367
ds:H00006	dr:D01370
ds:H00005	dr:D01370
ds:H00011	dr:D01370
ds:H01613	dr:D01370
ds:H01464	dr:D01370
ds:H00031	dr:D02214
ds:H00003	dr:D02214
ds:H00001	dr:D02214
ds:H00002	dr:D02214
ds:H00007	dr:D02214
ds:H00011	dr:D02214
ds:H01613	dr:D02214
ds:H01463	dr:D02214
ds:H00005	dr:D02214
ds:H01464	dr:D02214
ds:H01892	dr:D02214
ds:H00008	dr:D02214
ds:H00027	dr:D02214
ds:H00018	dr:D02214
ds:H00048	dr:D02214
ds:H00022	dr:D02214
ds:H00111	dr:D02216
ds:H00315	dr:D02216
ds:H00328	dr:D02216
ds:H00297	dr:D02216
ds:H01176	dr:D02216
ds:H01213	dr:D02216
ds:H01213	dr:D02222
ds:H00333	dr:D02132
ds:H01175	dr:D02132
ds:H01515	dr:D02132
ds:H00347	dr:D02134
ds:H01458	dr:D02134
ds:H01408	dr:D02134
ds:H02029	dr:D02134
ds:H00216	dr:D00973
ds:H01507	dr:D00973
ds:H00630	dr:D00973
ds:H01672	dr:D00973
ds:H01674	dr:D00973
ds:H00080	dr:D00973
ds:H01604	dr:D00973
ds:H01466	dr:D00973
ds:H01648	dr:D00973
ds:H01362	dr:D00973
ds:H01695	dr:D00973
ds:H01694	dr:D00973
ds:H01463	dr:D00973
ds:H01656	dr:D00973
ds:H01652	dr:D00973
ds:H01360	dr:D00973
ds:H00079	dr:D00973
ds:H01717	dr:D00973
ds:H00342	dr:D00973
ds:H01647	dr:D00973
ds:H01011	dr:D00973
ds:H01595	dr:D00973
ds:H01657	dr:D00973
ds:H01132	dr:D00973
ds:H00004	dr:D00973
ds:H00005	dr:D00973
ds:H01436	dr:D00973
ds:H01924	dr:D00973
ds:H00007	dr:D00973
ds:H01357	dr:D00973
ds:H01358	dr:D00973
ds:H01663	dr:D00973
ds:H00960	dr:D00973
ds:H01476	dr:D00973
ds:H01650	dr:D00973
ds:H01644	dr:D00973
ds:H01633	dr:D01605
ds:H00892	dr:D01609
ds:H00342	dr:D01609
ds:H00057	dr:D00538
ds:H00006	dr:D00538
ds:H00332	dr:D02184
ds:H00319	dr:D02184
ds:H00343	dr:D02184
ds:H00360	dr:D02184
ds:H00354	dr:D02184
ds:H00311	dr:D02184
ds:H00315	dr:D02184
ds:H00305	dr:D02184
ds:H01515	dr:D02184
ds:H00337	dr:D02184
ds:H00111	dr:D02185
ds:H00315	dr:D02185
ds:H00305	dr:D02185
ds:H00348	dr:D02185
ds:H01213	dr:D02185
ds:H00112	dr:D02185
ds:H01408	dr:D02185
ds:H01515	dr:D02185
ds:H00319	dr:D02185
ds:H00312	dr:D02185
ds:H00336	dr:D02185
ds:H00322	dr:D02185
ds:H00324	dr:D02185
ds:H01563	dr:D02499
ds:H01630	dr:D02110
ds:H01646	dr:D02570
ds:H01213	dr:D01259
ds:H00024	dr:D01299
ds:H01633	dr:D01302
ds:H00603	dr:D01302
ds:H01615	dr:D01286
ds:H01634	dr:D01286
ds:H01635	dr:D01291
ds:H01643	dr:D01291
ds:H01626	dr:D01291
ds:H01620	dr:D01291
ds:H01662	dr:D01293
ds:H01609	dr:D01230
ds:H01649	dr:D01219
ds:H01635	dr:D01221
ds:H01615	dr:D01221
ds:H00020	dr:D01223
ds:H00031	dr:D01223
ds:H00018	dr:D01223
ds:H01634	dr:D01306
ds:H01354	dr:D00086
ds:H01621	dr:D02721
ds:H00612	dr:D02724
ds:H01603	dr:D01943
ds:H01649	dr:D01226
ds:H01646	dr:D01226
ds:H01634	dr:D01226
ds:H01359	dr:D00095
ds:H00079	dr:D00095
ds:H00319	dr:D00095
ds:H00006	dr:D00155
ds:H00009	dr:D00155
ds:H01633	dr:D00629
ds:H01632	dr:D00629
ds:H01632	dr:D00630
ds:H00219	dr:D01136
ds:H01213	dr:D01144
ds:H00110	dr:D01144
ds:H00057	dr:D02004
ds:H01293	dr:D03215
ds:H01634	dr:D03503
ds:H01602	dr:D03503
ds:H01522	dr:D03503
ds:H00334	dr:D02346
ds:H01515	dr:D02346
ds:H00376	dr:D02300
ds:H00455	dr:D02300
ds:H01495	dr:D02300
ds:H01360	dr:D01172
ds:H00409	dr:D00271
ds:H01633	dr:D00272
ds:H01657	dr:D00272
ds:H00183	dr:D07523
ds:H00083	dr:D00752
ds:H01500	dr:D00752
ds:H00029	dr:D02500
ds:H01418	dr:D02500
ds:H01602	dr:D02593
ds:H01522	dr:D02593
ds:H00334	dr:D01063
ds:H01644	dr:D01063
ds:H01634	dr:D00719
ds:H01615	dr:D00719
ds:H01466	dr:D00727
ds:H01649	dr:D01051
ds:H00406	dr:D02861
ds:H01563	dr:D02861
ds:H01563	dr:D02867
ds:H01358	dr:D01273
ds:H01563	dr:D01276
ds:H01656	dr:D09214
ds:H01507	dr:D09214
ds:H00286	dr:D09214
ds:H01649	dr:D00794
ds:H01653	dr:D00801
ds:H01634	dr:D01827
ds:H00079	dr:D01828
ds:H01360	dr:D01828
ds:H00612	dr:D02374
ds:H01634	dr:D00355
ds:H00320	dr:D00355
ds:H01602	dr:D00355
ds:H01522	dr:D00355
ds:H01635	dr:D01966
ds:H00155	dr:D01966
ds:H01383	dr:D01966
ds:H00152	dr:D01966
ds:H01649	dr:D02037
ds:H01495	dr:D02037
ds:H01621	dr:D02008
ds:H00027	dr:D01155
ds:H00031	dr:D01155
ds:H00014	dr:D01155
ds:H00019	dr:D01155
ds:H00022	dr:D01155
ds:H00007	dr:D01155
ds:H00011	dr:D01155
ds:H01613	dr:D01155
ds:H01463	dr:D01155
ds:H00005	dr:D01155
ds:H01464	dr:D01155
ds:H01892	dr:D01155
ds:H00008	dr:D01155
ds:H00001	dr:D01155
ds:H00002	dr:D01155
ds:H01519	dr:D00024
ds:H01316	dr:D00024
ds:H01656	dr:D00024
ds:H01445	dr:D00024
ds:H01652	dr:D00024
ds:H01631	dr:D01697
ds:H00612	dr:D00356
ds:H01054	dr:D00360
ds:H01656	dr:D01820
ds:H01663	dr:D01820
ds:H01654	dr:D01820
ds:H01660	dr:D01820
ds:H01595	dr:D01820
ds:H01656	dr:D01125
ds:H00368	dr:D00273
ds:H00412	dr:D04431
ds:H01645	dr:D02259
ds:H00032	dr:D02259
ds:H00361	dr:D02261
ds:H01629	dr:D03352
ds:H01625	dr:D03352
ds:H01626	dr:D03352
ds:H01704	dr:D03352
ds:H00342	dr:D03368
ds:H01360	dr:D02245
ds:H01649	dr:D02248
ds:H01653	dr:D02248
ds:H01646	dr:D02248
ds:H01633	dr:D03330
ds:H01495	dr:D03330
ds:H01625	dr:D03330
ds:H01635	dr:D01754
ds:H01625	dr:D01754
ds:H01626	dr:D01754
ds:H01620	dr:D01754
ds:H01895	dr:D01296
ds:H01293	dr:D01296
ds:H01632	dr:D00516
ds:H01730	dr:D00516
ds:H01631	dr:D00516
ds:H01445	dr:D00592
ds:H01362	dr:D00592
ds:H00344	dr:D00592
ds:H01648	dr:D00592
ds:H01650	dr:D00592
ds:H00409	dr:D00594
ds:H01633	dr:D00597
ds:H01632	dr:D00597
ds:H01729	dr:D00597
ds:H00731	dr:D00597
ds:H00612	dr:D01228
ds:H01594	dr:D01228
ds:H00225	dr:D01028
ds:H01132	dr:D01028
ds:H01629	dr:D01028
ds:H00409	dr:D04121
ds:H01045	dr:D00804
ds:H01100	dr:D00804
ds:H01043	dr:D00804
ds:H01519	dr:D00804
ds:H01532	dr:D01056
ds:H01565	dr:D01284
ds:H01566	dr:D01284
ds:H01400	dr:D02039
ds:H01631	dr:D02042
ds:H00630	dr:D01998
ds:H00342	dr:D02002
ds:H00129	dr:D04499
ds:H01635	dr:D01892
ds:H01637	dr:D01892
ds:H01626	dr:D01892
ds:H00630	dr:D04446
ds:H01360	dr:D04446
ds:H00017	dr:D03327
ds:H01901	dr:D03327
ds:H00013	dr:D03327
ds:H00014	dr:D03327
ds:H00018	dr:D03327
ds:H00030	dr:D03327
ds:H01357	dr:D00029
ds:H01652	dr:D00029
ds:H01445	dr:D00029
ds:H00315	dr:D00263
ds:H01408	dr:D00263
ds:H01515	dr:D00263
ds:H00005	dr:D00266
ds:H01613	dr:D00266
ds:H00007	dr:D00266
ds:H01634	dr:D00318
ds:H01602	dr:D00318
ds:H01522	dr:D00318
ds:H00024	dr:D01413
ds:H00627	dr:D01413
ds:H01631	dr:D03328
ds:H01895	dr:D03721
ds:H00001	dr:D02698
ds:H00002	dr:D02698
ds:H00361	dr:D02125
ds:H00360	dr:D02125
ds:H00003	dr:D01418
ds:H00612	dr:D00599
ds:H01633	dr:D00599
ds:H01632	dr:D00599
ds:H00549	dr:D00599
ds:H01633	dr:D00600
ds:H00079	dr:D02027
ds:H01360	dr:D02027
ds:H01358	dr:D02027
ds:H01490	dr:D04187
ds:H00001	dr:D02997
ds:H00002	dr:D02997
ds:H00003	dr:D02997
ds:H00007	dr:D02997
ds:H00011	dr:D02997
ds:H01613	dr:D02997
ds:H01463	dr:D02997
ds:H00005	dr:D02997
ds:H01464	dr:D02997
ds:H01892	dr:D02997
ds:H00008	dr:D02997
ds:H01633	dr:D01887
ds:H00612	dr:D01887
ds:H00057	dr:D02135
ds:H01600	dr:D02135
ds:H01316	dr:D01550
ds:H01634	dr:D02452
ds:H01589	dr:D02030
ds:H01646	dr:D02034
ds:H01600	dr:D02071
ds:H01609	dr:D01408
ds:H00003	dr:D01633
ds:H00001	dr:D01633
ds:H00002	dr:D01633
ds:H00018	dr:D01244
ds:H00020	dr:D01244
ds:H00031	dr:D01244
ds:H00022	dr:D01244
ds:H01316	dr:D01480
ds:H00363	dr:D01480
ds:H01334	dr:D01480
ds:H01649	dr:D01482
ds:H01563	dr:D01982
ds:H00412	dr:D01982
ds:H00034	dr:D02250
ds:H01483	dr:D02250
ds:H01618	dr:D02250
ds:H01475	dr:D05014
ds:H00085	dr:D06458
ds:H00394	dr:D06458
ds:H00411	dr:D06458
ds:H00376	dr:D06458
ds:H01400	dr:D02397
ds:H01649	dr:D04965
ds:H01495	dr:D04965
ds:H00079	dr:D04307
ds:H00004	dr:D08956
ds:H00004	dr:D01441
ds:H00001	dr:D01441
ds:H01599	dr:D01441
ds:H01590	dr:D01441
ds:H01591	dr:D01441
ds:H01892	dr:D04245
ds:H00455	dr:D10791
ds:H00014	dr:D01935
ds:H00031	dr:D01935
ds:H00083	dr:D03222
ds:H01652	dr:D03281
ds:H01358	dr:D03281
ds:H01445	dr:D03281
ds:H01565	dr:D03286
ds:H01566	dr:D03286
ds:H01328	dr:D02555
ds:H00363	dr:D02555
ds:H01642	dr:D03651
ds:H01481	dr:D03651
ds:H01632	dr:D02631
ds:H01581	dr:D02631
ds:H01644	dr:D04106
ds:H01502	dr:D04424
ds:H00116	dr:D03345
ds:H01634	dr:D04363
ds:H00027	dr:D02841
ds:H01633	dr:D04997
ds:H01563	dr:D04112
ds:H01643	dr:D04372
ds:H01634	dr:D04372
ds:H01625	dr:D04372
ds:H01600	dr:D03290
ds:H01360	dr:D03290
ds:H01602	dr:D05008
ds:H00021	dr:D06068
ds:H00342	dr:D01495
ds:H00892	dr:D01495
ds:H01360	dr:D01717
ds:H01316	dr:D01720
ds:H00363	dr:D01720
ds:H01334	dr:D01720
ds:H01565	dr:D03292
ds:H01566	dr:D03292
ds:H01360	dr:D03693
ds:H01358	dr:D03696
ds:H01097	dr:D02274
ds:H01490	dr:D02274
ds:H01528	dr:D02274
ds:H00431	dr:D02274
ds:H01616	dr:D02274
ds:H00058	dr:D02274
ds:H01578	dr:D02274
ds:H01644	dr:D04099
ds:H01366	dr:D04099
ds:H01652	dr:D01266
ds:H01656	dr:D01266
ds:H01663	dr:D01266
ds:H01660	dr:D01266
ds:H01595	dr:D01266
ds:H01662	dr:D01268
ds:H01450	dr:D01268
ds:H01649	dr:D01485
ds:H01609	dr:D02689
ds:H01615	dr:D02829
ds:H01633	dr:D01908
ds:H00056	dr:D02173
ds:H01589	dr:D02176
ds:H01563	dr:D02691
ds:H00254	dr:D02691
ds:H00478	dr:D02691
ds:H01749	dr:D02691
ds:H00505	dr:D02691
ds:H01738	dr:D02691
ds:H00413	dr:D02747
ds:H00412	dr:D02747
ds:H01635	dr:D02258
ds:H00155	dr:D02258
ds:H01383	dr:D02258
ds:H00079	dr:D01845
ds:H00892	dr:D01845
ds:H00342	dr:D01845
ds:H01714	dr:D01845
ds:H01458	dr:D01845
ds:H01713	dr:D01845
ds:H00255	dr:D00958
ds:H00031	dr:D00958
ds:H01132	dr:D00958
ds:H01605	dr:D00958
ds:H01642	dr:D00958
ds:H02027	dr:D00958
ds:H00024	dr:D00961
ds:H00024	dr:D00965
ds:H01633	dr:D09219
ds:H01646	dr:D03731
ds:H01380	dr:D07353
ds:H00361	dr:D02484
ds:H01615	dr:D04059
ds:H00235	dr:D02312
ds:H01566	dr:D02094
ds:H01565	dr:D02094
ds:H01633	dr:D04266
ds:H01633	dr:D01900
ds:H01682	dr:D01855
