ds	drug	atc	icd
ds:H00027	dr:D02214	L01DB03	C56
ds:H00027	dr:D01155	L01BC05	C56
ds:H00027	dr:D02841	L01XX03	C56
ds:H00027	dr:D00343	L01AA06	C56
ds:H00027	dr:D00275	L01XA01	C56
ds:H00027	dr:D06409	L01XC07	C56
ds:H00027	dr:D09730	L01XX46	C56
ds:H00027	dr:D00287	L01AA01	C56
ds:H00027	dr:D01911	L01DB04	C56
ds:H00027	dr:D01275	L01DB01	C56
ds:H00027	dr:D02165	L01CD02	C56
ds:H00027	dr:D01061	L01XX19	C56
ds:H00027	dr:D00491	L01CD01	C56
ds:H00027	dr:D01068	L01CA01	C56
ds:H00027	dr:D03229	L01DC01	C56
ds:H00027	dr:D08386	L01DB08	C56
ds:H00027	dr:D01363	L01XA02	C56
ds:H00027	dr:D10982	L01XX55	C56
ds:H00027	dr:D00125	L01CB01	C56
ds:H00027	dr:D10140	L01XX54	C56
ds:H00028	dr:D00214	L01DA01	C58
ds:H00028	dr:D00287	L01AA01	C58
ds:H00028	dr:D02115	L04AX03	C58
ds:H00028	dr:D01068	L01CA01	C58
ds:H00028	dr:D00142	L04AX03	C58
ds:H00028	dr:D00125	L01CB01	C58
ds:H00028	dr:D02177	L01DC01	C58
ds:H00029	dr:D02500	D06BB10	C51
ds:H00029	dr:D10192	J07BM01	C51
ds:H00030	dr:D01309	NA	C53
ds:H00030	dr:D02131	L01BC53	C53
ds:H00030	dr:D02168	L01XX17	C53
ds:H00030	dr:D01416	NA	C53
ds:H00030	dr:D10574	L01XC18	C53
ds:H00030	dr:D00208	L01DC03	C53
ds:H00030	dr:D00584	L01BC02	C53
ds:H00030	dr:D03327	L01XD01	C53
ds:H00030	dr:D10212	J07BM02	C53
ds:H00030	dr:D10192	J07BM01	C53
ds:H00030	dr:D00343	L01AA06	C53
ds:H00030	dr:D00275	L01XA01	C53
ds:H00030	dr:D06409	L01XC07	C53
ds:H00030	dr:D00287	L01AA01	C53
ds:H00030	dr:D00168	L01BC01	C53
ds:H00030	dr:D01061	L01XX19	C53
ds:H00030	dr:D00491	L01CD01	C53
ds:H00030	dr:D03229	L01DC01	C53
ds:H00030	dr:D01363	L01XA02	C53
ds:H00030	dr:D00125	L01CB01	C53
ds:H00031	dr:D01161	L02BA03	C50
ds:H00031	dr:D01602	NA	C50
ds:H00031	dr:D00583	L01AC01	C50
ds:H00031	dr:D01309	NA	C50
ds:H00031	dr:D00960	L02BG03	C50
ds:H00031	dr:D00967	L02BA02	C50
ds:H00031	dr:D10898	L01XE45	C50
ds:H00031	dr:D02131	L01BC53	C50
ds:H00031	dr:D02166	L01DB07	C50
ds:H00031	dr:D03257	L01XC03	C50
ds:H00031	dr:D01239	S03BA02	C50
ds:H00031	dr:D00408	G03EK01	C50
ds:H00031	dr:D04071	NA	C50
ds:H00031	dr:D00964	L02BG04	C50
ds:H00031	dr:D00208	L01DC03	C50
ds:H00031	dr:D00554	L02AA03	C50
ds:H00031	dr:D00989	L02AE02	C50
ds:H00031	dr:D00573	L02AE03	C50
ds:H00031	dr:D07866	L01CD02	C50
ds:H00031	dr:D00584	L01BC02	C50
ds:H00031	dr:D05446	L01XC13	C50
ds:H00031	dr:D00327	G03BA01	C50
ds:H00031	dr:D02214	L01DB03	C50
ds:H00031	dr:D01223	L01BC06	C50
ds:H00031	dr:D01155	L01BC05	C50
ds:H00031	dr:D01244	L01BC03	C50
ds:H00031	dr:D01935	L01CA04	C50
ds:H00031	dr:D00958	G03BA03	C50
ds:H00031	dr:D04024	L01XE07	C50
ds:H00031	dr:D00966	L02BA01	C50
ds:H00031	dr:D10372	L01XE33	C50
ds:H00031	dr:D10688	L01XE50	C50
ds:H00031	dr:D10733	L01XX60	C50
ds:H00031	dr:D09980	L01XC14	C50
ds:H00031	dr:D08914	L01XX41	C50
ds:H00031	dr:D00963	L02BG06	C50
ds:H00031	dr:D06409	L01XC07	C50
ds:H00031	dr:D04645	L01DC04	C50
ds:H00031	dr:D09730	L01XX46	C50
ds:H00031	dr:D00287	L01AA01	C50
ds:H00031	dr:D00951	L02AB02	C50
ds:H00031	dr:D02115	L04AX03	C50
ds:H00031	dr:D00244	S03BA03	C50
ds:H00031	dr:D00978	S02BA01	C50
ds:H00031	dr:D00292	S03BA01	C50
ds:H00031	dr:D00168	L01BC01	C50
ds:H00031	dr:D01911	L01DB04	C50
ds:H00031	dr:D01275	L01DB01	C50
ds:H00031	dr:D02165	L01CD02	C50
ds:H00031	dr:D01061	L01XX19	C50
ds:H00031	dr:D00975	S03BA01	C50
ds:H00031	dr:D10979	L01XE42	C50
ds:H00031	dr:D00491	L01CD01	C50
ds:H00031	dr:D01068	L01CA01	C50
ds:H00031	dr:D08386	L01DB08	C50
ds:H00031	dr:D00983	S01BA05	C50
ds:H00031	dr:D00088	S02BA01	C50
ds:H00031	dr:D01363	L01XA02	C50
ds:H00031	dr:D00142	L04AX03	C50
ds:H00031	dr:D00472	S03BA02	C50
ds:H00031	dr:D00407	H02AB04	C50
ds:H00031	dr:D02714	L04AA18	C50
ds:H00031	dr:D06399	L01BC53	C50
ds:H00031	dr:D11068	NA	C50
ds:H00032	dr:D06482	NA	C73
ds:H00032	dr:D02259	V10XA01	C73
ds:H00032	dr:D06272	L01XE05	C73
ds:H00032	dr:D09920	L01XE29	C73
ds:H00032	dr:D01275	L01DB01	C73
ds:H00032	dr:D03229	L01DC01	C73
ds:H00032	dr:D08756	NA	C73
ds:H00033	dr:D00420	L01XX23	C74
ds:H00034	dr:D06495	H01CB02	C17
ds:H00034	dr:D02250	H01CB02	C17
ds:H00035	dr:D00214	L01DA01	C41
ds:H00035	dr:D00248	L01AB01	C41
ds:H00035	dr:D00343	L01AA06	C41
ds:H00035	dr:D01275	L01DB01	C41
ds:H00035	dr:D01363	L01XA02	C41
ds:H00035	dr:D00125	L01CB01	C41
ds:H00036	dr:D04715	V03AF04	C41
ds:H00036	dr:D01211	V03AF03	C41
ds:H00036	dr:D00343	L01AA06	C41
ds:H00036	dr:D00275	L01XA01	C41
ds:H00036	dr:D01275	L01DB01	C41
ds:H00036	dr:D00142	L04AX03	C41
ds:H00036	dr:D11394	V03AF10	C41
ds:H00037	dr:D00214	L01DA01	C49
ds:H00037	dr:D02197	L01CA02	C49
ds:H00037	dr:D00343	L01AA06	C49
ds:H00037	dr:D00275	L01XA01	C49
ds:H00037	dr:D01275	L01DB01	C49
ds:H00037	dr:D00125	L01CB01	C49
ds:H00038	dr:D10574	L01XC18	C43
ds:H00038	dr:D11053	L01XE46	C43
ds:H00038	dr:D02748	L03AB10	C43
ds:H00038	dr:D00288	L01AX04	C43
ds:H00038	dr:D00341	L01XX05	C43
ds:H00038	dr:D00748	L03AC01	C43
ds:H00038	dr:D09996	L01XE15	C43
ds:H00038	dr:D04603	L01XC11	C43
ds:H00038	dr:D09966	L01XX51	C43
ds:H00038	dr:D10615	L01XE38	C43
ds:H00038	dr:D10104	L01XE23	C43
ds:H00038	dr:D10604	L01XE41	C43
ds:H00038	dr:D03304	L03AB02	C43
ds:H00038	dr:D00287	L01AA01	C43
ds:H00038	dr:D10316	L01XC17	C43
ds:H00038	dr:D02745	L03AB05	C43
ds:H00038	dr:D10176	L01XE25	C43
ds:H00039	dr:D00584	L01BC02	C44
ds:H00039	dr:D09992	L01XX43	C44
ds:H00039	dr:D10729	L01XX48	C44
ds:H00040	dr:D10574	L01XC18	C44
ds:H00040	dr:D03455	L01XC06	C44
ds:H00040	dr:D00341	L01XX05	C44
ds:H00040	dr:D00584	L01BC02	C44
ds:H00040	dr:D10316	L01XC17	C44
ds:H00040	dr:D01061	L01XX19	C44
ds:H00040	dr:D02177	L01DC01	C44
ds:H00040	dr:D11108	NA	C44
ds:H00041	dr:D02815	L01XX22	C46
ds:H00041	dr:D01275	L01DB01	C46
ds:H00041	dr:D00491	L01CD01	C46
ds:H00041	dr:D01068	L01CA01	C46
ds:H00041	dr:D02745	L03AB05	C46
ds:H00042	dr:D02908	L01XD04	C71
ds:H00042	dr:D06067	L01AX03	C71
ds:H00042	dr:D02197	L01CA02	C71
ds:H00042	dr:D06409	L01XC07	C71
ds:H00042	dr:D00478	L01XB01	C71
ds:H00042	dr:D03229	L01DC01	C71
ds:H00042	dr:D00254	L01AD01	C71
ds:H00043	dr:D00248	L01AB01	C76
ds:H00043	dr:D10559	L01XC16	C76
ds:H00043	dr:D02197	L01CA02	C76
ds:H00043	dr:D00343	L01AA06	C76
ds:H00043	dr:D00275	L01XA01	C76
ds:H00043	dr:D00287	L01AA01	C76
ds:H00043	dr:D01275	L01DB01	C76
ds:H00043	dr:D01363	L01XA02	C76
ds:H00043	dr:D00125	L01CB01	C76
ds:H00044	dr:D10192	J07BM01	C21
ds:H00045	dr:D05932	L01AD04	C25.4
ds:H00045	dr:D04666	H01CB03	C25.4
ds:H00045	dr:D06402	L01XE04	C25.4
ds:H00045	dr:D11033	V10XX04	C25.4
ds:H00045	dr:D02714	L04AA18	C25.4
ds:H00046	dr:D02131	L01BC53	C22
ds:H00046	dr:D01275	L01DB01	C22
ds:H00047	dr:D01275	L01DB01	C23
ds:H00048	dr:D01059	L01AD06	C22
ds:H00048	dr:D02166	L01DB07	C22
ds:H00048	dr:D06294	NA	C22
ds:H00048	dr:D00208	L01DC03	C22
ds:H00048	dr:D00584	L01BC02	C22
ds:H00048	dr:D02214	L01DB03	C22
ds:H00048	dr:D06272	L01XE05	C22
ds:H00048	dr:D09920	L01XE29	C22
ds:H00048	dr:D00343	L01AA06	C22
ds:H00048	dr:D00275	L01XA01	C22
ds:H00048	dr:D00287	L01AA01	C22
ds:H00048	dr:D10316	L01XC17	C22
ds:H00048	dr:D00168	L01BC01	C22
ds:H00048	dr:D01275	L01DB01	C22
ds:H00048	dr:D10137	L01XE21	C22
ds:H00048	dr:D00125	L01CB01	C22
ds:H00054	dr:D02063	NA	C11
ds:H00055	dr:D03229	L01DC01	C32
ds:H00055	dr:D08756	NA	C32
ds:H00056	dr:D03822	N06DA03	G30
ds:H00056	dr:D00670	N06DA02	G30
ds:H00056	dr:D02173	N06DA04	G30
ds:H00056	dr:D04905	N06DX01	G30
ds:H00056	dr:D11387	NA	G30
ds:H00057	dr:D01505	NA	G20
ds:H00057	dr:D00558	NA	G20
ds:H00057	dr:D02562	N04BD02	G20
ds:H00057	dr:D00059	N04BA01	G20
ds:H00057	dr:D00253	N04BA02	G20
ds:H00057	dr:D04641	NA	G20
ds:H00057	dr:D00777	N04BB01	G20
ds:H00057	dr:D00987	N04BC06	G20
ds:H00057	dr:D00780	N04BC01	G20
ds:H00057	dr:D00785	N04BD01	G20
ds:H00057	dr:D00786	N04BX01	G20
ds:H00057	dr:D00538	N03AX15	G20
ds:H00057	dr:D02004	N04BC07	G20
ds:H00057	dr:D02135	N04BA02	G20
ds:H00057	dr:D05768	N04BC09	G20
ds:H00057	dr:D08969	N05AX17	G20
ds:H00057	dr:D00502	N04BC02	G20
ds:H00057	dr:D10293	N04BA03	G20
ds:H00057	dr:D10191	N04BD03	G20
ds:H00057	dr:D00559	N04BC05	G20
ds:H00057	dr:D01277	C01CA27	G20
ds:H00057	dr:D00781	N04BX02	G20
ds:H00057	dr:D00784	N04BC04	G20
ds:H00058	dr:D01552	N07XX14	G12.2
ds:H00058	dr:D01671	M03BX09	G12.2
ds:H00058	dr:D00776	M03BX02	G12.2
ds:H00058	dr:D01638	NA	G12.2
ds:H00058	dr:D02274	M03CA01	G12.2
ds:H00058	dr:D00241	M03BX01	G12.2
ds:H00058	dr:D00775	N07XX02	G12.2
ds:H00059	dr:D08575	N07XX06	G10
ds:H00062	dr:D00989	L02AE02	G12.1
ds:H00066	dr:D00670	N06DA02	G31.8
ds:H00079	dr:D01036	R05DA07	J45
ds:H00079	dr:D01123	R03DX06	J45
ds:H00079	dr:D00687	R03AC12	J45
ds:H00079	dr:D00659	S01GX07	J45
ds:H00079	dr:D00526	S01GX01	J45
ds:H00079	dr:D00414	NA	J45
ds:H00079	dr:D01332	S01GX08	J45
ds:H00079	dr:D01683	NA	J45
ds:H00079	dr:D01771	R03DA03	J45
ds:H00079	dr:D04342	R03DA51	J45
ds:H00079	dr:D00324	R03BA03	J45
ds:H00079	dr:D01373	R03AC13	J45
ds:H00079	dr:D01239	S03BA02	J45
ds:H00079	dr:D01574	NA	J45
ds:H00079	dr:D01423	NA	J45
ds:H00079	dr:D00688	R03CC03	J45
ds:H00079	dr:D04299	R03DA51	J45
ds:H00079	dr:D07054	NA	J45
ds:H00079	dr:D06315	R03BA09	J45
ds:H00079	dr:D07042	NA	J45
ds:H00079	dr:D07044	NA	J45
ds:H00079	dr:D01390	R03CB01	J45
ds:H00079	dr:D07030	NA	J45
ds:H00079	dr:D00411	R03DC01	J45
ds:H00079	dr:D00689	R03BA01	J45
ds:H00079	dr:D00221	V03AB23	J45
ds:H00079	dr:D00685	R03CB03	J45
ds:H00079	dr:D00246	R03BA02	J45
ds:H00079	dr:D00371	R03DA04	J45
ds:H00079	dr:D00175	R05CB03	J45
ds:H00079	dr:D01703	R03BA08	J45
ds:H00079	dr:D01713	S01GX10	J45
ds:H00079	dr:D01708	R03BA05	J45
ds:H00079	dr:D04923	R03DX09	J45
ds:H00079	dr:D01324	R06AD07	J45
ds:H00079	dr:D01088	NA	J45
ds:H00079	dr:D00973	S01BA03	J45
ds:H00079	dr:D00095	S01EA01	J45
ds:H00079	dr:D01828	R03DX01	J45
ds:H00079	dr:D02027	NA	J45
ds:H00079	dr:D04307	R03DB03	J45
ds:H00079	dr:D01845	NA	J45
ds:H00079	dr:D04296	R03DA51	J45
ds:H00079	dr:D06961	NA	J45
ds:H00079	dr:D05366	R03CC08	J45
ds:H00079	dr:D08806	NA	J45
ds:H00079	dr:D06985	NA	J45
ds:H00079	dr:D06987	NA	J45
ds:H00079	dr:D06966	NA	J45
ds:H00079	dr:D08770	V01AA20	J45
ds:H00079	dr:D06955	NA	J45
ds:H00079	dr:D08699	R03AK06	J45
ds:H00079	dr:D08985	R03DX08	J45
ds:H00079	dr:D10295	R03AK09	J45
ds:H00079	dr:D01360	R03CC13	J45
ds:H00079	dr:D01428	R03CC04	J45
ds:H00079	dr:D00529	R03DC03	J45
ds:H00079	dr:D05251	R03DX05	J45
ds:H00079	dr:D09595	R03AK07	J45
ds:H00079	dr:D10506	R03AK11	J45
ds:H00079	dr:D10501	R03AK10	J45
ds:H00079	dr:D05429	R03DA05	J45
ds:H00079	dr:D09874	R03DX10	J45
ds:H00079	dr:D02732	R03DC02	J45
ds:H00079	dr:D01479	R05CB06	J45
ds:H00079	dr:D02151	R03CC11	J45
ds:H00079	dr:D00683	R03CC02	J45
ds:H00079	dr:D02212	R03BB01	J45
ds:H00079	dr:D01773	R06AE06	J45
ds:H00079	dr:D00244	S03BA03	J45
ds:H00079	dr:D00981	S03BA02	J45
ds:H00079	dr:D00979	H02AB04	J45
ds:H00079	dr:D00978	S02BA01	J45
ds:H00079	dr:D00292	S03BA01	J45
ds:H00079	dr:D01106	R05CB04	J45
ds:H00079	dr:D00691	R03DA01	J45
ds:H00079	dr:D01929	R03BB04	J45
ds:H00079	dr:D00975	S03BA01	J45
ds:H00079	dr:D00385	S01BA05	J45
ds:H00079	dr:D00751	H02AB04	J45
ds:H00079	dr:D00473	H02AB07	J45
ds:H00079	dr:D00983	S01BA05	J45
ds:H00079	dr:D00088	S02BA01	J45
ds:H00079	dr:D01362	R03CC11	J45
ds:H00079	dr:D00472	S03BA02	J45
ds:H00079	dr:D00407	H02AB04	J45
ds:H00079	dr:D00690	R03BA07	J45
ds:H00079	dr:D07005	NA	J45
ds:H00079	dr:D04944	NA	J45
ds:H00079	dr:D10297	R03DA54	J45
ds:H00079	dr:D07004	NA	J45
ds:H00079	dr:D06994	NA	J45
ds:H00079	dr:D07032	NA	J45
ds:H00079	dr:D01385	R03DC04	J45
ds:H00080	dr:D00146	H01AA01	M32
ds:H00080	dr:D00238	L04AX01	M32
ds:H00080	dr:D02114	P01BA02	M32
ds:H00080	dr:D03068	L04AA26	M32
ds:H00080	dr:D01239	S03BA02	M32
ds:H00080	dr:D00973	S01BA03	M32
ds:H00080	dr:D00180	G04BE01	M32
ds:H00080	dr:D00287	L01AA01	M32
ds:H00080	dr:D00244	S03BA03	M32
ds:H00080	dr:D00981	S03BA02	M32
ds:H00080	dr:D00979	H02AB04	M32
ds:H00080	dr:D00978	S02BA01	M32
ds:H00080	dr:D00292	S03BA01	M32
ds:H00080	dr:D00975	S03BA01	M32
ds:H00080	dr:D00385	S01BA05	M32
ds:H00080	dr:D00751	H02AB04	M32
ds:H00080	dr:D00473	H02AB07	M32
ds:H00080	dr:D00983	S01BA05	M32
ds:H00080	dr:D00088	S02BA01	M32
ds:H00080	dr:D00472	S03BA02	M32
ds:H00080	dr:D00407	H02AB04	M32
ds:H00081	dr:D01010	H03AA01	E06.3
ds:H00081	dr:D06482	NA	E06.3
ds:H00082	dr:D00401	H03BB02	E05.0
ds:H00082	dr:D00562	H03BA02	E05.0
ds:H00083	dr:D00753	S01XA23	T86
ds:H00083	dr:D00238	L04AX01	T86
ds:H00083	dr:D00583	L01AC01	T86
ds:H00083	dr:D09190	L04AA04	T86
ds:H00083	dr:D01566	L04AA19	T86
ds:H00083	dr:D03058	L04AC02	T86
ds:H00083	dr:D00752	L04AA06	T86
ds:H00083	dr:D03222	L04AA28	T86
ds:H00083	dr:D00981	S03BA02	T86
ds:H00083	dr:D00184	S01XA18	T86
ds:H00083	dr:D00107	L04AD02	T86
ds:H00083	dr:D02714	L04AA18	T86
ds:H00084	dr:D09190	L04AA04	T86
ds:H00084	dr:D10223	L01XE27	T86
ds:H00084	dr:D00184	S01XA18	T86
ds:H00084	dr:D00107	L04AD02	T86
ds:H00085	dr:D06458	J06BA01	D80
ds:H00085	dr:D08779	NA	D80
ds:H00085	dr:D08785	NA	D80
ds:H00085	dr:D08786	NA	D80
ds:H00085	dr:D08787	NA	D80
ds:H00085	dr:D08784	NA	D80
ds:H00085	dr:D08783	NA	D80
ds:H00085	dr:D08788	NA	D80
ds:H00098	dr:D03357	L03AB03	D71
ds:H00100	dr:D03247	L03AA10	D70
ds:H00100	dr:D03245	NA	D70
ds:H00100	dr:D06889	L03AA13	D70
ds:H00100	dr:D02664	NA	D70
ds:H00100	dr:D03235	L03AA02	D70
ds:H00109	dr:D11120	L04AA39	D76.1
ds:H00110	dr:D00210	S01AE02	A00
ds:H00110	dr:D01144	J01MA17	A00
ds:H00110	dr:D01996	J01MA22	A00
ds:H00110	dr:D02122	S03AA02	A00
ds:H00110	dr:D00850	J01AA08	A00
ds:H00110	dr:D00307	J01AA02	A00
ds:H00110	dr:D02129	J01AA02	A00
ds:H00110	dr:D00588	S01AE05	A00
ds:H00110	dr:D03903	J01AA02	A00
ds:H00110	dr:D00290	J01AA01	A00
ds:H00111	dr:D00210	S01AE02	A01.0
ds:H00111	dr:D00104	S03AA08	A01.0
ds:H00111	dr:D02216	S03AA07	A01.0
ds:H00111	dr:D02185	S03AA08	A01.0
ds:H00111	dr:D01996	J01MA22	A01.0
ds:H00111	dr:D00285	J01EE01	A01.0
ds:H00111	dr:D00453	S02AA16	A01.0
ds:H00111	dr:D00588	S01AE05	A01.0
ds:H00112	dr:D00210	S01AE02	A01.4
ds:H00112	dr:D00104	S03AA08	A01.4
ds:H00112	dr:D02185	S03AA08	A01.4
ds:H00112	dr:D01996	J01MA22	A01.4
ds:H00112	dr:D00285	J01EE01	A01.4
ds:H00112	dr:D00453	S02AA16	A01.4
ds:H00112	dr:D00588	S01AE05	A01.4
ds:H00115	dr:D05782	A16AB06	E74.3
ds:H00116	dr:D03346	NA	E73.0
ds:H00116	dr:D03345	NA	E73.0
ds:H00123	dr:D10333	A16AB12	E76.2
ds:H00125	dr:D03228	A16AB04	E75.2
ds:H00125	dr:D05031	A16AX14	E75.2
ds:H00125	dr:D02784	A16AB03	E75.2
ds:H00126	dr:D05032	A16AX06	E75.2
ds:H00126	dr:D03020	A16AB02	E75.2
ds:H00126	dr:D09675	A16AB11	E75.2
ds:H00126	dr:D09894	A16AX10	E75.2
ds:H00126	dr:D09029	A16AB10	E75.2
ds:H00128	dr:D04670	A16AB05	E76.0
ds:H00129	dr:D04499	A16AB09	E76.1
ds:H00129	dr:D00287	L01AA01	E76.1
ds:H00131	dr:D06565	A16AB08	E76.2
ds:H00132	dr:D11004	A16AB18	E76.2
ds:H00136	dr:D05032	A16AX06	E75.2
ds:H00148	dr:D10377	A16AB14	E75.5
ds:H00149	dr:D10813	A16AB17	E75.4
ds:H00152	dr:D01966	C10AX09	E78.5
ds:H00154	dr:D10843	C10AX10	E78.3
ds:H00155	dr:D02690	C10AC01	E78.0
ds:H00155	dr:D00434	C10AA01	E78.0
ds:H00155	dr:D00476	C10AX02	E78.0
ds:H00155	dr:D01915	C10AA07	E78.0
ds:H00155	dr:D01913	S01XA26	E78.0
ds:H00155	dr:D01934	V03AE06	E78.0
ds:H00155	dr:D00565	C10AB05	E78.0
ds:H00155	dr:D01862	C10AA08	E78.0
ds:H00155	dr:D00892	C10AA04	E78.0
ds:H00155	dr:D00893	C10AA03	E78.0
ds:H00155	dr:D00395	A10BG01	E78.0
ds:H00155	dr:D01966	C10AX09	E78.0
ds:H00155	dr:D02258	C10AA05	E78.0
ds:H00155	dr:D08946	C10AX11	E78.0
ds:H00155	dr:D09638	C10AX12	E78.0
ds:H00155	dr:D01366	C10AB02	E78.0
ds:H00155	dr:D10385	C10BA05	E78.0
ds:H00155	dr:D10292	C10BA01	E78.0
ds:H00155	dr:D10257	C10BA02	E78.0
ds:H00155	dr:D10557	C10AX13	E78.0
ds:H00155	dr:D10711	NA	E78.0
ds:H00155	dr:D10568	C10AA08	E78.0
ds:H00155	dr:D10335	C10AX14	E78.0
ds:H00163	dr:D10557	C10AX13	E70.2
ds:H00165	dr:D05177	A16AX04	E70.2
ds:H00167	dr:D01798	A16AX07	E70.0
ds:H00167	dr:D11077	NA	E70.0
ds:H00167	dr:D08831	NA	E70.0
ds:H00172	dr:D08831	NA	E71.0
ds:H00173	dr:D07130	A16AA05	E71.1
ds:H00174	dr:D07130	A16AA05	E71.1
ds:H00175	dr:D07130	A16AA05	E71.1
ds:H00183	dr:D07523	A16AA06	E72.1
ds:H00185	dr:D01126	B05XB01	E72.2
ds:H00185	dr:D08754	NA	E72.2
ds:H00187	dr:D01126	B05XB01	E72.4
ds:H00187	dr:D08754	NA	E72.4
ds:H00198	dr:D09985	A16AX13	D53.0
ds:H00202	dr:D10003	NA	E80.2
ds:H00202	dr:D00789	N05AA01	E80.2
ds:H00205	dr:D10699	A05AA03	Q87.8
ds:H00206	dr:D09315	L04AC08	D89.2
ds:H00210	dr:D00496	M01CC01	E83.0
ds:H00210	dr:D00736	A16AX12	E83.0
ds:H00210	dr:D06408	A16AX05	E83.0
ds:H00211	dr:D01186	V03AC01	E83.1
ds:H00213	dr:D10595	A16AB13	E83.3
ds:H00214	dr:D01518	A11CC03	E83.3
ds:H00214	dr:D08815	NA	E83.3
ds:H00215	dr:D00518	S01EC02	G72.3
ds:H00216	dr:D00973	S01BA03	E25.0
ds:H00216	dr:D00981	S03BA02	E25.0
ds:H00216	dr:D00979	H02AB04	E25.0
ds:H00216	dr:D00292	S03BA01	E25.0
ds:H00216	dr:D00975	S03BA01	E25.0
ds:H00216	dr:D00751	H02AB04	E25.0
ds:H00216	dr:D00473	H02AB07	E25.0
ds:H00216	dr:D00983	S01BA05	E25.0
ds:H00216	dr:D00472	S03BA02	E25.0
ds:H00216	dr:D00407	H02AB04	E25.0
ds:H00218	dr:D00063	S01AA12	E84
ds:H00218	dr:D03896	R05CB13	E84
ds:H00218	dr:D00221	V03AB23	E84
ds:H00218	dr:D05349	NA	E84
ds:H00218	dr:D09916	R07AX02	E84
ds:H00218	dr:D10685	R07AX30	E84
ds:H00218	dr:D11042	R07AX31	E84
ds:H00219	dr:D02958	NA	D68.0
ds:H00219	dr:D05870	V10XX01	D68.0
ds:H00219	dr:D00172	B02BD08	D68.0
ds:H00219	dr:D05409	B02BD02	D68.0
ds:H00219	dr:D01136	B02AA02	D68.0
ds:H00219	dr:D05401	B02BD02	D68.0
ds:H00219	dr:D08794	B02BD04	D68.0
ds:H00219	dr:D08797	B02BD04	D68.0
ds:H00219	dr:D02235	H01BA02	D68.0
ds:H00219	dr:D05201	B02BD04	D68.0
ds:H00219	dr:D10227	B02BD02	D68.0
ds:H00219	dr:D10522	B02BD04	D68.0
ds:H00219	dr:D10538	B02BD04	D68.0
ds:H00219	dr:D10770	B02BD04	D68.0
ds:H00219	dr:D10760	B02BD02	D68.0
ds:H00219	dr:D10757	B02BD04	D68.0
ds:H00219	dr:D10759	B02BD02	D68.0
ds:H00219	dr:D10821	B02BX06	D68.0
ds:H00219	dr:D10818	B02BD02	D68.0
ds:H00219	dr:D08798	B02BD02	D68.0
ds:H00219	dr:D10539	B02BD02	D68.0
ds:H00219	dr:D10771	B02BD02	D68.0
ds:H00222	dr:D08792	B02BC30	D68.2
ds:H00223	dr:D08795	NA	D68.2
ds:H00223	dr:D10684	NA	D68.2
ds:H00225	dr:D01028	B01AC05	D69.2
ds:H00226	dr:D00172	B02BD08	D69.1
ds:H00228	dr:D00583	L01AC01	D56.4
ds:H00229	dr:D00341	L01XX05	D57
ds:H00235	dr:D02312	V04CG05	D74.0
ds:H00235	dr:D10537	V04CG05	D74.0
ds:H00237	dr:D00981	S03BA02	D61.0
ds:H00237	dr:D00184	S01XA18	D61.0
ds:H00237	dr:D00979	H02AB04	D61.0
ds:H00237	dr:D00978	S02BA01	D61.0
ds:H00237	dr:D00292	S03BA01	D61.0
ds:H00237	dr:D00751	H02AB04	D61.0
ds:H00237	dr:D00473	H02AB07	D61.0
ds:H00237	dr:D00983	S01BA05	D61.0
ds:H00238	dr:D00287	L01AA01	D61.0
ds:H00241	dr:D05578	A12BA02	N25.8
ds:H00241	dr:D01203	B05XA02	N25.8
ds:H00241	dr:D05624	NA	N25.8
ds:H00243	dr:D05578	A12BA02	N25.8
ds:H00243	dr:D01203	B05XA02	N25.8
ds:H00243	dr:D05624	NA	N25.8
ds:H00246	dr:D03505	H05BX01	E21.0
ds:H00250	dr:D01010	H03AA01	E03.1
ds:H00253	dr:D00101	H01BA01	E23.2
ds:H00253	dr:D02235	H01BA02	E23.2
ds:H00254	dr:D03267	V04CM01	E23.0
ds:H00254	dr:D02691	H01AC01	E23.0
ds:H00254	dr:D03297	H01AC03	E23.0
ds:H00255	dr:D00408	G03EK01	E23.0
ds:H00255	dr:D03267	V04CM01	E23.0
ds:H00255	dr:D00957	G03BA03	E23.0
ds:H00255	dr:D00075	G03BA03	E23.0
ds:H00255	dr:D00327	G03BA01	E23.0
ds:H00255	dr:D00958	G03BA03	E23.0
ds:H00255	dr:D04429	G03GA05	E23.0
ds:H00255	dr:D06457	G03GA01	E23.0
ds:H00255	dr:D06087	G03BA03	E23.0
ds:H00275	dr:D03635	S01XA21	E72.0
ds:H00275	dr:D10468	A16AA04	E72.0
ds:H00282	dr:D06635	L04AC04	E85.0
ds:H00282	dr:D02934	L04AC03	E85.0
ds:H00282	dr:D09315	L04AC08	E85.0
ds:H00286	dr:D00238	L04AX01	K50
ds:H00286	dr:D00377	A07EC02	K50
ds:H00286	dr:D06886	L04AA23	K50
ds:H00286	dr:D00246	R03BA02	K50
ds:H00286	dr:D09214	L04AC05	K50
ds:H00286	dr:D03441	L04AB05	K50
ds:H00286	dr:D08083	L04AA33	K50
ds:H00286	dr:D02597	L04AB04	K50
ds:H00286	dr:D02598	L04AB02	K50
ds:H00286	dr:D00981	S03BA02	K50
ds:H00286	dr:D00473	H02AB07	K50
ds:H00288	dr:D09315	L04AC08	E85.0
